rel..oa_id,rel..proportion_of_oa_within_co_m_boundary,rel..total_persons,rel..christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
E00050267,1.0000000000028899,319,136,3,11,0,18,94,0,42,15
E00050268,0.99999999999692701,373,209,1,0,0,51,28,0,62,22
E00050270,0.118524742959264,299,165,0,1,0,10,46,0,65,12
E00050271,0.99999999999558298,247,139,0,8,0,25,26,0,36,13
E00050273,0.76753592932204695,275,159,9,6,0,7,29,0,53,12
E00050274,1.0000000000042499,360,196,0,0,0,9,39,3,94,19
E00050276,1.00000000000056,313,174,0,0,0,19,7,0,89,24
E00050278,0.20398317823502701,324,165,1,2,0,0,50,1,75,30
E00050281,0.99167232058437305,357,216,0,0,0,5,44,5,62,25
E00050286,0.37827589877354001,376,234,0,2,0,13,22,0,79,26
E00050292,0.43595017967593902,371,217,1,11,0,16,29,1,62,34
E00050295,0.40891707776045699,326,209,0,3,1,8,12,0,69,24
E00050299,4.6439679680320103E-2,348,192,0,14,0,24,34,0,65,19
E00050304,0.99999999999990896,359,179,0,11,0,37,70,0,35,27
E00050305,1.0000000000168601,240,148,0,3,0,12,14,0,53,10
E00050578,0.999999999997911,441,239,1,10,0,6,88,0,66,31
E00050579,4.75931810395432E-2,206,135,0,8,0,4,11,1,32,15
E00050582,1.0000000000034399,348,213,1,0,0,1,21,0,79,33
E00050583,0.99999999999997002,310,192,2,7,1,6,11,0,49,42
E00050584,0.99158404069443795,267,151,2,0,0,1,38,2,52,21
E00050592,0.99999999999844302,213,130,1,16,0,1,9,1,41,14
E00050594,1.0000000000020199,188,139,3,0,0,1,0,1,28,16
E00050595,0.99999999999896905,313,138,0,9,0,55,45,0,36,30
E00050596,1.0000000000020099,320,197,3,11,0,12,11,1,60,25
E00050597,0.22292952551748399,579,336,3,6,2,12,28,5,157,30
E00050598,1.0000000000012299,311,155,2,1,0,29,42,1,65,16
E00050599,0.999999999994025,221,118,0,1,1,12,5,4,60,20
E00050600,0.99929506127398104,508,236,0,16,0,16,90,2,118,30
E00050601,1.0000000000059099,393,228,0,5,0,8,42,1,83,26
E00050602,1.0000000000095099,365,137,1,15,0,24,128,2,53,5
E00050603,1.0000000000006399,308,161,1,14,0,11,32,5,59,25
E00050604,1.00000000000191,249,160,0,0,0,0,10,0,62,17
E00050605,1.0000000000001401,224,136,0,0,0,22,29,8,23,6
E00050606,0.999999999999446,297,159,0,5,0,12,13,1,86,21
E00050607,0.183061752854355,312,171,0,7,0,18,21,0,82,13
E00050611,0.99999999999937095,373,237,0,5,0,14,18,1,76,22
E00050612,0.71121843101929405,321,197,1,0,0,4,34,0,77,8
E00050613,0.535903009606572,334,156,0,8,0,16,27,1,98,28
E00050615,1.00000000000116,346,196,1,2,0,0,76,0,63,8
E00050669,0.54821666669698299,306,181,0,7,0,10,8,0,81,19
E00050670,0.124703302767096,346,221,0,11,0,21,17,2,66,8
E00050672,0.89279835106432603,241,107,0,18,0,38,18,0,43,17
E00050673,0.99999999999940903,467,97,0,8,0,251,35,1,34,41
E00050674,0.27618650367247899,274,114,0,11,0,14,52,3,59,21
E00050675,1.00000000000032,265,90,0,9,0,65,32,6,36,27
E00050676,0.999999999998472,361,169,0,18,0,68,23,0,47,36
E00050677,0.98963384860834502,404,137,0,13,0,78,121,0,25,30
E00050678,0.98588784370170102,440,179,0,16,0,81,67,0,56,41
E00050679,0.99999999999989098,322,144,0,3,0,36,62,0,60,17
E00050680,1.0000000000045199,337,139,0,6,1,56,70,0,55,10
E00050681,0.77444367019322102,345,162,0,8,0,46,37,5,58,29
E00050682,1.0000000000034801,351,150,0,3,0,53,63,0,71,11
E00050683,0.26702571537586201,421,206,0,10,0,45,58,4,76,22
E00050684,0.99999999999281797,256,107,0,4,0,13,39,1,74,18
E00050685,1.0000000000167899,350,170,0,6,1,25,45,1,73,29
E00050816,1.5764709665933799E-2,364,100,5,14,1,19,182,8,27,8
E00050831,7.4496676669047801E-2,533,83,1,27,0,228,92,0,45,57
E00050836,1.26825942590471E-2,368,65,1,10,0,159,89,5,23,16
