ethn..oa_id,ethn..proportion_of_oa_within_co_m_boundary,ethn..total_persons,ethn..white_english_welsh_scottish_northern_irish_british,ethn..white_irish,ethn..white_gypsy_or_irish_traveller,ethn..white_other_white,ethn..mixed_multiple_ethnic_group_white_and_black_caribbean,ethn..mixed_multiple_ethnic_group_white_and_black_african,ethn..mixed_multiple_ethnic_group_white_and_asian,ethn..mixed_multiple_ethnic_group_other_mixed,ethn..asian_asian_british_indian,ethn..asian_asian_british_pakistani,ethn..asian_asian_british_bangladeshi,ethn..asian_asian_british_chinese,ethn..asian_asian_british_other_asian,ethn..black_african_caribbean_black_british_african,ethn..black_african_caribbean_black_british_caribbean,ethn..black_african_caribbean_black_british_other_black,ethn..other_ethnic_group_arab,ethn..other_ethnic_group_any_other_ethnic_group,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
E00057128,0.90691303316342797,266,244,5,0,3,5,0,1,0,3,0,0,2,0,1,2,0,0,0,252,3,5,6,0
E00057146,3.50149233231992E-2,208,193,2,1,1,0,0,0,0,0,0,0,0,4,1,2,1,0,3,197,4,4,0,3
E00057166,1.0254478455115E-2,311,300,3,0,0,1,1,0,1,0,0,0,0,0,5,0,0,0,0,303,5,0,3,0
E00057170,0.83304106439055303,396,338,4,0,1,8,2,3,5,4,3,0,2,1,17,7,1,0,0,343,25,10,18,0
E00057181,0.13703306113043701,209,190,4,0,2,3,1,0,0,2,1,0,0,0,0,2,3,0,1,196,5,3,4,1
E00057183,0.97949610172149104,197,171,3,0,0,4,1,0,0,0,0,0,1,0,17,0,0,0,0,174,17,1,5,0
E00057184,0.99999999999991496,196,190,1,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,191,3,0,2,0
E00057187,0.479150549795888,355,311,3,0,9,6,1,0,2,3,7,0,0,2,1,4,4,0,2,323,9,12,9,2
E00057488,1.00749166728866E-2,227,217,3,0,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,222,0,1,4,0
E00057489,1.99940772146543E-2,246,225,2,0,8,0,3,0,1,0,0,0,0,1,6,0,0,0,0,235,6,1,4,0
E00057503,5.2441051135808901E-2,370,351,3,1,1,2,1,2,0,7,0,0,0,0,0,0,0,0,2,356,0,7,5,2
E00057507,1.07029763487165E-2,277,262,11,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,2,0
E00058674,0.23169107573672101,210,181,6,0,1,6,2,0,0,4,0,0,0,6,2,0,0,0,2,188,2,10,8,2
E00058686,5.9962083616901002E-2,404,336,5,0,10,1,2,5,2,17,9,1,1,9,0,4,0,0,2,351,4,37,10,2
E00058702,5.2568069997588299E-2,269,200,10,0,5,9,0,0,7,4,0,0,1,1,13,14,2,0,3,215,29,6,16,3
E00058741,1.0000000000003699,155,143,1,0,3,1,0,0,0,2,1,0,0,0,0,1,3,0,0,147,4,3,1,0
E00058743,0.99999999999903999,308,268,1,0,10,3,0,2,0,0,0,0,0,1,7,1,4,0,11,279,12,1,5,11
E00058744,0.99999999999601197,461,401,1,0,13,13,7,0,0,4,0,0,0,1,20,1,0,0,0,415,21,5,20,0
E00058745,0.99999999999931299,317,261,4,0,23,6,3,0,2,3,0,0,0,7,7,0,0,0,1,288,7,10,11,1
E00058746,1.0000000000009099,325,259,6,0,7,13,6,0,0,0,1,0,0,3,28,0,2,0,0,272,30,4,19,0
E00058748,1.00000000000115,252,223,0,0,1,7,1,0,7,6,0,0,1,0,5,0,0,0,1,224,5,7,15,1
E00058749,1.00000000000105,348,305,6,0,7,1,1,0,0,1,7,0,0,13,3,0,0,0,4,318,3,21,2,4
E00058750,0.999999999977226,236,221,0,0,0,4,1,2,1,0,0,0,0,0,4,1,2,0,0,221,7,0,8,0
E00058751,0.99999999999993805,169,157,3,0,1,2,0,0,0,1,0,0,0,0,4,1,0,0,0,161,5,1,2,0
E00058752,0.99999999999988898,263,249,0,0,1,5,0,3,3,0,1,0,0,0,0,0,0,0,1,250,0,1,11,1
E00058753,0.99999999999156097,379,312,3,0,11,4,2,0,6,8,2,0,6,4,15,3,2,0,1,326,20,20,12,1
E00058754,0.99999999999983902,267,242,7,0,5,5,1,0,0,0,0,0,0,1,6,0,0,0,0,254,6,1,6,0
E00058755,1.00000000000114,325,290,1,0,6,13,3,1,1,0,0,0,0,4,4,1,1,0,0,297,6,4,18,0
E00058756,0.99196175600904402,227,201,1,0,2,1,0,2,0,0,0,1,0,6,12,0,1,0,0,204,13,7,3,0
E00058757,1.00000000001084,253,226,4,0,3,5,1,0,1,3,5,0,0,4,1,0,0,0,0,233,1,12,7,0
E00058759,0.99999999998282496,260,224,0,0,5,1,0,1,0,4,5,0,0,7,9,0,4,0,0,229,13,16,2,0
E00058760,0.92712693845427496,175,124,1,0,11,6,0,1,1,3,1,0,1,2,13,0,9,0,2,136,22,7,8,2
E00058761,1.000000000002,198,155,0,0,11,1,3,0,1,0,7,0,0,7,9,0,0,0,4,166,9,14,5,4
E00058762,1.0000000000001901,356,290,1,0,11,21,0,0,0,0,1,0,0,3,17,8,3,0,1,302,28,4,21,1
