health..oa_id,health..proportion_of_oa_within_co_m_boundary,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
E00057128,0.90691303316342797,266,107,112,38,6,3
E00057146,3.50149233231992E-2,208,50,57,53,38,10
E00057166,1.0254478455115E-2,311,131,115,47,14,4
E00057170,0.83304106439055303,396,163,107,86,30,10
E00057181,0.13703306113043701,209,26,53,62,51,17
E00057183,0.97949610172149104,197,63,82,28,16,8
E00057184,0.99999999999991496,196,80,67,33,13,3
E00057187,0.479150549795888,355,169,113,60,9,4
E00057488,1.00749166728866E-2,227,75,86,46,16,4
E00057489,1.99940772146543E-2,246,98,94,40,14,0
E00057503,5.2441051135808901E-2,370,175,131,47,10,7
E00057507,1.07029763487165E-2,277,119,102,45,6,5
E00058674,0.23169107573672101,210,100,59,29,15,7
E00058686,5.9962083616901002E-2,404,255,104,37,7,1
E00058702,5.2568069997588299E-2,269,100,99,43,20,7
E00058741,1.0000000000003699,155,61,54,20,16,4
E00058743,0.99999999999903999,308,140,83,50,32,3
E00058744,0.99999999999601197,461,276,121,36,24,4
E00058745,0.99999999999931299,317,137,94,53,24,9
E00058746,1.0000000000009099,325,188,83,36,15,3
E00058748,1.00000000000115,252,124,76,38,10,4
E00058749,1.00000000000105,348,155,120,41,26,6
E00058750,0.999999999977226,236,94,91,33,13,5
E00058751,0.99999999999993805,169,29,48,59,25,8
E00058752,0.99999999999988898,263,89,75,62,27,10
E00058753,0.99999999999156097,379,159,130,56,24,10
E00058754,0.99999999999983902,267,110,96,37,14,10
E00058755,1.00000000000114,325,153,98,45,24,5
E00058756,0.99196175600904402,227,112,62,33,16,4
E00058757,1.00000000001084,253,103,67,53,25,5
E00058759,0.99999999998282496,260,126,93,24,10,7
E00058760,0.92712693845427496,175,68,60,28,11,8
E00058761,1.000000000002,198,102,71,20,4,1
E00058762,1.0000000000001901,356,175,115,47,15,4
E00058764,0.67962144392850599,307,150,101,36,15,5
E00058765,0.42371351660675699,291,134,96,43,14,4
E00058766,0.99999999999715306,408,193,132,58,22,3
E00058768,0.99999999999995504,248,87,84,52,20,5
E00058769,0.99990350760978597,441,200,160,53,23,5
E00058770,0.999999999996803,264,107,100,33,13,11
E00058772,3.0596690908970599E-2,246,128,72,37,6,3
