house..oa_id,house..proportion_of_oa_within_co_m_boundary,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00057128,0.90691303316342797,114,11,16,52,16,4,9,6
E00057146,3.50149233231992E-2,129,31,41,33,6,3,14,1
E00057166,1.0254478455115E-2,135,26,19,29,27,23,10,1
E00057170,0.83304106439055303,205,46,56,47,23,13,12,8
E00057181,0.13703306113043701,139,38,38,48,1,0,14,0
E00057183,0.97949610172149104,112,12,52,17,9,8,12,2
E00057184,0.99999999999991496,80,8,12,28,18,7,5,2
E00057187,0.479150549795888,153,16,28,50,29,11,15,4
E00057488,1.00749166728866E-2,106,37,11,28,9,8,10,3
E00057489,1.99940772146543E-2,111,19,12,44,22,4,9,1
E00057503,5.2441051135808901E-2,168,20,37,51,31,15,13,1
E00057507,1.07029763487165E-2,115,24,7,51,22,1,6,4
E00058674,0.23169107573672101,129,13,63,36,8,4,4,1
E00058686,5.9962083616901002E-2,150,12,21,69,35,4,4,5
E00058702,5.2568069997588299E-2,119,17,26,20,17,24,11,4
E00058741,1.0000000000003699,63,11,11,13,13,9,4,2
E00058743,0.99999999999903999,116,3,28,14,24,30,14,3
E00058744,0.99999999999601197,137,6,15,13,37,44,9,13
E00058745,0.99999999999931299,125,29,17,14,24,25,9,7
E00058746,1.0000000000009099,103,6,5,16,27,37,8,4
E00058748,1.00000000000115,93,7,13,16,18,27,10,2
E00058749,1.00000000000105,134,11,23,35,27,20,12,6
E00058750,0.999999999977226,115,16,35,23,14,15,10,2
E00058751,0.99999999999993805,115,53,25,21,3,6,6,1
E00058752,0.99999999999988898,147,49,31,21,9,21,14,2
E00058753,0.99999999999156097,141,16,13,31,22,37,15,7
E00058754,0.99999999999983902,124,19,37,27,23,9,8,1
E00058755,1.00000000000114,129,10,30,25,20,26,11,7
E00058756,0.99196175600904402,92,8,17,19,13,23,8,4
E00058757,1.00000000001084,135,20,46,35,16,6,9,3
E00058759,0.99999999998282496,89,6,13,9,31,21,5,4
E00058760,0.92712693845427496,113,5,71,14,5,6,9,3
E00058761,1.000000000002,71,3,11,14,24,10,5,4
E00058762,1.0000000000001901,126,4,20,14,23,41,12,12
E00058764,0.67962144392850599,124,13,21,35,22,17,7,9
E00058765,0.42371351660675699,121,24,13,42,23,10,7,2
E00058766,0.99999999999715306,134,5,13,7,33,58,13,5
E00058768,0.99999999999995504,131,14,54,25,12,10,12,4
E00058769,0.99990350760978597,149,6,21,20,34,43,18,7
E00058770,0.999999999996803,121,10,35,33,19,11,9,4
E00058772,3.0596690908970599E-2,100,14,11,37,23,5,8,2
E00058773,1.00000000000003,111,18,32,23,11,13,14,0
E00058774,1.0000000000017699,121,16,40,22,21,16,5,1
E00058775,1.0000000000000699,109,5,18,27,25,23,7,4
E00058776,1.0000000000006599,146,14,29,31,25,32,12,3
E00058777,0.99999999999998201,99,6,24,24,24,15,2,4
E00058778,0.99999999997538802,121,8,36,28,21,15,12,1
E00058779,0.99999999999705003,109,15,15,24,25,15,12,3
E00058780,0.99999999999755995,150,24,26,42,24,21,10,3
E00058781,1.0000000000021301,136,9,38,17,21,36,13,2
E00058782,1.0000000000033999,128,16,21,37,18,22,13,1
E00058783,0.99999999999959199,122,19,23,33,23,13,10,1
E00058784,0.99999999999994504,158,20,67,20,17,22,10,2
E00058785,0.99999999999962197,141,26,72,18,1,11,10,3
E00058786,0.96479185977176696,75,11,14,16,15,9,7,3
E00058787,0.99999999999744604,131,31,27,30,19,13,6,5
E00058788,0.99999999999910305,165,82,41,27,3,1,11,0
E00058789,0.99999999999892297,122,12,27,38,17,12,10,6
E00058790,1.0000000000032601,139,14,63,24,10,9,13,6
E00058791,0.99999999990063204,134,29,18,38,21,12,11,5
E00058792,0.99999999999658695,126,16,8,31,34,17,17,3
E00058793,0.99999999999836298,131,30,29,34,17,14,4,3
E00058794,1.0000000000012199,141,39,33,37,12,5,11,4
E00058795,0.99999999999964895,138,26,28,40,21,14,8,1
E00058796,1.0000000000034199,113,23,22,31,20,9,8,0
E00058797,0.99999999998611599,125,19,35,33,13,15,9,1
E00058798,1.0000000000039899,96,13,9,33,28,6,5,2
E00058799,0.98635435808336203,115,8,23,27,19,23,13,2
E00059048,1.00000000000254,119,16,21,26,25,14,13,4
E00059049,1.0000000000022899,123,21,13,46,16,12,10,5
E00059050,0.99999999999601896,138,19,19,36,27,27,8,2
E00059051,1.00000000000051,221,81,28,46,20,28,11,7
E00059052,1.0000000000015901,117,20,15,33,21,10,12,6
E00059053,0.99999999999929201,122,13,32,32,23,10,10,2
E00059054,0.96677934430429102,133,11,19,53,28,10,6,6
E00059055,0.99999999999987599,122,12,11,47,27,11,12,2
E00059056,1.00000000000309,118,17,27,31,26,6,10,1
E00059057,0.99999999999566902,135,15,20,59,23,7,7,4
E00059058,0.99999999999587497,121,15,25,39,20,8,11,3
E00059059,1.00000000000308,116,8,11,60,17,4,10,6
E00059060,0.99999999999954903,115,15,11,49,32,2,2,4
E00059061,1.00000000000116,131,44,39,22,6,11,7,2
E00059062,1.0000000000000699,113,34,15,32,20,6,5,1
E00059063,0.99999999999997702,127,11,9,34,26,28,12,7
E00059064,0.46701034617979897,124,13,9,50,32,8,10,2
E00059065,0.99999999999996403,140,27,16,46,21,17,8,5
E00059066,0.99999999999112599,129,11,54,22,18,22,1,1
E00059067,0.999999999997634,107,14,29,22,16,10,13,3
E00059068,0.57007466901319004,137,11,35,42,29,10,7,3
E00059069,0.99999999999904199,112,8,13,32,30,9,16,4
E00059070,0.99999310754184001,111,13,15,51,17,5,6,4
E00059071,0.99999999999654499,110,11,16,32,25,9,12,5
E00059072,0.99999999999977596,132,19,25,32,26,15,12,3
E00059073,0.59015605351977996,114,17,16,27,18,17,15,4
E00059074,0.38930124729437099,119,23,34,17,19,16,7,3
E00059075,0.999999999997221,117,21,19,39,19,8,7,4
E00059076,0.28960209657209701,127,13,32,27,29,14,4,8
E00059077,0.99999999997443001,120,44,27,35,9,0,4,1
E00059078,1.0000000000009499,103,21,23,30,11,7,8,3
E00059079,0.99999999999633205,55,13,8,9,7,11,4,3
E00059080,1.0000000000051199,121,9,17,35,30,16,11,3
E00059081,0.99999999999943301,120,11,18,19,28,30,8,6
E00059082,0.116101695469244,185,6,53,45,47,20,12,2
E00059083,1.00000000000004,123,13,12,43,22,21,11,1
E00059084,1.0000000000000999,124,15,17,37,22,19,12,2
E00059085,0.99999999999848499,120,22,25,35,17,8,11,2
E00059086,0.99999999999877098,97,13,8,32,12,20,10,2
E00059087,1.0000000000012099,122,6,23,34,29,21,9,0
E00059088,0.99999999999905498,133,16,22,35,24,19,13,4
E00059089,0.999999999999717,118,13,10,29,24,18,17,7
E00059090,0.99999999995165201,169,18,35,32,38,27,16,3
E00059091,0.98209373517320797,151,40,33,38,18,5,14,3
E00059092,0.997769136672083,168,15,50,41,22,22,13,5
E00059093,0.99999999996555899,118,26,31,15,16,13,15,2
E00059094,0.90353205763376199,130,12,10,65,30,3,9,1
E00059095,0.99999999995447697,122,24,13,55,19,3,6,2
E00059096,0.99999999999880396,127,9,12,42,22,26,12,4
E00165681,0.6173189540574,145,27,27,39,17,25,9,1
E00170270,0.99999999999993705,104,15,17,17,12,25,11,7
E00170586,1.0000000000012601,115,16,64,18,5,2,8,2
E00170606,1.0000000000003799,168,3,84,50,13,10,8,0
