pop..lsoa_id,pop..proportion_of_lsoa_within_co_m_boundary,pop..total_persons,pop..male_persons,pop..female_persons,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
E01011339,0.197169590585797,2175,1045,1130,166,246,179,319,270,538,272,185
E01011341,0.17792782050126099,1776,816,960,162,176,125,287,275,429,213,109
E01011343,0.52587890896016498,1887,930,957,109,112,86,362,310,523,287,98
E01011346,0.46898110431610901,1778,877,901,132,217,148,250,228,407,266,130
E01011407,3.48235294396331E-2,1366,653,713,84,104,98,194,186,325,241,134
E01011644,0.13522436331218499,1342,628,714,83,128,89,165,151,333,233,160
E01011650,5.2764274024420001E-2,1454,699,755,86,157,89,139,196,395,285,107
E01011656,0.99999085379686004,1418,663,755,122,197,128,244,240,307,138,42
E01011657,0.99999999999996902,1311,619,692,94,108,109,219,182,335,196,68
E01011658,0.99826426116160005,1488,681,807,123,184,136,225,196,321,203,100
E01011659,1.00000000000002,1365,637,728,81,135,93,203,178,375,219,81
E01011660,0.99023426319879304,1537,714,823,113,161,137,236,237,367,192,94
E01011661,1.0000000000000699,1586,732,854,81,113,75,175,169,415,289,269
E01011662,0.974286266130866,1276,616,660,107,187,121,212,170,353,105,21
E01011663,0.99999999999998601,1740,802,938,181,274,178,333,277,344,115,38
E01011664,1.00000000000001,1136,478,658,84,114,85,215,122,251,171,94
E01011665,0.88755128413599405,1283,659,624,78,118,79,213,155,361,203,76
E01011666,0.16329880303921701,1413,705,708,73,108,93,195,170,412,237,125
E01011667,1.0000000000000799,1500,659,841,174,235,200,262,190,276,113,50
E01011714,0.83706641271468696,1670,836,834,96,148,133,249,236,384,298,126
E01011715,2.3744298211086302E-2,1249,631,618,57,96,71,179,113,337,257,139
E01011716,0.98696086576667297,1534,706,828,103,162,92,185,151,398,281,162
E01011717,0.99999999999974798,1361,638,723,75,147,90,152,195,300,268,134
E01011718,1.0000000000003,1874,841,1033,167,212,110,305,338,419,245,78
E01011720,0.99999999999999201,1449,735,714,94,130,80,224,162,367,237,155
E01011721,0.498606457431369,1445,665,780,116,187,117,225,181,329,181,109
E01011722,0.36022499177388401,2125,984,1141,172,215,184,396,355,445,261,97
E01011723,1.00000000000001,1581,723,858,142,200,114,275,200,300,217,133
E01011724,0.99441905638435801,1960,943,1017,172,202,147,329,269,479,270,92
