rel..oa_id,rel..proportion_of_oa_within_co_m_boundary,rel..total_persons,rel..christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
E00057128,0.90691303316342797,266,179,0,0,2,0,3,0,64,18
E00057146,3.50149233231992E-2,208,158,0,0,0,3,0,1,33,13
E00057166,1.0254478455115E-2,311,178,0,0,0,0,0,0,113,20
E00057170,0.83304106439055303,396,284,0,0,0,3,4,0,65,40
E00057181,0.13703306113043701,209,171,0,1,0,0,1,0,21,15
E00057183,0.97949610172149104,197,110,2,0,0,4,0,0,59,22
E00057184,0.99999999999991496,196,121,2,0,0,0,0,0,62,11
E00057187,0.479150549795888,355,242,3,2,0,12,0,0,84,12
E00057488,1.00749166728866E-2,227,174,0,2,1,0,0,1,42,7
E00057489,1.99940772146543E-2,246,169,1,0,2,3,0,0,52,19
E00057503,5.2441051135808901E-2,370,257,1,3,2,0,6,1,79,21
E00057507,1.07029763487165E-2,277,214,0,0,0,0,0,0,49,14
E00058674,0.23169107573672101,210,109,0,4,0,10,0,1,72,14
E00058686,5.9962083616901002E-2,404,198,0,9,21,16,19,1,107,33
E00058702,5.2568069997588299E-2,269,166,5,0,3,7,4,0,65,19
E00058741,1.0000000000003699,155,84,0,0,0,1,2,0,58,10
E00058743,0.99999999999903999,308,146,2,0,1,5,0,0,133,21
E00058744,0.99999999999601197,461,184,0,0,1,9,0,0,234,33
E00058745,0.99999999999931299,317,155,0,4,0,1,0,1,142,14
E00058746,1.0000000000009099,325,159,3,1,0,8,0,0,140,14
E00058748,1.00000000000115,252,119,0,5,0,1,0,1,108,18
E00058749,1.00000000000105,348,176,0,0,0,24,0,0,133,15
E00058750,0.999999999977226,236,124,2,0,0,1,0,1,95,13
E00058751,0.99999999999993805,169,127,0,0,0,0,0,1,30,11
E00058752,0.99999999999988898,263,162,0,0,1,1,0,2,73,24
E00058753,0.99999999999156097,379,215,0,4,1,1,4,0,135,19
E00058754,0.99999999999983902,267,175,1,0,0,0,0,1,71,19
E00058755,1.00000000000114,325,155,1,0,0,6,0,0,144,19
E00058756,0.99196175600904402,227,106,0,0,0,5,0,1,96,19
E00058757,1.00000000001084,253,167,0,0,0,10,0,2,65,9
E00058759,0.99999999998282496,260,112,0,0,1,5,4,1,129,8
E00058760,0.92712693845427496,175,81,4,2,0,3,0,0,68,17
E00058761,1.000000000002,198,71,4,0,1,13,0,0,99,10
E00058762,1.0000000000001901,356,169,1,2,0,1,0,1,164,18
E00058764,0.67962144392850599,307,214,2,1,0,1,0,0,73,16
E00058765,0.42371351660675699,291,190,1,2,0,9,0,0,67,22
E00058766,0.99999999999715306,408,133,0,0,0,5,0,0,239,31
E00058768,0.99999999999995504,248,148,0,3,0,0,0,0,76,21
E00058769,0.99990350760978597,441,190,2,0,0,0,0,0,214,35
E00058770,0.999999999996803,264,114,0,0,0,1,0,0,126,23
E00058772,3.0596690908970599E-2,246,176,2,0,0,2,0,0,61,5
E00058773,1.00000000000003,217,130,0,1,0,7,0,2,62,15
E00058774,1.0000000000017699,241,137,3,0,0,6,2,0,83,10
E00058775,1.0000000000000699,300,161,0,0,0,2,0,1,111,25
E00058776,1.0000000000006599,351,210,0,1,0,2,0,1,109,28
E00058777,0.99999999999998201,242,148,1,0,0,5,0,2,68,18
E00058778,0.99999999997538802,265,141,0,0,0,2,3,1,96,22
E00058779,0.99999999999705003,284,167,0,1,0,3,0,1,99,13
E00058780,0.99999999999755995,345,201,2,3,0,4,0,3,117,15
E00058781,1.0000000000021301,306,182,0,0,0,3,1,0,99,21
E00058782,1.0000000000033999,293,165,0,0,0,1,5,0,101,21
E00058783,0.99999999999959199,290,187,0,0,0,0,0,0,90,13
E00058784,0.99999999999994504,298,148,1,0,0,10,0,0,104,35
E00058785,0.99999999999962197,210,131,1,0,0,7,0,0,46,25
E00058786,0.96479185977176696,214,130,2,0,1,1,1,0,62,17
E00058787,0.99999999999744604,264,167,1,3,0,11,0,0,65,17
E00058788,0.99999999999910305,248,184,1,0,0,1,0,0,42,20
E00058789,0.99999999999892297,270,171,1,0,3,0,0,0,78,17
E00058790,1.0000000000032601,270,156,1,0,0,8,0,2,80,23
E00058791,0.99999999990063204,286,201,0,0,0,0,0,2,62,21
E00058792,0.99999999999658695,324,216,0,0,0,0,1,1,88,18
E00058793,0.99999999999836298,286,173,0,0,0,1,0,0,93,19
E00058794,1.0000000000012199,279,209,0,0,3,0,0,1,47,19
E00058795,0.99999999999964895,279,176,1,0,0,2,2,0,77,21
E00058796,1.0000000000034199,248,138,0,0,0,0,0,3,83,24
E00058797,0.99999999998611599,247,161,0,0,0,0,0,0,71,15
E00058798,1.0000000000039899,241,149,0,0,0,1,0,3,72,16
E00058799,0.98635435808336203,291,159,0,0,2,11,1,0,105,13
E00059048,1.00000000000254,284,175,0,0,0,1,0,2,94,12
E00059049,1.0000000000022899,292,195,0,0,1,0,0,1,83,12
E00059050,0.99999999999601896,338,216,0,1,0,0,0,0,99,22
E00059051,1.00000000000051,428,281,3,1,2,0,0,1,117,23
E00059052,1.0000000000015901,268,164,0,0,1,1,4,0,71,27
E00059053,0.99999999999929201,258,135,1,1,2,0,0,0,94,25
E00059054,0.96677934430429102,358,191,1,3,0,45,39,0,57,22
E00059055,0.99999999999987599,302,219,0,4,0,5,2,0,60,12
E00059056,1.00000000000309,261,154,0,0,1,13,0,0,80,13
E00059057,0.99999999999566902,332,217,1,0,0,19,2,0,63,30
E00059058,0.99999999999587497,262,163,0,4,0,15,0,1,63,16
E00059059,1.00000000000308,295,165,2,3,0,49,5,0,51,20
E00059060,0.99999999999954903,304,182,0,12,2,30,0,1,51,26
E00059061,1.00000000000116,203,131,0,0,0,1,0,0,60,11
E00059062,1.0000000000000699,238,160,0,2,1,8,2,1,51,13
E00059063,0.99999999999997702,328,171,1,0,2,5,0,3,123,23
E00059064,0.46701034617979897,337,211,0,0,0,3,20,0,74,29
E00059065,0.99999999999996403,330,199,0,3,0,12,0,0,93,23
E00059066,0.99999999999112599,246,148,0,1,1,2,0,0,83,11
E00059067,0.999999999997634,232,115,0,0,1,6,0,2,96,12
E00059068,0.57007466901319004,323,195,0,2,7,3,0,0,98,18
E00059069,0.99999999999904199,292,189,0,0,0,0,0,8,85,10
E00059070,0.99999310754184001,261,191,0,2,0,3,0,1,52,12
E00059071,0.99999999999654499,289,168,1,0,0,0,0,0,96,24
E00059072,0.99999999999977596,312,186,0,0,0,2,0,0,94,30
E00059073,0.59015605351977996,292,157,0,0,0,0,0,1,107,27
E00059074,0.38930124729437099,249,150,1,3,0,3,0,1,79,12
E00059075,0.999999999997221,255,179,0,0,1,0,1,2,58,14
E00059076,0.28960209657209701,301,169,3,0,0,6,0,5,88,30
E00059077,0.99999999997443001,198,146,0,0,0,1,0,0,40,11
E00059078,1.0000000000009499,209,128,0,0,1,6,0,3,65,6
E00059079,0.99999999999633205,125,67,0,0,0,0,0,0,47,11
E00059080,1.0000000000051199,312,178,0,0,0,0,0,1,117,16
E00059081,0.99999999999943301,324,191,0,0,0,0,0,2,116,15
E00059082,0.116101695469244,449,244,2,2,5,3,0,0,171,22
E00059083,1.00000000000004,307,185,0,1,0,0,0,0,100,21
E00059084,1.0000000000000999,294,175,0,1,0,8,0,0,97,13
E00059085,0.99999999999848499,250,151,0,0,0,0,1,0,80,18
E00059086,0.99999999999877098,246,147,1,0,0,0,5,0,77,16
E00059087,1.0000000000012099,290,162,0,3,1,0,1,3,108,12
E00059088,0.99999999999905498,319,180,1,0,0,6,0,0,110,22
E00059089,0.999999999999717,323,175,1,0,0,9,1,0,114,23
E00059090,0.99999999995165201,400,239,0,0,0,7,0,1,121,32
E00059091,0.98209373517320797,314,220,1,0,0,1,0,0,71,21
E00059092,0.997769136672083,360,232,0,0,0,0,1,0,106,21
E00059093,0.99999999996555899,234,121,2,0,2,3,0,1,94,11
E00059094,0.90353205763376199,328,214,1,0,0,20,6,0,62,25
E00059095,0.99999999995447697,267,201,1,0,0,7,0,1,33,24
E00059096,0.99999999999880396,310,179,1,1,0,5,10,0,87,27
E00165681,0.6173189540574,304,191,0,0,0,7,0,0,81,25
E00170270,0.99999999999993705,252,125,0,0,0,4,3,0,105,15
E00170586,1.0000000000012601,166,106,0,0,1,1,1,1,48,8
E00170606,1.0000000000003799,269,142,0,0,0,8,0,0,103,16
