ethn..oa_id,ethn..proportion_of_oa_within_co_m_boundary,ethn..total_persons,ethn..white_english_welsh_scottish_northern_irish_british,ethn..white_irish,ethn..white_gypsy_or_irish_traveller,ethn..white_other_white,ethn..mixed_multiple_ethnic_group_white_and_black_caribbean,ethn..mixed_multiple_ethnic_group_white_and_black_african,ethn..mixed_multiple_ethnic_group_white_and_asian,ethn..mixed_multiple_ethnic_group_other_mixed,ethn..asian_asian_british_indian,ethn..asian_asian_british_pakistani,ethn..asian_asian_british_bangladeshi,ethn..asian_asian_british_chinese,ethn..asian_asian_british_other_asian,ethn..black_african_caribbean_black_british_african,ethn..black_african_caribbean_black_british_caribbean,ethn..black_african_caribbean_black_british_other_black,ethn..other_ethnic_group_arab,ethn..other_ethnic_group_any_other_ethnic_group,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
E00033428,0.99999999999989997,309,269,3,0,4,1,1,0,2,0,0,0,0,5,21,1,0,0,2,276,22,5,4,2
E00033432,0.95663824193612201,321,314,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,318,0,0,2,1
E00033441,7.9770240787736493E-2,301,283,0,0,7,1,1,3,0,0,0,0,5,1,0,0,0,0,0,290,0,6,5,0
E00033443,0.96783958759850097,158,152,0,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,155,1,0,2,0
E00033446,0.97620911436197999,277,271,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,273,4,0,0,0
E00033459,0.814094014186026,268,258,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,266,0,1,0,1
E00033460,1.0000000000157501,200,174,0,0,8,0,1,0,0,4,0,0,0,0,13,0,0,0,0,182,13,4,1,0
E00033462,0.99999999999924105,217,212,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,216,0,0,0,1
E00033463,0.27130220904567298,228,219,0,0,2,1,0,1,2,0,0,0,0,0,1,1,0,0,1,221,2,0,4,1
E00033464,1.0000000000011,284,267,1,0,1,1,0,5,0,0,0,0,0,0,3,0,0,6,0,269,3,0,6,6
E00033468,0.99999999999838696,286,278,1,0,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,283,0,1,2,0
E00033470,0.53987027282771605,324,320,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,320,4,0,0,0
E00033796,2.6881416850173E-2,213,201,0,0,4,1,0,0,1,0,1,0,0,2,3,0,0,0,0,205,3,3,2,0
E00034113,0.99999999961748798,305,295,0,0,0,2,0,2,1,0,0,0,0,0,4,1,0,0,0,295,5,0,5,0
E00034114,0.99999999999992195,316,298,1,0,0,4,0,0,2,0,0,0,0,0,10,0,0,0,1,299,10,0,6,1
E00034115,0.98589625504673195,293,280,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,285,0,6,0,2
E00034118,0.99999999999450695,222,204,5,0,6,0,0,0,1,0,0,0,0,0,6,0,0,0,0,215,6,0,1,0
E00034119,1.0000000000007301,293,288,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,288,4,0,1,0
E00034120,1.0000000000046601,279,255,0,0,6,3,4,0,5,0,0,0,1,0,4,0,0,0,1,261,4,1,12,1
E00034121,0.99999999999906297,287,268,3,0,4,0,1,0,0,4,0,0,0,0,2,0,2,0,3,275,4,4,1,3
E00034122,0.99999999999879297,327,316,1,0,1,2,0,2,0,0,0,0,4,0,0,0,0,0,1,318,0,4,4,1
E00034130,0.89029665317769302,288,268,1,0,15,0,0,0,0,0,0,0,0,2,0,1,0,0,1,284,1,2,0,1
E00034133,0.96093352227862205,248,238,4,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,242,5,0,1,0
E00034134,0.92847807034915297,311,298,0,0,0,1,7,1,3,0,0,0,0,0,0,0,1,0,0,298,1,0,12,0
E00034136,0.76847596121486605,335,306,1,0,13,1,0,3,0,0,0,0,0,0,10,0,1,0,0,320,11,0,4,0
E00034137,0.44543346420529001,269,232,0,0,12,1,6,1,2,0,0,0,1,0,5,0,0,9,0,244,5,1,10,9
E00034139,0.99999999999948097,299,289,2,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,291,1,0,7,0
E00034140,1.0000000000101901,234,230,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,230,0,4,0,0
E00034142,0.79830851880629805,388,363,1,0,6,1,4,0,0,0,0,0,0,1,9,1,0,1,1,370,10,1,5,2
E00034143,0.99999999999966604,312,300,2,0,5,1,0,0,0,1,0,0,0,3,0,0,0,0,0,307,0,4,1,0
E00034144,1.0000000000010201,361,338,4,0,10,0,0,1,1,4,0,3,0,0,0,0,0,0,0,352,0,7,2,0
E00034145,0.73215470444263397,250,230,0,0,3,0,0,1,2,0,0,0,8,0,6,0,0,0,0,233,6,8,3,0
E00034146,0.99999999998584199,310,292,1,0,8,0,0,0,1,5,0,0,0,0,3,0,0,0,0,301,3,5,1,0
E00034147,0.99999999998760403,247,228,2,0,1,4,1,0,1,0,0,4,5,0,0,0,0,0,1,231,0,9,6,1
E00034148,0.142574460686264,409,388,5,0,1,2,0,1,0,0,0,0,0,0,12,0,0,0,0,394,12,0,3,0
E00034149,0.99999999999859701,280,265,1,0,2,1,1,0,0,0,0,0,0,0,9,0,0,1,0,268,9,0,2,1
E00034150,1.0000000000059599,208,206,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,206,0,0,1,1
E00034151,0.39212252213268001,305,280,0,0,14,3,0,1,1,4,0,0,0,0,2,0,0,0,0,294,2,4,5,0
E00034152,0.99999999999656597,298,288,0,0,0,0,0,0,0,4,0,0,0,0,5,0,1,0,0,288,6,4,0,0
E00176631,0.99999999999940004,211,201,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,4,0,201,3,0,3,4
E00176632,7.5076255247084805E-2,253,210,0,0,10,2,1,0,1,13,0,0,3,0,4,0,0,1,8,220,4,16,4,9
E00176651,0.99952764531181204,252,235,0,0,8,1,0,0,3,0,0,0,2,2,0,0,0,0,1,243,0,4,4,1
E00176753,6.73618275606893E-2,231,217,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,3,0
E00176762,5.66070282380177E-2,217,199,3,0,5,0,1,1,0,6,0,0,0,0,1,0,0,0,1,207,1,6,2,1
E00176767,0.82114138732513298,211,195,1,0,11,0,0,0,0,0,0,0,0,4,0,0,0,0,0,207,0,4,0,0
E00176774,0.99999999996099798,102,96,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,96,3,3,0,0
