health..oa_id,health..proportion_of_oa_within_co_m_boundary,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
E00033428,0.99999999999989997,309,150,85,40,29,5
E00033432,0.95663824193612201,321,125,85,66,35,10
E00033441,7.9770240787736493E-2,301,105,91,56,28,21
E00033443,0.96783958759850097,158,69,44,27,14,4
E00033446,0.97620911436197999,277,92,89,60,28,8
E00033459,0.814094014186026,268,100,62,63,33,10
E00033460,1.0000000000157501,200,124,47,20,8,1
E00033462,0.99999999999924105,217,83,49,46,35,4
E00033463,0.27130220904567298,228,82,69,51,22,4
E00033464,1.0000000000011,284,98,92,56,32,6
E00033468,0.99999999999838696,286,116,81,46,31,12
E00033470,0.53987027282771605,324,124,99,63,28,10
E00033796,2.6881416850173E-2,213,88,61,32,24,8
E00034113,0.99999999961748798,305,132,97,43,24,9
E00034114,0.99999999999992195,316,104,122,51,31,8
E00034115,0.98589625504673195,293,112,96,51,29,5
E00034118,0.99999999999450695,222,109,61,32,15,5
E00034119,1.0000000000007301,293,114,83,59,30,7
E00034120,1.0000000000046601,279,131,67,40,30,11
E00034121,0.99999999999906297,287,116,96,48,21,6
E00034122,0.99999999999879297,327,121,109,49,30,18
E00034130,0.89029665317769302,288,122,74,49,34,9
E00034133,0.96093352227862205,248,110,86,31,15,6
E00034134,0.92847807034915297,311,121,95,52,31,12
E00034136,0.76847596121486605,335,164,87,61,20,3
E00034137,0.44543346420529001,269,124,85,36,18,6
E00034139,0.99999999999948097,299,112,76,71,32,8
E00034140,1.0000000000101901,234,91,60,42,31,10
E00034142,0.79830851880629805,388,200,97,59,27,5
E00034143,0.99999999999966604,312,135,85,63,24,5
E00034144,1.0000000000010201,361,154,114,62,25,6
E00034145,0.73215470444263397,250,96,86,36,21,11
E00034146,0.99999999998584199,310,133,102,51,12,12
E00034147,0.99999999998760403,247,102,65,51,22,7
E00034148,0.142574460686264,409,216,118,37,31,7
E00034149,0.99999999999859701,280,116,96,40,22,6
E00034150,1.0000000000059599,208,82,73,33,14,6
E00034151,0.39212252213268001,305,144,78,48,27,8
E00034152,0.99999999999656597,298,131,83,45,33,6
E00176631,0.99999999999940004,211,93,55,42,16,5
E00176632,7.5076255247084805E-2,253,128,95,20,9,1
E00176651,0.99952764531181204,252,126,68,28,22,8
E00176753,6.73618275606893E-2,231,112,67,39,11,2
E00176762,5.66070282380177E-2,217,86,81,30,19,1
E00176767,0.82114138732513298,211,96,66,37,8,4
E00176774,0.99999999996099798,102,35,26,26,11,4
