house..oa_id,house..proportion_of_oa_within_co_m_boundary,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00033428,0.99999999999989997,124,7,22,38,20,21,12,4
E00033432,0.95663824193612201,135,24,22,26,17,18,20,8
E00033441,7.9770240787736493E-2,141,19,37,26,14,23,16,6
E00033443,0.96783958759850097,72,13,16,13,10,5,13,2
E00033446,0.97620911436197999,121,18,21,37,13,12,15,5
E00033459,0.814094014186026,143,49,34,25,13,6,11,5
E00033460,1.0000000000157501,79,5,19,11,22,13,7,2
E00033462,0.99999999999924105,94,16,12,20,10,17,16,3
E00033463,0.27130220904567298,103,19,17,29,6,13,16,3
E00033464,1.0000000000011,116,15,17,38,16,11,17,2
E00033468,0.99999999999838696,119,17,16,31,15,18,17,5
E00033470,0.53987027282771605,130,15,24,35,15,20,13,8
E00033796,2.6881416850173E-2,89,13,14,26,11,11,13,1
E00034113,0.99999999961748798,116,12,16,27,17,23,16,5
E00034114,0.99999999999992195,123,12,18,32,18,20,18,5
E00034115,0.98589625504673195,113,15,18,21,25,12,16,6
E00034118,0.99999999999450695,92,11,17,20,17,17,8,2
E00034119,1.0000000000007301,124,20,14,31,14,23,20,2
E00034120,1.0000000000046601,103,16,6,18,17,24,21,1
E00034121,0.99999999999906297,117,8,17,33,20,21,14,4
E00034122,0.99999999999879297,128,14,16,37,16,27,14,4
E00034130,0.89029665317769302,117,13,18,27,13,20,20,6
E00034133,0.96093352227862205,101,16,18,22,15,15,12,3
E00034134,0.92847807034915297,133,18,28,25,18,20,21,3
E00034136,0.76847596121486605,136,18,23,29,26,24,14,2
E00034137,0.44543346420529001,108,13,19,17,10,25,15,9
E00034139,0.99999999999948097,118,12,11,35,12,15,25,8
E00034140,1.0000000000101901,98,15,14,29,12,9,16,3
E00034142,0.79830851880629805,146,19,11,40,25,25,19,7
E00034143,0.99999999999966604,123,13,13,41,19,16,14,7
E00034144,1.0000000000010201,136,19,18,26,27,20,20,6
E00034145,0.73215470444263397,106,13,24,21,16,16,15,1
E00034146,0.99999999998584199,120,14,12,18,15,37,18,6
E00034147,0.99999999998760403,106,22,16,18,15,14,16,5
E00034148,0.142574460686264,149,21,10,17,26,48,19,8
E00034149,0.99999999999859701,118,20,24,14,18,20,18,4
E00034150,1.0000000000059599,92,19,16,16,17,14,10,0
E00034151,0.39212252213268001,119,17,9,20,20,27,19,7
E00034152,0.99999999999656597,127,21,22,30,21,13,14,6
E00176631,0.99999999999940004,85,8,12,24,13,11,11,6
E00176632,7.5076255247084805E-2,95,8,15,24,29,11,5,3
E00176651,0.99952764531181204,108,20,12,23,16,29,7,1
E00176753,6.73618275606893E-2,95,5,26,12,11,26,8,7
E00176762,5.66070282380177E-2,94,10,25,9,19,23,7,1
E00176767,0.82114138732513298,94,16,13,28,10,16,9,2
E00176774,0.99999999996099798,53,18,7,13,6,4,4,1
