pop..lsoa_id,pop..proportion_of_lsoa_within_co_m_boundary,pop..total_persons,pop..male_persons,pop..female_persons,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
E01006598,0.50764679791995804,1628,729,899,170,224,141,232,239,366,179,77
E01006599,0.494045793018624,1797,805,992,210,303,123,282,322,372,147,38
E01006600,0.42573231888527202,1393,635,758,78,145,101,184,182,349,234,120
E01006603,8.5308549437682804E-2,1332,595,737,88,100,101,184,193,338,214,114
E01006604,0.50901091853897795,1446,630,816,89,142,93,222,179,385,241,95
E01006729,0.53845178258559301,1325,581,744,85,193,132,191,176,291,186,71
E01006730,1.0000000000009699,1389,670,719,94,190,90,194,173,351,188,109
E01006731,0.95499927067368995,1168,574,594,74,168,92,177,151,270,168,68
E01006732,0.39425222860598202,1773,773,1000,132,259,205,244,294,369,176,94
E01006734,9.5989842738326794E-2,1364,632,732,110,149,106,214,233,293,178,81
E01006735,0.36952529327092898,1318,611,707,86,151,100,184,191,321,209,76
E01006736,0.46555810735608999,1503,728,775,81,178,112,210,225,377,223,97
E01006737,0.99905413927023701,1316,620,696,81,149,105,179,169,350,203,80
E01032510,0.26283858008953298,2002,977,1025,131,188,112,339,378,476,254,124
E01033759,0.99987412982148505,3147,1367,1780,392,424,203,498,650,648,228,104
