rel..oa_id,rel..proportion_of_oa_within_co_m_boundary,rel..total_persons,rel..christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
E00033428,0.99999999999989997,309,258,1,0,0,2,0,0,39,9
E00033432,0.95663824193612201,321,267,1,0,0,0,0,0,33,20
E00033441,7.9770240787736493E-2,301,228,0,0,0,0,0,0,50,23
E00033443,0.96783958759850097,158,124,0,0,0,1,0,1,23,9
E00033446,0.97620911436197999,277,215,0,0,0,0,0,0,40,22
E00033459,0.814094014186026,268,239,1,0,0,3,0,0,18,7
E00033460,1.0000000000157501,200,162,0,0,1,0,0,1,23,13
E00033462,0.99999999999924105,217,177,0,1,2,0,0,1,21,15
E00033463,0.27130220904567298,228,189,0,0,0,0,0,0,22,17
E00033464,1.0000000000011,284,225,0,0,0,5,0,0,38,16
E00033468,0.99999999999838696,286,231,1,0,0,0,0,1,36,17
E00033470,0.53987027282771605,324,263,0,0,0,0,0,0,44,17
E00033796,2.6881416850173E-2,213,167,0,4,0,0,0,1,22,19
E00034113,0.99999999961748798,305,250,0,0,0,0,0,0,35,20
E00034114,0.99999999999992195,316,253,0,0,0,0,0,0,53,10
E00034115,0.98589625504673195,293,241,0,0,0,0,0,0,38,14
E00034118,0.99999999999450695,222,162,0,0,0,0,0,0,41,19
E00034119,1.0000000000007301,293,232,0,0,0,0,0,0,39,22
E00034120,1.0000000000046601,279,224,0,0,0,1,0,1,44,9
E00034121,0.99999999999906297,287,220,1,0,0,4,0,0,40,22
E00034122,0.99999999999879297,327,256,0,0,1,0,0,0,42,28
E00034130,0.89029665317769302,288,233,1,0,0,0,0,0,38,16
E00034133,0.96093352227862205,248,218,0,0,0,0,0,0,21,9
E00034134,0.92847807034915297,311,225,0,0,0,2,0,0,59,25
E00034136,0.76847596121486605,335,272,0,0,0,3,0,0,38,22
E00034137,0.44543346420529001,269,218,0,0,0,9,0,0,33,9
E00034139,0.99999999999948097,299,262,0,0,0,2,0,1,25,9
E00034140,1.0000000000101901,234,206,0,0,0,0,0,0,17,11
E00034142,0.79830851880629805,388,335,1,0,0,0,0,0,40,12
E00034143,0.99999999999966604,312,264,0,0,0,1,3,0,20,24
E00034144,1.0000000000010201,361,292,0,0,0,4,0,0,45,20
E00034145,0.73215470444263397,250,190,2,0,0,2,0,1,40,15
E00034146,0.99999999998584199,310,227,0,0,0,0,0,0,61,22
E00034147,0.99999999998760403,247,172,0,3,0,1,0,0,59,12
E00034148,0.142574460686264,409,315,0,0,0,3,0,1,73,17
E00034149,0.99999999999859701,280,223,0,0,0,0,0,0,32,25
E00034150,1.0000000000059599,208,170,0,0,0,0,0,0,27,11
E00034151,0.39212252213268001,305,251,0,0,0,1,0,1,28,24
E00034152,0.99999999999656597,298,252,0,0,0,0,0,0,32,14
E00176631,0.99999999999940004,211,173,0,0,0,4,0,0,26,8
E00176632,7.5076255247084805E-2,253,198,0,0,0,11,0,0,39,5
E00176651,0.99952764531181204,252,188,0,2,0,0,0,0,39,23
E00176753,6.73618275606893E-2,231,175,1,0,0,0,0,0,49,6
E00176762,5.66070282380177E-2,217,154,0,0,0,1,0,0,47,15
E00176767,0.82114138732513298,211,178,0,0,0,0,0,0,27,6
E00176774,0.99999999996099798,102,88,0,0,1,0,0,1,7,5
