ethn..oa_id,ethn..proportion_of_oa_within_co_m_boundary,ethn..total_persons,ethn..ethnic_group_e_s_w_white_english_welsh_scottish_northern_irish_british_unit_persons,ethn..ethnic_group_e_s_w_white_irish_unit_persons,ethn..ethnic_group_e_s_w_white_gypsy_or_irish_traveller_unit_persons,ethn..ethnic_group_e_s_w_white_other_white_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_white_and_black_caribbean_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_white_and_black_african_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_white_and_asian_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_other_mixed_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_indian_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_pakistani_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_bangladeshi_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_chinese_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_other_asian_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_african_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_caribbean_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_other_black_unit_persons,ethn..ethnic_group_e_s_w_other_ethnic_group_arab_unit_persons,ethn..ethnic_group_e_s_w_other_ethnic_group_any_other_ethnic_group_unit_persons,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
W00002655,5.4956132677694801E-2,366,362,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,363,0,3,0,0
W00002685,0.81683789595058398,258,255,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,0
W00002697,0.34079713810190598,285,278,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,279,0,4,1,1
W00004031,0.340511364504061,343,335,0,0,2,0,0,0,1,4,0,0,0,1,0,0,0,0,0,337,0,5,1,0
W00004257,0.425647440312027,347,325,2,0,8,3,0,0,1,3,0,0,0,0,4,1,0,0,0,335,5,3,4,0
W00004260,0.112134919602558,328,317,4,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,1,323,0,0,4,1
W00004270,1.1842778855074501E-2,257,240,0,0,3,0,0,2,0,12,0,0,0,0,0,0,0,0,0,243,0,12,2,0
W00004706,0.99999999987335397,399,381,1,0,3,0,0,1,1,0,0,0,0,9,3,0,0,0,0,385,3,9,2,0
W00004707,0.99999999999672196,420,394,4,0,2,0,0,3,3,1,5,0,6,0,2,0,0,0,0,400,2,12,6,0
W00004708,1.0000000000013001,359,312,1,0,10,3,0,0,2,6,4,0,0,10,7,0,0,3,1,323,7,20,5,4
W00004709,0.99999999999874301,310,297,7,0,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,305,3,1,1,0
W00004710,1.00000000000383,331,313,0,0,0,2,0,5,0,2,7,0,0,1,1,0,0,0,0,313,1,10,7,0
W00004711,0.99999999999830802,287,275,2,0,3,3,0,0,0,0,0,0,1,1,0,1,1,0,0,280,2,2,3,0
