health..oa_id,health..proportion_of_oa_within_co_m_boundary,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
W00002655,5.4956132677694801E-2,366,145,110,70,31,10
W00002685,0.81683789595058398,258,112,67,53,21,5
W00002697,0.34079713810190598,285,113,93,47,26,6
W00004031,0.340511364504061,343,168,105,53,14,3
W00004257,0.425647440312027,347,175,98,50,17,7
W00004260,0.112134919602558,328,221,73,25,7,2
W00004270,1.1842778855074501E-2,257,118,75,46,14,4
W00004706,0.99999999987335397,399,220,107,51,16,5
W00004707,0.99999999999672196,420,176,112,86,31,15
W00004708,1.0000000000013001,359,177,91,55,24,12
W00004709,0.99999999999874301,310,144,99,38,20,9
W00004710,1.00000000000383,331,151,99,53,25,3
W00004711,0.99999999999830802,287,115,91,57,20,4
W00004712,0.99999999999797595,304,119,85,59,32,9
W00004713,1.00000000000362,316,145,96,49,22,4
W00004714,0.999999999999584,322,137,95,59,22,9
W00004715,1.0000000000000999,291,120,91,37,29,14
W00004716,0.99999999997828504,242,95,60,53,24,10
W00004717,0.99999999999996203,269,102,71,55,32,9
W00004718,1.00000000000053,323,117,98,49,50,9
W00004719,0.99999999999969402,274,121,82,33,34,4
W00004720,0.99999999999952605,259,120,83,38,12,6
W00004721,0.99999999999947398,286,113,93,50,24,6
W00004722,1.00000000000134,215,83,67,34,24,7
W00004723,0.99999999998897804,245,127,58,39,15,6
W00004724,0.99999999999947697,290,149,75,42,18,6
W00004725,1.0000000000007201,307,131,83,48,31,14
W00004726,0.99999999999992495,203,83,65,41,10,4
W00004728,0.99999999999840705,308,164,78,44,18,4
W00004729,0.99999999999606204,236,116,52,36,24,8
W00004730,1.00000000000004,408,221,96,53,26,12
W00004731,0.99999999999945299,311,164,88,35,18,6
W00004732,0.85417722100875604,344,155,98,56,27,8
W00004733,1.0000000000021201,316,162,94,37,17,6
W00004734,0.99999999999262901,381,218,97,41,20,5
W00004735,1.00000000002139,321,166,86,44,18,7
W00004736,1.0000000000009199,323,174,70,47,17,15
W00004737,0.95959823301584002,331,119,122,57,27,6
W00004738,0.999999999998468,290,151,72,35,19,13
W00004739,1.0000000000053,294,125,92,58,16,3
W00004740,1.0000000000031,282,136,82,36,20,8
W00004741,0.99999999999973399,393,206,107,45,29,6
W00004742,0.99999999999420397,301,141,91,47,17,5
W00004743,1.00000000000028,316,139,88,51,20,18
W00004744,0.99999999999964995,434,271,113,35,13,2
W00004745,1.00000000000198,350,200,88,41,20,1
W00004746,0.99999999999840905,271,131,93,35,9,3
W00004747,1.00000000000384,269,117,73,53,19,7
W00004748,1.00000000000058,233,108,64,45,11,5
W00004749,1.0000000000006699,276,127,95,44,8,2
W00004750,0.999999999990001,298,145,81,48,19,5
W00004751,0.99999999999998801,259,104,88,45,19,3
W00004752,1.00000000006862,337,174,95,47,16,5
W00004753,0.99999999999605804,334,148,100,58,16,12
W00004754,1.00000000000307,319,182,82,32,21,2
W00004755,1.00000000000027,277,124,82,44,25,2
W00004756,1.0000000000004901,397,208,105,58,23,3
W00004757,0.99999999999885902,303,157,84,34,19,9
W00004758,1.0000000000018201,260,105,78,45,27,5
W00004759,0.99999999999882505,326,132,80,71,29,14
W00004760,0.99999999999825495,270,127,90,36,12,5
W00004761,1.0000000000013201,304,140,84,41,30,9
W00004762,0.99999999999964595,313,159,78,52,19,5
W00004763,1.00000000000023,254,100,81,43,23,7
W00004764,0.99999999999834199,293,129,76,53,24,11
W00004765,0.99999999999809197,271,99,81,54,32,5
W00004766,0.99999999999855704,284,131,68,51,25,9
W00004767,1.00000000000248,164,29,50,39,31,15
W00004768,0.99999999999828204,239,97,72,37,25,8
