ethn..oa_id,ethn..proportion_of_oa_within_co_m_boundary,ethn..total_persons,ethn..white_english_welsh_scottish_northern_irish_british,ethn..white_irish,ethn..white_gypsy_or_irish_traveller,ethn..white_other_white,ethn..mixed_multiple_ethnic_group_white_and_black_caribbean,ethn..mixed_multiple_ethnic_group_white_and_black_african,ethn..mixed_multiple_ethnic_group_white_and_asian,ethn..mixed_multiple_ethnic_group_other_mixed,ethn..asian_asian_british_indian,ethn..asian_asian_british_pakistani,ethn..asian_asian_british_bangladeshi,ethn..asian_asian_british_chinese,ethn..asian_asian_british_other_asian,ethn..black_african_caribbean_black_british_african,ethn..black_african_caribbean_black_british_caribbean,ethn..black_african_caribbean_black_british_other_black,ethn..other_ethnic_group_arab,ethn..other_ethnic_group_any_other_ethnic_group,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
W00003543,0.15657299670678099,313,282,3,1,14,0,0,1,1,5,0,0,3,3,0,0,0,0,0,300,0,11,2,0
W00003545,0.94376344619311303,241,212,0,0,19,1,0,1,0,0,4,0,4,0,0,0,0,0,0,231,0,8,2,0
W00003546,0.976990564851695,312,281,0,0,15,0,2,0,0,14,0,0,0,0,0,0,0,0,0,296,0,14,2,0
W00003547,0.99999999999672295,349,316,0,2,20,0,3,0,1,3,0,0,0,0,0,0,0,0,4,338,0,3,4,4
W00003548,0.56289459748508297,256,238,0,5,7,1,0,0,0,0,1,0,0,0,0,2,1,1,0,250,3,1,1,1
W00003549,0.99940820876482395,289,255,0,1,24,0,0,1,1,0,1,0,0,4,0,0,0,1,1,280,0,5,2,2
W00003550,0.99999999999822098,323,294,1,2,16,0,2,2,0,3,0,0,0,3,0,0,0,0,0,313,0,6,4,0
W00003552,0.97371483018137595,346,325,3,0,9,2,0,0,5,0,0,0,0,0,0,0,0,2,0,337,0,0,7,2
W00003553,0.98287335864274905,305,269,0,1,17,1,0,0,0,0,0,0,6,6,0,0,0,0,5,287,0,12,1,5
W00003554,1.0000000000071101,275,260,2,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,274,0,0,1,0
W00010009,0.96988523680309402,189,172,8,3,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,187,1,0,1,0
