health..oa_id,health..proportion_of_oa_within_co_m_boundary,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
W00003543,0.15657299670678099,313,123,84,58,34,14
W00003545,0.94376344619311303,241,99,64,44,22,12
W00003546,0.976990564851695,312,144,85,40,34,9
W00003547,0.99999999999672295,349,166,101,55,21,6
W00003548,0.56289459748508297,256,78,73,57,36,12
W00003549,0.99940820876482395,289,129,94,33,23,10
W00003550,0.99999999999822098,323,154,101,43,15,10
W00003552,0.97371483018137595,346,137,111,46,37,15
W00003553,0.98287335864274905,305,163,72,48,16,6
W00003554,1.0000000000071101,275,129,72,42,21,11
W00010009,0.96988523680309402,189,51,56,37,36,9
