house..oa_id,house..proportion_of_oa_within_co_m_boundary,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
W00003543,0.15657299670678099,141,22,37,32,21,18,10,1
W00003545,0.94376344619311303,112,29,25,16,14,15,9,4
W00003546,0.976990564851695,121,12,10,44,17,20,14,4
W00003547,0.99999999999672295,135,21,16,26,26,24,13,9
W00003548,0.56289459748508297,132,31,34,29,16,11,8,3
W00003549,0.99940820876482395,120,4,27,28,23,28,7,3
W00003550,0.99999999999822098,135,16,29,33,26,13,9,9
W00003552,0.97371483018137595,133,7,15,38,24,27,16,6
W00003553,0.98287335864274905,134,19,28,31,23,22,6,5
W00003554,1.0000000000071101,122,15,21,34,17,23,10,2
W00010009,0.96988523680309402,120,25,56,15,6,9,9,0
