rel..oa_id,rel..proportion_of_oa_within_co_m_boundary,rel..total_persons,rel..christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
W00003543,0.15657299670678099,313,175,0,0,0,1,0,1,107,29
W00003545,0.94376344619311303,241,126,1,0,0,4,0,2,96,12
W00003546,0.976990564851695,312,165,1,0,0,0,7,2,115,22
W00003547,0.99999999999672295,349,183,0,0,0,0,3,0,126,37
W00003548,0.56289459748508297,256,148,0,1,1,2,0,2,76,26
W00003549,0.99940820876482395,289,127,4,0,0,3,0,3,140,12
W00003550,0.99999999999822098,323,190,0,1,0,0,2,1,111,18
W00003552,0.97371483018137595,346,153,0,0,0,2,0,1,168,22
W00003553,0.98287335864274905,305,138,1,0,0,1,0,2,133,30
W00003554,1.0000000000071101,275,126,0,0,0,4,0,1,122,22
W00010009,0.96988523680309402,189,104,0,0,0,0,0,0,60,25
