ethn..oa_id,ethn..proportion_of_oa_within_co_m_boundary,ethn..total_persons,ethn..white_english_welsh_scottish_northern_irish_british,ethn..white_irish,ethn..white_gypsy_or_irish_traveller,ethn..white_other_white,ethn..mixed_multiple_ethnic_group_white_and_black_caribbean,ethn..mixed_multiple_ethnic_group_white_and_black_african,ethn..mixed_multiple_ethnic_group_white_and_asian,ethn..mixed_multiple_ethnic_group_other_mixed,ethn..asian_asian_british_indian,ethn..asian_asian_british_pakistani,ethn..asian_asian_british_bangladeshi,ethn..asian_asian_british_chinese,ethn..asian_asian_british_other_asian,ethn..black_african_caribbean_black_british_african,ethn..black_african_caribbean_black_british_caribbean,ethn..black_african_caribbean_black_british_other_black,ethn..other_ethnic_group_arab,ethn..other_ethnic_group_any_other_ethnic_group,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
E00080972,1.00000000000001,326,246,3,0,17,1,1,4,0,25,7,8,3,2,5,2,0,1,1,266,7,45,6,2
E00080973,1.0000000000012701,362,233,2,0,28,0,1,0,2,24,13,39,1,3,7,0,6,0,3,263,13,80,3,3
E00080974,1,371,298,4,3,19,1,0,3,0,10,0,0,0,10,4,8,2,7,2,324,14,20,4,9
E00080975,0.999999999999999,388,150,1,0,41,0,1,3,0,101,13,41,1,18,10,4,1,1,2,192,15,174,4,3
E00080976,1.0000000000012199,377,218,3,2,67,8,1,1,2,20,6,6,6,14,11,5,4,0,3,290,20,52,12,3
E00080977,0.99999999999989397,316,191,3,0,49,2,2,3,0,25,1,8,4,9,17,0,1,0,1,243,18,47,7,1
E00080978,1.0000000000018301,300,217,0,0,28,5,2,1,4,1,4,0,1,0,21,3,0,0,13,245,24,6,12,13
E00080979,0.99999999999967104,376,250,5,2,24,0,4,7,12,35,1,7,1,3,16,2,0,0,7,281,18,47,23,7
E00080981,1.0000000000015099,406,229,6,0,62,0,1,7,6,19,1,17,10,8,8,1,0,0,31,297,9,55,14,31
E00080982,0.99999999999998301,286,180,9,4,13,4,0,1,7,24,6,15,2,9,9,2,1,0,0,206,12,56,12,0
E00080983,1.00000000000255,524,293,3,1,152,7,5,2,5,9,7,1,4,7,16,11,0,0,1,449,27,28,19,1
E00080984,0.999999999999305,263,173,4,1,14,1,4,2,2,10,0,31,2,3,15,0,0,0,1,192,15,46,9,1
E00080985,1.00000000000004,297,185,1,0,24,3,0,0,4,28,4,28,6,3,5,1,4,0,1,210,10,69,7,1
E00080986,0.99999999999878297,336,154,5,0,31,5,9,1,4,45,0,40,1,17,12,7,1,0,4,190,20,103,19,4
E00080987,1,255,175,0,0,26,5,0,2,2,17,1,6,1,0,15,0,0,0,5,201,15,25,9,5
E00080988,0.99999999999937506,308,225,3,0,25,2,0,1,0,21,5,0,3,14,0,8,0,0,1,253,8,43,3,1
E00080989,1,420,266,2,3,66,4,1,2,2,7,2,0,7,5,41,2,1,0,9,337,44,21,9,9
E00080990,0.99999999999998801,302,220,1,1,49,1,1,0,1,6,1,0,1,4,8,0,1,0,7,271,9,12,3,7
E00080991,1,297,229,4,0,22,5,0,1,2,5,0,0,0,9,18,1,1,0,0,255,20,14,8,0
E00080992,1.0000000000096401,410,286,0,4,18,3,4,2,3,34,2,24,2,4,10,5,0,8,1,308,15,66,12,9
E00080993,1,291,201,6,0,39,1,2,1,3,14,0,0,5,1,11,1,0,3,3,246,12,20,7,6
E00080994,0.99999999999929601,337,269,8,0,24,5,1,4,3,10,1,0,0,7,0,5,0,0,0,301,5,18,13,0
E00080995,0.99999999999996403,293,162,2,9,3,2,2,1,0,61,2,30,0,2,6,10,0,0,1,176,16,95,5,1
E00080996,0.99999999999894396,376,305,0,5,36,7,0,4,1,9,0,0,0,0,6,1,0,0,2,346,7,9,12,2
E00080997,1.00000000000006,306,263,0,0,15,1,0,1,5,8,0,0,0,1,11,1,0,0,0,278,12,9,7,0
E00080998,0.99999999999999301,370,276,3,3,41,2,1,2,4,7,3,0,0,7,15,2,0,3,1,323,17,17,9,4
E00080999,0.99999999999991795,262,193,2,0,26,4,2,0,0,10,0,0,2,8,9,2,0,0,4,221,11,20,6,4
E00081000,1,349,211,7,5,65,5,1,4,3,9,0,0,1,0,5,4,10,16,3,288,19,10,13,19
E00081001,1.0000000000004801,322,276,0,0,12,4,2,0,3,6,0,0,0,0,14,5,0,0,0,288,19,6,9,0
E00081002,0.99999999998046696,286,222,4,1,18,0,1,4,2,5,0,12,0,3,10,4,0,0,0,245,14,20,7,0
E00081003,1,443,334,3,3,46,5,2,0,1,0,0,15,1,10,16,5,0,0,2,386,21,26,8,2
E00081004,1.00000000000002,438,359,1,0,20,6,1,1,4,2,0,1,0,8,26,4,0,1,4,380,30,11,12,5
E00081005,0.99999999999328903,379,330,3,1,17,2,4,4,1,0,0,0,0,0,12,4,0,1,0,351,16,0,11,1
E00081006,0.99999999999757605,241,189,4,0,17,3,4,1,3,4,0,0,0,0,7,4,0,0,5,210,11,4,11,5
E00081007,0.999999999999994,319,257,2,2,4,4,5,1,1,9,8,0,1,1,15,1,4,4,0,265,20,19,11,4
E00081008,0.99999999999998501,310,264,3,0,21,3,0,0,0,7,0,5,1,1,4,1,0,0,0,288,5,14,3,0
E00081009,0.999999999999996,339,285,9,4,15,0,2,0,0,14,0,0,0,4,1,0,0,4,1,313,1,18,2,5
E00081010,1,283,265,5,0,2,2,0,0,0,6,0,0,0,1,0,2,0,0,0,272,2,7,2,0
E00081011,1.00000000000001,293,174,6,0,36,1,5,1,1,35,1,2,3,4,22,1,0,0,1,216,23,45,8,1
