health..oa_id,health..proportion_of_oa_within_co_m_boundary,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
E00080972,1.00000000000001,326,103,148,56,18,1
E00080973,1.0000000000012701,362,166,138,44,11,3
E00080974,1,371,148,138,51,23,11
E00080975,0.999999999999999,388,158,177,44,8,1
E00080976,1.0000000000012199,377,171,154,39,8,5
E00080977,0.99999999999989397,316,137,119,46,13,1
E00080978,1.0000000000018301,300,139,115,33,10,3
E00080979,0.99999999999967104,376,157,144,53,15,7
E00080981,1.0000000000015099,406,189,152,42,17,6
E00080982,0.99999999999998301,286,85,110,49,30,12
E00080983,1.00000000000255,524,238,221,41,14,10
E00080984,0.999999999999305,263,125,96,25,14,3
E00080985,1.00000000000004,297,125,113,43,14,2
E00080986,0.99999999999878297,336,175,120,29,8,4
E00080987,1,255,115,76,41,15,8
E00080988,0.99999999999937506,308,139,117,38,12,2
E00080989,1,420,203,154,43,13,7
E00080990,0.99999999999998801,302,123,123,38,16,2
E00080991,1,297,136,96,44,19,2
E00080992,1.0000000000096401,410,191,156,46,17,0
E00080993,1,291,115,121,40,13,2
E00080994,0.99999999999929601,337,160,122,45,6,4
E00080995,0.99999999999996403,293,130,112,34,14,3
E00080996,0.99999999999894396,376,144,148,63,15,6
E00080997,1.00000000000006,306,141,98,46,16,5
E00080998,0.99999999999999301,370,199,118,43,9,1
E00080999,0.99999999999991795,262,134,89,36,3,0
E00081000,1,349,154,136,44,10,5
E00081001,1.0000000000004801,322,157,98,47,19,1
E00081002,0.99999999998046696,286,128,110,32,13,3
E00081003,1,443,197,161,65,16,4
E00081004,1.00000000000002,438,200,149,67,20,2
E00081005,0.99999999999328903,379,172,124,50,26,7
E00081006,0.99999999999757605,241,111,86,31,9,4
E00081007,0.999999999999994,319,150,115,38,11,5
E00081008,0.99999999999998501,310,132,96,51,22,9
E00081009,0.999999999999996,339,175,118,35,9,2
E00081010,1,283,45,57,94,65,22
E00081011,1.00000000000001,293,139,105,35,12,2
E00081012,1,250,110,88,28,22,2
E00081013,1.0000000000010401,218,94,81,34,8,1
E00081014,1.0000000000002101,368,136,167,46,17,2
E00081015,1.00000000000001,321,172,111,29,8,1
E00081016,1.00000000000004,379,176,142,41,14,6
E00081017,0.99999999999936595,295,113,132,38,8,4
E00081018,1,161,59,50,32,14,6
E00081019,1.00000000000004,264,117,106,29,10,2
E00081020,1.0000000000020499,250,84,72,57,24,13
E00081021,1.8469530509556902E-2,503,270,169,56,7,1
E00081038,1.0000000000118101,612,319,212,69,11,1
E00081039,0.99999999999950495,343,155,124,52,10,2
E00081040,0.99999999998996203,323,168,109,31,10,5
E00081041,1,247,94,84,52,11,6
E00081042,1.00000000000139,349,142,137,54,12,4
E00081043,1.0000000000078999,328,153,119,43,10,3
E00081044,0.99999999999909595,426,219,141,49,14,3
E00081046,0.99999999994830902,338,174,104,50,9,1
E00081047,1.0000000000007401,324,155,104,49,10,6
E00081048,1.0000000000007401,328,152,115,42,16,3
E00081049,0.99999999999697098,457,234,141,51,30,1
E00081050,1.00000000000001,240,108,83,32,14,3
E00081051,1.00000000000144,287,146,100,31,9,1
E00081052,0.99999999999997702,414,180,161,48,21,4
E00081053,1.00000000000004,253,119,69,39,18,8
E00081054,0.99999999999795497,293,146,86,45,15,1
E00081055,1.00000000000002,309,122,112,45,27,3
E00081056,1.00000000000835,359,148,107,61,34,9
E00081057,0.99999999999999001,263,79,118,48,15,3
E00081058,0.99999999999889699,380,181,128,40,24,7
E00081059,0.99999999999998002,317,143,112,38,20,4
E00081060,0.99999999999995803,352,135,141,56,17,3
E00081061,0.99999999999956002,338,165,125,35,11,2
E00081062,1.00000000000002,259,120,93,36,7,3
E00081063,1.00000000000006,368,143,137,66,16,6
E00081065,1.0000000000007101,301,107,125,50,16,3
E00081066,1.00000000000087,322,161,120,26,9,6
E00081067,0.99999999999967903,323,166,95,45,11,6
E00081068,1,210,77,87,36,8,2
E00081069,0.99999999999749301,362,180,119,50,9,4
E00081071,0.99999999999995604,340,155,122,45,14,4
E00081072,1.00000000000078,304,139,94,53,12,6
E00081073,0.99999999999817601,348,170,108,40,25,5
