house..oa_id,house..proportion_of_oa_within_co_m_boundary,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00080972,1.00000000000001,113,13,15,36,29,6,11,3
E00080973,1.0000000000012701,128,10,25,23,29,13,24,4
E00080974,1,132,18,15,46,30,7,9,7
E00080975,0.999999999999999,132,11,16,37,16,9,35,8
E00080976,1.0000000000012199,132,7,19,29,33,16,15,13
E00080977,0.99999999999989397,126,14,21,32,25,7,18,9
E00080978,1.0000000000018301,118,7,23,24,24,22,15,3
E00080979,0.99999999999967104,147,17,15,42,39,9,19,6
E00080981,1.0000000000015099,130,5,24,24,34,16,17,10
E00080982,0.99999999999998301,135,22,35,27,18,13,15,5
E00080983,1.00000000000255,178,8,34,25,54,26,24,7
E00080984,0.999999999999305,117,14,34,22,22,17,7,1
E00080985,1.00000000000004,119,9,35,17,22,8,22,6
E00080986,0.99999999999878297,116,5,20,22,27,15,15,12
E00080987,1,114,17,28,19,22,9,15,4
E00080988,0.99999999999937506,123,14,18,38,29,7,11,6
E00080989,1,157,10,21,36,41,24,18,7
E00080990,0.99999999999998801,117,11,22,21,30,12,16,5
E00080991,1,119,15,14,25,34,18,11,2
E00080992,1.0000000000096401,157,9,34,29,35,21,23,6
E00080993,1,126,15,26,23,30,11,17,4
E00080994,0.99999999999929601,122,11,16,33,29,16,12,5
E00080995,0.99999999999996403,102,9,11,29,32,6,12,3
E00080996,0.99999999999894396,165,8,41,34,23,40,16,3
E00080997,1.00000000000006,101,14,8,22,28,17,6,6
E00080998,0.99999999999999301,129,5,23,24,41,17,11,8
E00080999,0.99999999999991795,105,10,17,30,24,10,10,4
E00081000,1,142,13,31,34,40,11,10,3
E00081001,1.0000000000004801,112,7,11,29,25,27,8,5
E00081002,0.99999999998046696,123,15,21,41,23,9,12,2
E00081003,1,175,16,29,47,45,16,14,8
E00081004,1.00000000000002,157,15,21,31,38,34,11,7
E00081005,0.99999999999328903,129,11,15,24,35,26,13,5
E00081006,0.99999999999757605,104,15,19,29,21,10,8,2
E00081007,0.999999999999994,120,13,17,27,34,17,10,2
E00081008,0.99999999999998501,126,19,20,42,20,16,4,5
E00081009,0.999999999999996,123,12,8,53,33,6,6,5
E00081010,1,128,58,34,20,8,2,5,1
E00081011,1.00000000000001,148,11,57,39,14,2,22,3
E00081012,1,140,10,71,23,11,6,15,4
E00081013,1.0000000000010401,104,10,32,25,12,5,19,1
E00081014,1.0000000000002101,128,12,27,23,27,4,28,7
E00081015,1.00000000000001,121,10,28,27,36,9,6,5
