pop..lsoa_id,pop..proportion_of_lsoa_within_co_m_boundary,pop..total_persons,pop..male_persons,pop..female_persons,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
E01016016,1,1691,860,831,130,123,148,288,260,495,190,57
E01016017,0.99999999999999001,1760,907,853,118,158,111,292,379,471,181,50
E01016018,0.99999999999999101,2205,1137,1068,200,262,232,351,378,557,168,57
E01016019,1,2062,1077,985,162,239,211,342,396,524,153,35
E01016020,1.00000000000001,1255,609,646,83,146,112,159,222,322,143,68
E01016021,1,1549,759,790,107,162,117,251,242,377,161,132
E01016022,1.0000000000000999,1447,716,731,106,129,135,255,231,406,125,60
E01016023,0.999999999999997,1773,851,922,167,300,191,260,241,412,143,59
E01016024,0.99999999999870604,2156,1099,1057,207,258,172,377,422,515,145,60
E01016025,1,1649,790,859,84,151,147,227,182,416,269,173
E01016027,1.51585046426104E-2,1546,795,751,76,125,130,137,164,446,311,157
E01016030,0.90551275399507603,2037,939,1098,199,241,170,286,292,524,207,118
E01016031,0.99999999999989597,1988,1015,973,190,229,143,324,392,438,182,90
E01016032,1,1389,674,715,85,186,173,242,222,311,126,44
E01016033,1.00000000000088,1215,638,577,95,120,97,211,177,294,142,79
E01016034,0.89472584082045703,2645,1354,1291,178,256,191,455,382,745,305,133
E01016035,1.0000000000004901,1879,949,930,140,195,131,453,282,456,158,64
E01016036,0.99999999999999201,3544,1859,1685,192,201,222,1592,471,531,236,99
E01016037,1.00000000000086,1749,912,837,131,180,124,391,279,420,164,60
E01016038,1.0000000000006499,1600,825,775,113,187,125,235,266,398,202,74
E01016039,1.0000000000004099,1826,964,862,122,187,157,352,344,417,176,71
E01016040,1.00000000000024,1838,928,910,146,216,158,281,293,464,208,72
E01016041,1,1785,923,862,142,163,128,294,339,451,184,84
E01016042,0.99999999999892597,1588,784,804,119,196,145,236,260,417,170,45
E01016043,1.0000000000000999,1397,683,714,81,129,113,172,214,366,222,100
E01016044,1.0000000000004501,1846,895,951,125,225,144,266,345,442,212,87
E01016045,1.0000000000012701,1658,861,797,95,145,159,304,277,467,155,56
E01016046,1.00000000000001,1624,803,821,154,166,111,258,291,416,169,59
E01016047,0.99999999999998201,1868,957,911,123,255,156,324,341,441,166,62
E01016048,0.99999999999997902,1940,997,943,162,211,168,284,302,503,239,71
E01016049,0.99999999999957701,2388,1237,1151,216,281,147,453,504,530,197,60
E01016050,1.0000000000000899,1613,799,814,91,127,106,174,155,420,373,167
E01016051,1,1517,754,763,72,110,112,190,158,435,315,125
E01016052,0.88855918785005406,1730,815,915,79,126,110,161,164,435,402,253
E01016053,1.0000000000014699,1418,661,757,41,84,80,143,99,365,357,249
E01016054,0.999999999999997,1489,732,757,73,147,86,142,157,376,343,165
E01016055,1.0000000000001901,1490,719,771,83,148,120,172,235,335,258,139
E01016056,0.98305748623552003,1461,750,711,131,130,82,196,261,400,199,62
E01016057,1,1670,802,868,101,182,130,208,234,471,270,74
E01016058,0.99948753758777398,1529,746,783,83,113,97,177,193,426,318,122
E01016059,1,1330,670,660,74,136,116,193,181,354,200,76
E01016060,0.99999999999934297,1545,741,804,81,133,110,192,123,422,322,162
E01016061,0.99999999999811695,1901,993,908,170,216,166,306,364,497,126,56
E01016062,0.99999999999648004,1582,761,821,122,197,141,257,219,430,156,60
E01016063,0.99999999999898803,1839,982,857,153,218,144,282,336,449,183,74
E01016064,1.00000000000034,1850,1003,847,124,203,127,299,272,486,197,142
E01016065,0.99999999999999301,1295,641,654,58,84,68,133,155,381,278,138
E01016066,1,1526,720,806,103,150,118,187,225,389,234,120
E01016067,0.99999999999992095,1637,816,821,85,175,147,233,205,460,248,84
E01016068,0.99999999999998401,1873,929,944,168,218,181,274,251,481,225,75
E01016069,1,1899,990,909,150,187,172,342,365,470,175,38
E01016078,1,1480,720,760,157,123,55,272,298,404,137,34
E01016079,0.99999999999999001,1332,668,664,79,108,95,173,170,381,245,81
E01016080,1.00000000000002,1487,708,779,96,152,106,252,225,385,173,98
E01016081,1.00000000000028,1634,845,789,88,181,146,248,228,474,241,28
E01016082,1,1451,712,739,100,137,98,200,232,392,233,59
E01016083,1,1375,657,718,86,134,116,185,186,350,232,86
E01016084,1,1466,709,757,103,180,134,257,181,367,195,49
E01016085,0.99999999999953004,1570,749,821,62,91,92,163,89,414,385,274
E01016086,1,1279,617,662,38,94,116,111,118,380,277,145
E01016087,1,1742,850,892,85,172,111,213,221,450,345,145
E01016088,1.0000000000004201,1482,702,780,82,147,126,155,159,407,262,144
E01016089,1,1566,803,763,72,112,108,175,164,404,309,222
E01016090,1,1490,699,791,84,122,94,151,158,419,274,188
E01016091,0.99999999999984401,1490,712,778,44,114,111,160,115,382,342,222
E01016092,1.00000000000001,1469,683,786,75,128,76,157,164,372,309,188
E01016093,0.14681565999340501,1635,814,821,79,134,91,139,159,418,359,256
E01016094,0.38696971157149401,1412,701,711,66,117,83,190,171,374,271,140
E01016095,0.446719388873769,1303,620,683,66,143,110,154,179,382,174,95
E01016096,0.99999999999568601,1509,703,806,99,123,75,142,173,373,281,243
E01016097,1,1497,731,766,75,157,106,180,224,388,264,103
E01016098,1,1410,642,768,118,143,79,222,187,343,203,115
E01016099,1.0000000000001501,1499,702,797,110,173,107,224,196,383,232,74
E01016100,0.56256606479487803,1491,718,773,105,155,94,170,218,356,279,114
E01016101,1,1446,674,772,99,160,94,218,188,352,244,91
E01016102,0.99195155818501601,1476,713,763,74,128,108,193,228,397,224,124
E01016103,0.204703567165816,1811,872,939,131,161,127,226,258,516,303,89
E01016104,1.00000000000002,1355,669,686,87,174,93,140,213,341,220,87
E01016105,0.99999999999935396,1346,663,683,65,105,89,141,123,342,273,208
E01016106,1,1439,688,751,67,138,116,151,162,359,264,182
E01016107,0.88758531113038897,1525,781,744,81,125,131,171,191,396,320,110
E01016110,0.999999999998886,2988,1463,1525,195,187,177,849,518,646,268,148
E01016111,1,1533,757,776,158,164,88,297,296,350,115,65
E01016112,1,3615,1837,1778,216,323,294,598,467,1140,410,167
