rel..oa_id,rel..proportion_of_oa_within_co_m_boundary,rel..total_persons,rel..christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
E00080972,1.00000000000001,326,189,0,15,0,15,7,2,65,33
E00080973,1.0000000000012701,362,157,1,12,4,45,6,3,119,15
E00080974,1,371,264,4,8,0,7,4,1,63,20
E00080975,0.999999999999999,388,141,0,57,0,58,47,0,64,21
E00080976,1.0000000000012199,377,196,4,10,0,19,13,4,113,18
E00080977,0.99999999999989397,316,149,4,3,0,12,26,1,86,35
E00080978,1.0000000000018301,300,148,2,0,0,11,0,4,101,34
E00080979,0.99999999999967104,376,205,1,3,0,9,23,5,84,46
E00080981,1.0000000000015099,406,237,5,12,1,39,2,0,86,24
E00080982,0.99999999999998301,286,147,0,11,0,22,13,0,80,13
E00080983,1.00000000000255,524,280,2,5,0,14,5,0,162,56
E00080984,0.999999999999305,263,101,1,0,0,23,12,1,100,25
E00080985,1.00000000000004,297,137,4,8,0,33,20,0,74,21
E00080986,0.99999999999878297,336,163,4,5,1,54,31,0,71,7
E00080987,1,255,128,2,0,0,6,22,1,81,15
E00080988,0.99999999999937506,308,157,2,0,0,6,26,0,80,37
E00080989,1,420,223,8,4,2,17,5,2,125,34
E00080990,0.99999999999998801,302,170,0,1,1,8,5,2,93,22
E00080991,1,297,178,0,3,0,7,0,3,95,11
E00080992,1.0000000000096401,410,167,1,17,0,42,14,1,143,25
E00080993,1,291,157,1,5,1,7,0,4,88,28
E00080994,0.99999999999929601,337,185,0,0,0,0,11,0,111,30
E00080995,0.99999999999996403,293,133,0,15,0,35,37,0,55,18
E00080996,0.99999999999894396,376,196,2,1,0,0,4,0,144,29
E00080997,1.00000000000006,306,147,1,7,1,1,1,0,120,28
E00080998,0.99999999999999301,370,206,1,4,0,6,4,3,117,29
E00080999,0.99999999999991795,262,146,2,14,1,2,4,0,76,17
E00081000,1,349,184,0,6,0,15,0,3,117,24
E00081001,1.0000000000004801,322,162,0,1,0,1,6,1,125,26
E00081002,0.99999999998046696,286,181,0,0,0,15,4,1,72,13
E00081003,1,443,235,1,1,0,17,4,4,148,33
E00081004,1.00000000000002,438,213,3,0,0,7,0,3,179,33
E00081005,0.99999999999328903,379,189,0,2,0,8,0,4,153,23
E00081006,0.99999999999757605,241,130,0,0,0,8,0,0,85,18
E00081007,0.999999999999994,319,166,0,0,0,8,7,0,103,35
E00081008,0.99999999999998501,310,156,1,2,0,6,5,0,113,27
E00081009,0.999999999999996,339,230,0,0,0,0,14,1,75,19
E00081010,1,283,177,0,6,2,0,0,0,43,55
E00081011,1.00000000000001,293,139,0,27,0,3,10,0,91,23
E00081012,1,250,135,3,4,0,27,1,1,63,16
E00081013,1.0000000000010401,218,111,0,6,0,6,1,1,82,11
E00081014,1.0000000000002101,368,173,9,16,0,34,33,1,81,21
E00081015,1.00000000000001,321,168,1,14,3,7,13,2,90,23
E00081016,1.00000000000004,379,162,2,14,0,45,43,2,91,20
E00081017,0.99999999999936595,295,158,7,6,0,6,20,3,75,20
E00081018,1,161,71,0,3,0,19,0,0,61,7
E00081019,1.00000000000004,264,114,0,0,2,10,8,1,95,34
E00081020,1.0000000000020499,250,123,1,0,1,3,4,5,98,15
E00081021,1.8469530509556902E-2,503,347,2,9,0,5,0,2,109,29
E00081038,1.0000000000118101,612,336,1,1,1,18,4,1,206,44
E00081039,0.99999999999950495,343,171,0,6,0,0,2,8,136,20
E00081040,0.99999999998996203,323,138,0,7,0,22,16,3,113,24
