ethn..oa_id,ethn..proportion_of_oa_within_co_m_boundary,ethn..total_persons,ethn..white_english_welsh_scottish_northern_irish_british,ethn..white_irish,ethn..white_gypsy_or_irish_traveller,ethn..white_other_white,ethn..mixed_multiple_ethnic_group_white_and_black_caribbean,ethn..mixed_multiple_ethnic_group_white_and_black_african,ethn..mixed_multiple_ethnic_group_white_and_asian,ethn..mixed_multiple_ethnic_group_other_mixed,ethn..asian_asian_british_indian,ethn..asian_asian_british_pakistani,ethn..asian_asian_british_bangladeshi,ethn..asian_asian_british_chinese,ethn..asian_asian_british_other_asian,ethn..black_african_caribbean_black_british_african,ethn..black_african_caribbean_black_british_caribbean,ethn..black_african_caribbean_black_british_other_black,ethn..other_ethnic_group_arab,ethn..other_ethnic_group_any_other_ethnic_group,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
E00060611,1.2568415194795301E-2,263,252,0,0,2,0,0,4,0,0,1,0,0,4,0,0,0,0,0,254,0,5,4,0
E00060811,0.99972706346378604,326,315,2,0,3,1,0,1,0,1,0,0,0,2,0,0,0,0,1,320,0,3,2,1
E00060813,0.99999999999886302,308,305,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,305,0,0,3,0
E00060814,0.99999999999848899,289,279,0,0,1,1,2,4,0,0,0,0,0,1,1,0,0,0,0,280,1,1,7,0
E00060815,1.00000000000145,242,230,2,1,0,1,0,0,0,0,4,0,3,0,0,0,1,0,0,233,1,7,1,0
E00060817,0.97576025588701498,320,297,2,0,1,1,1,2,1,2,0,5,0,2,5,1,0,0,0,300,6,9,5,0
E00060818,0.45729972713960498,280,260,0,0,1,3,0,0,0,0,12,0,2,0,1,0,1,0,0,261,2,14,3,0
E00060819,1.00000000022866,248,233,1,0,7,3,0,3,0,0,0,0,1,0,0,0,0,0,0,241,0,1,6,0
E00060820,1.0000000000063201,300,293,0,0,3,0,1,1,0,0,0,0,0,0,2,0,0,0,0,296,2,0,2,0
E00060821,0.99897130562106995,320,304,3,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,6,307,6,0,1,6
E00060822,0.99999999999975198,265,255,1,0,5,2,0,1,0,0,0,0,0,0,0,0,1,0,0,261,1,0,3,0
E00060831,1.0000000000009499,248,242,0,0,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,244,1,0,3,0
E00060902,1.35041015212395E-2,374,357,0,0,4,6,2,0,1,1,0,0,0,0,3,0,0,0,0,361,3,1,9,0
E00060911,1.36553920438155E-2,299,291,2,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,3,0
E00060965,0.99999999999798395,323,315,2,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,317,3,3,0,0
E00060966,0.99999999999975497,281,264,1,0,2,1,1,0,1,0,1,0,0,1,8,0,0,1,0,267,8,2,3,1
E00060967,0.99482704812102896,323,308,0,0,3,1,2,1,2,0,0,0,0,0,4,0,0,0,2,311,4,0,6,2
E00060968,1.0000000000006899,366,345,0,0,1,4,4,1,1,0,0,0,2,4,3,0,0,0,1,346,3,6,10,1
E00060969,0.96254117838201403,333,315,2,0,1,3,3,2,1,0,0,0,0,0,6,0,0,0,0,318,6,0,9,0
E00060970,0.99616033861911402,336,320,0,0,4,6,0,1,0,0,1,0,0,4,0,0,0,0,0,324,0,5,7,0
E00060971,1.00000000000496,374,344,4,0,4,1,2,0,0,6,0,0,0,1,11,0,1,0,0,352,12,7,3,0
E00060972,0.99646805843806696,373,348,1,1,8,0,0,7,1,0,0,0,0,0,6,0,0,0,1,358,6,0,8,1
E00060973,1.00000000000166,269,257,3,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,261,8,0,0,0
E00060974,1.0000000000003999,291,277,0,0,3,0,1,5,0,2,0,0,0,3,0,0,0,0,0,280,0,5,6,0
E00060975,1.0000000000328899,280,262,1,0,6,0,0,8,0,0,1,0,0,0,2,0,0,0,0,269,2,1,8,0
E00060976,0.95330628744148704,353,324,1,0,1,9,1,4,2,0,1,0,5,4,0,0,0,1,0,326,0,10,16,1
E00060977,1.00000000000362,140,137,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,1,0
E00060978,0.99999999999854905,333,319,0,0,6,1,1,0,1,3,1,0,0,1,0,0,0,0,0,325,0,5,3,0
E00060979,0.99999999999853995,428,402,1,0,0,0,1,4,1,0,7,0,0,1,7,0,3,0,1,403,10,8,6,1
E00060980,0.99562808037991002,368,358,1,0,1,5,0,0,2,0,0,0,0,0,0,0,1,0,0,360,1,0,7,0
E00060981,0.15564220469241899,385,369,1,0,9,0,1,0,3,0,0,0,0,0,2,0,0,0,0,379,2,0,4,0
E00060982,0.99999999999752998,341,335,0,0,0,1,2,0,1,0,0,0,0,0,1,0,1,0,0,335,2,0,4,0
E00060983,0.99999999999956501,393,388,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,0,0,0,0
