health..oa_id,health..proportion_of_oa_within_co_m_boundary,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
E00060611,1.2568415194795301E-2,263,110,88,36,22,7
E00060811,0.99972706346378604,326,151,117,41,13,4
E00060813,0.99999999999886302,308,153,92,37,14,12
E00060814,0.99999999999848899,289,129,79,47,23,11
E00060815,1.00000000000145,242,89,79,46,24,4
E00060817,0.97576025588701498,320,133,102,52,24,9
E00060818,0.45729972713960498,280,104,79,52,29,16
E00060819,1.00000000022866,248,81,80,45,26,16
E00060820,1.0000000000063201,300,181,83,24,10,2
E00060821,0.99897130562106995,320,161,103,37,15,4
E00060822,0.99999999999975198,265,103,78,45,33,6
E00060831,1.0000000000009499,248,100,57,60,21,10
E00060902,1.35041015212395E-2,374,163,118,64,21,8
E00060911,1.36553920438155E-2,299,132,97,46,15,9
E00060965,0.99999999999798395,323,126,93,54,35,15
E00060966,0.99999999999975497,281,93,98,53,30,7
E00060967,0.99482704812102896,323,129,118,42,28,6
E00060968,1.0000000000006899,366,141,131,59,27,8
E00060969,0.96254117838201403,333,163,85,50,24,11
E00060970,0.99616033861911402,336,128,125,58,19,6
E00060971,1.00000000000496,374,174,111,51,29,9
E00060972,0.99646805843806696,373,172,121,46,27,7
E00060973,1.00000000000166,269,92,77,59,35,6
E00060974,1.0000000000003999,291,120,93,45,27,6
E00060975,1.0000000000328899,280,107,92,42,35,4
E00060976,0.95330628744148704,353,159,114,56,19,5
E00060977,1.00000000000362,140,17,35,38,42,8
E00060978,0.99999999999854905,333,158,84,56,26,9
E00060979,0.99999999999853995,428,183,146,58,27,14
E00060980,0.99562808037991002,368,182,108,48,27,3
E00060981,0.15564220469241899,385,197,112,51,22,3
E00060982,0.99999999999752998,341,123,89,63,49,17
E00060983,0.99999999999956501,393,175,117,57,32,12
