house..oa_id,house..proportion_of_oa_within_co_m_boundary,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00060611,1.2568415194795301E-2,112,13,30,27,18,13,7,4
E00060811,0.99972706346378604,130,22,15,42,26,15,6,4
E00060813,0.99999999999886302,118,12,21,28,15,25,9,8
E00060814,0.99999999999848899,118,8,22,29,14,26,13,6
E00060815,1.00000000000145,105,19,17,24,17,14,10,4
E00060817,0.97576025588701498,114,2,19,23,24,28,13,5
E00060818,0.45729972713960498,125,32,22,26,18,12,9,6
E00060819,1.00000000022866,121,25,29,18,10,20,15,4
E00060820,1.0000000000063201,115,4,19,26,36,22,7,1
E00060821,0.99897130562106995,125,10,26,22,23,30,11,3
E00060822,0.99999999999975198,129,26,26,20,15,27,10,5
E00060831,1.0000000000009499,117,24,25,21,16,21,7,3
E00060902,1.35041015212395E-2,139,8,24,24,23,38,16,6
E00060911,1.36553920438155E-2,114,9,11,20,18,36,15,5
E00060965,0.99999999999798395,128,18,20,30,19,21,12,8
E00060966,0.99999999999975497,173,10,103,16,10,16,16,2
E00060967,0.99482704812102896,128,11,24,35,28,13,14,3
E00060968,1.0000000000006899,136,14,21,25,31,24,13,8
E00060969,0.96254117838201403,119,9,16,22,27,29,11,5
E00060970,0.99616033861911402,116,9,16,22,26,28,9,6
E00060971,1.00000000000496,135,8,17,32,25,33,13,7
E00060972,0.99646805843806696,124,9,12,27,24,32,10,10
E00060973,1.00000000000166,123,23,26,32,12,13,13,4
E00060974,1.0000000000003999,118,11,29,20,15,21,15,7
E00060975,1.0000000000328899,121,17,25,29,15,12,16,7
E00060976,0.95330628744148704,125,8,19,19,28,29,16,6
E00060977,1.00000000000362,124,23,87,10,0,0,4,0
E00060978,0.99999999999854905,116,14,19,23,25,26,4,5
E00060979,0.99999999999853995,158,13,23,31,38,27,20,6
E00060980,0.99562808037991002,136,12,15,35,27,32,12,3
E00060981,0.15564220469241899,133,16,15,23,33,31,7,8
E00060982,0.99999999999752998,137,41,15,29,21,19,7,5
E00060983,0.99999999999956501,131,11,13,29,35,26,8,9
