rel..oa_id,rel..proportion_of_oa_within_co_m_boundary,rel..total_persons,rel..christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
E00060611,1.2568415194795301E-2,263,173,5,0,0,1,0,0,69,15
E00060811,0.99972706346378604,326,229,0,0,0,0,0,0,76,21
E00060813,0.99999999999886302,308,197,1,0,0,0,0,0,95,15
E00060814,0.99999999999848899,289,196,2,0,0,0,0,0,75,16
E00060815,1.00000000000145,242,173,0,0,0,4,0,0,49,16
E00060817,0.97576025588701498,320,180,1,2,0,5,0,0,122,10
E00060818,0.45729972713960498,280,187,0,0,0,12,0,0,68,13
E00060819,1.00000000022866,248,153,1,0,0,0,0,0,69,25
E00060820,1.0000000000063201,300,210,0,0,0,0,0,0,80,10
E00060821,0.99897130562106995,320,203,0,0,0,0,6,0,96,15
E00060822,0.99999999999975198,265,184,0,0,0,0,0,0,66,15
E00060831,1.0000000000009499,248,169,0,0,0,1,0,0,63,15
E00060902,1.35041015212395E-2,374,230,0,0,0,0,0,0,127,17
E00060911,1.36553920438155E-2,299,214,0,0,0,0,0,1,71,13
E00060965,0.99999999999798395,323,217,0,0,0,0,0,0,92,14
E00060966,0.99999999999975497,281,156,0,0,1,5,0,0,89,30
E00060967,0.99482704812102896,323,211,1,0,0,0,0,2,95,14
E00060968,1.0000000000006899,366,240,0,0,0,2,0,0,105,19
E00060969,0.96254117838201403,333,185,0,1,0,0,0,0,120,27
E00060970,0.99616033861911402,336,209,0,0,0,1,0,0,101,25
E00060971,1.00000000000496,374,249,1,0,0,4,7,0,95,18
E00060972,0.99646805843806696,373,194,0,0,1,0,0,0,134,44
E00060973,1.00000000000166,269,195,1,0,0,0,0,1,57,15
E00060974,1.0000000000003999,291,177,1,0,0,0,0,1,94,18
E00060975,1.0000000000328899,280,192,1,0,0,5,0,1,60,21
E00060976,0.95330628744148704,353,210,0,0,0,5,0,0,114,24
E00060977,1.00000000000362,140,86,1,0,0,0,0,0,38,15
E00060978,0.99999999999854905,333,187,0,0,0,7,0,0,124,15
E00060979,0.99999999999853995,428,254,0,0,0,8,0,0,127,39
E00060980,0.99562808037991002,368,231,0,0,0,0,0,1,101,35
E00060981,0.15564220469241899,385,241,0,0,0,0,0,0,121,23
E00060982,0.99999999999752998,341,243,0,0,0,0,0,0,73,25
E00060983,0.99999999999956501,393,211,0,0,0,0,0,0,153,29
