ethn..sa_id,ethn..proportion_of_sa_within_co_m_boundary,ethn..total_persons,ethn..ethnic_group_white,ethn..ethnic_group_chinese,ethn..ethnic_group_irish_traveller,ethn..ethnic_group_indian,ethn..ethnic_group_pakistani,ethn..ethnic_group_bangladeshi,ethn..ethnic_group_other_asian,ethn..ethnic_group_black_caribbean,ethn..ethnic_group_black_african,ethn..ethnic_group_black_other,ethn..ethnic_group_mixed,ethn..ethnic_group_other,ethn..white_or_white_british_or_white_irish,ethn..black_or_black_british_or_black_irish,ethn..asian_or_asian_british_or_asian_irish,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
N00003676,0.61554231158510497,303,291,1,2,9,0,0,0,0,0,0,0,0,293,0,10,0,0
N00003677,0.99999999962094999,295,292,0,0,2,0,0,0,0,0,0,1,0,292,0,2,1,0
N00003678,1.00000000000244,378,376,0,0,2,0,0,0,0,0,0,0,0,376,0,2,0,0
N00003679,0.99999999998788602,327,320,0,0,6,0,0,0,0,0,0,1,0,320,0,6,1,0
N00003680,0.99999999987175603,254,246,5,0,1,1,0,0,0,0,0,0,1,246,0,7,0,1
N00003681,1.00000000005922,409,374,1,4,22,0,0,3,0,2,0,3,0,378,2,26,3,0
N00003682,0.99999999996122602,226,224,0,1,0,0,0,0,0,0,0,1,0,225,0,0,1,0
N00003702,0.107947719282998,862,849,0,1,1,0,0,7,0,0,0,2,2,850,0,8,2,2
N00003734,0.99981242656337699,380,376,0,2,1,0,0,0,0,0,0,0,1,378,0,1,0,1
N00003735,1.0000000001176601,306,300,1,4,0,0,0,0,0,0,0,1,0,304,0,1,1,0
N00003736,1.0000000000470199,350,336,0,11,0,0,0,0,0,2,0,1,0,347,2,0,1,0
N00003737,0.91447566404056502,544,534,0,6,2,0,0,0,0,0,0,2,0,540,0,2,2,0
N00003738,1.00000000001784,292,290,2,0,0,0,0,0,0,0,0,0,0,290,0,2,0,0
N00003739,1.00000000009118,440,415,5,4,6,6,0,0,0,1,0,1,2,419,1,17,1,2
N00003740,1.0000000000136799,283,279,0,0,1,0,0,0,0,0,0,3,0,279,0,1,3,0
N00003741,0.99999999997054301,244,236,3,1,3,0,0,0,0,0,0,1,0,237,0,6,1,0
N00003742,1.00000000003921,316,310,4,0,0,0,0,1,0,0,0,0,1,310,0,5,0,1
N00003745,2.96736639688834E-2,462,460,0,0,0,0,0,0,0,0,0,1,1,460,0,0,1,1
N00003746,0.74196162811036204,338,338,0,0,0,0,0,0,0,0,0,0,0,338,0,0,0,0
N00003747,0.94866305167435605,314,308,0,0,0,0,0,1,0,0,0,0,5,308,0,1,0,5
N00003749,0.90085101284186897,514,505,3,0,3,0,0,0,0,0,0,0,3,505,0,6,0,3
N00003750,0.99999999999987998,491,479,0,0,3,5,0,0,0,1,0,2,1,479,1,8,2,1
N00003751,0.99916698451047004,559,549,6,0,4,0,0,0,0,0,0,0,0,549,0,10,0,0
N00003752,0.106959881706832,456,447,7,0,0,0,0,0,0,0,0,0,2,447,0,7,0,2
N00003756,0.81467977066610997,353,347,2,4,0,0,0,0,0,0,0,0,0,351,0,2,0,0
N00003765,1.7915825630646101E-2,426,426,0,0,0,0,0,0,0,0,0,0,0,426,0,0,0,0
N00003768,0.97322273228812795,609,592,7,0,0,0,0,0,0,0,4,0,6,592,4,7,0,6
N00003769,0.99999999993156896,351,350,0,0,0,0,0,0,0,0,0,1,0,350,0,0,1,0
N00003770,1.00000000000191,494,479,1,9,0,0,0,0,1,1,0,1,2,488,2,1,1,2
N00003771,1.00000000000193,512,500,0,0,0,4,0,0,0,4,0,4,0,500,4,4,4,0
N00003772,0.99999999994963995,186,186,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0
N00003773,0.99999999878069601,323,312,2,1,2,6,0,0,0,0,0,0,0,313,0,10,0,0
N00003774,1.00000000000605,338,333,0,0,4,0,0,0,0,0,0,1,0,333,0,4,1,0
N00003775,0.99999999999872102,539,538,0,0,0,0,0,1,0,0,0,0,0,538,0,1,0,0
