health..sa_id,health..proportion_of_sa_within_co_m_boundary,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
N00003676,0.61554231158510497,303,118,95,60,26,4
N00003677,0.99999999962094999,295,137,91,41,19,7
N00003678,1.00000000000244,378,152,123,62,31,10
N00003679,0.99999999998788602,327,145,96,54,21,11
N00003680,0.99999999987175603,254,67,96,53,29,9
N00003681,1.00000000005922,409,181,132,65,19,12
N00003682,0.99999999996122602,226,64,69,65,20,8
N00003702,0.107947719282998,862,552,229,60,18,3
N00003734,0.99981242656337699,380,178,117,62,22,1
N00003735,1.0000000001176601,306,113,102,64,23,4
N00003736,1.0000000000470199,350,152,109,55,26,8
N00003737,0.91447566404056502,544,276,156,71,31,10
N00003738,1.00000000001784,292,117,86,55,24,10
N00003739,1.00000000009118,440,207,146,64,16,7
N00003740,1.0000000000136799,283,121,107,37,17,1
N00003741,0.99999999997054301,244,80,78,49,26,11
N00003742,1.00000000003921,316,144,86,65,17,4
N00003745,2.96736639688834E-2,462,254,142,54,9,3
N00003746,0.74196162811036204,338,190,99,37,10,2
N00003747,0.94866305167435605,314,141,104,52,17,0
N00003749,0.90085101284186897,514,316,143,45,10,0
N00003750,0.99999999999987998,491,295,130,47,16,3
N00003751,0.99916698451047004,559,319,154,67,12,7
N00003752,0.106959881706832,456,291,114,37,12,2
N00003756,0.81467977066610997,353,156,102,58,27,10
N00003765,1.7915825630646101E-2,426,235,126,51,11,3
N00003768,0.97322273228812795,609,356,173,52,24,4
N00003769,0.99999999993156896,351,180,100,52,15,4
N00003770,1.00000000000191,494,217,165,78,25,9
N00003771,1.00000000000193,512,268,157,67,18,2
N00003772,0.99999999994963995,186,54,49,47,28,8
N00003773,0.99999999878069601,323,143,87,69,18,6
N00003774,1.00000000000605,338,176,107,38,11,6
N00003775,0.99999999999872102,539,306,155,60,14,4
N00003776,1.0000000001651601,384,172,115,61,25,11
N00003777,1.00000000003525,289,122,80,58,24,5
N00003778,0.99999999988903598,391,166,137,47,31,10
N00003779,1.00000000000972,355,185,81,54,27,8
N00003780,0.99999999943162499,380,217,107,42,13,1
N00003781,0.99999999997002298,388,200,110,51,22,5
N00003782,0.57218852790224894,581,321,176,48,25,11
N00003783,0.999999999717326,330,147,110,41,25,7
N00003786,0.53115823029486797,495,269,158,51,14,3
N00003787,8.2057747544041507E-2,402,230,107,55,7,3
N00003788,0.493742750347687,337,152,107,51,19,8
N00003789,1.6037412390905701E-2,442,236,130,56,15,5
N00003863,0.99999999998042699,236,92,74,49,18,3
N00003864,0.91679543633861105,380,177,119,59,21,4
N00003865,1.0000000000012299,255,85,83,46,31,10
N00003866,0.84830138554555701,339,121,103,83,26,6
N00003867,0.468548362740415,723,337,221,112,45,8
N00003868,0.99480414132077,351,182,91,55,19,4
N00003869,0.86384979612458301,1226,596,380,169,59,22
N00003870,0.99999999999556,254,113,82,46,10,3
N00003871,0.98661788248476701,730,433,218,59,18,2
N00003872,0.99999999995553601,278,98,106,48,23,3
N00003873,0.54798217438005403,1042,438,302,210,79,13
N00003881,0.99999999993355904,491,287,145,43,12,4
N00003882,1.0000000000272999,304,136,116,40,9,3
N00003883,1.0000000007304499,819,451,254,92,14,8
N00003884,1.00000000013523,747,305,244,130,54,14
N00003885,0.99999999985101995,337,154,97,51,29,6
N00003886,0.99999999999100897,305,139,94,50,18,4
