house..sa_id,house..proportion_of_sa_within_co_m_boundary,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
N00003676,0.61554231158510497,132,20,25,24,26,15,17,5
N00003677,0.99999999962094999,125,13,29,21,15,26,14,7
N00003678,1.00000000000244,144,17,25,29,30,14,22,7
N00003679,0.99999999998788602,132,16,22,30,21,20,18,5
N00003680,0.99999999987175603,123,19,36,20,10,15,22,1
N00003681,1.00000000005922,185,34,35,43,27,17,20,9
N00003682,0.99999999996122602,144,52,50,17,6,13,6,0
N00003702,0.107947719282998,239,10,13,53,121,15,16,11
N00003734,0.99981242656337699,134,10,21,29,32,16,21,5
N00003735,1.0000000001176601,124,12,18,24,20,28,18,4
N00003736,1.0000000000470199,128,6,10,42,25,22,19,4
N00003737,0.91447566404056502,174,5,26,18,52,50,14,9
N00003738,1.00000000001784,120,16,16,28,13,12,32,3
N00003739,1.00000000009118,153,8,25,28,45,21,20,6
N00003740,1.0000000000136799,106,6,19,15,19,22,18,7
N00003741,0.99999999997054301,114,15,34,21,11,6,24,3
N00003742,1.00000000003921,133,15,18,39,12,29,18,2
N00003745,2.96736639688834E-2,152,14,11,54,39,12,14,8
N00003746,0.74196162811036204,111,4,16,29,40,14,6,2
N00003747,0.94866305167435605,122,16,11,40,25,10,19,1
N00003749,0.90085101284186897,179,7,32,28,68,24,12,8
N00003750,0.99999999999987998,158,10,13,47,61,11,10,6
N00003751,0.99916698451047004,187,11,33,65,56,9,9,4
N00003752,0.106959881706832,145,5,20,25,58,15,16,6
N00003756,0.81467977066610997,113,7,13,13,20,34,17,9
N00003765,1.7915825630646101E-2,134,15,8,52,36,3,14,6
N00003768,0.97322273228812795,216,13,42,46,62,19,21,13
N00003769,0.99999999993156896,132,17,19,39,22,3,23,9
N00003770,1.00000000000191,182,14,21,35,37,28,36,11
N00003771,1.00000000000193,188,14,33,33,48,24,25,11
N00003772,0.99999999994963995,113,29,42,10,5,10,15,2
N00003773,0.99999999878069601,142,27,21,51,16,5,16,6
N00003774,1.00000000000605,122,12,17,42,32,5,11,3
N00003775,0.99999999999872102,192,15,24,73,48,9,18,5
N00003776,1.0000000001651601,140,26,14,33,30,11,21,5
N00003777,1.00000000003525,111,12,18,25,12,18,20,6
N00003778,0.99999999988903598,167,16,31,25,24,33,33,5
N00003779,1.00000000000972,137,12,20,18,23,34,25,5
N00003780,0.99999999943162499,117,5,15,19,43,20,9,6
N00003781,0.99999999997002298,135,15,16,33,39,14,14,4
N00003782,0.57218852790224894,193,13,26,54,64,17,15,4
N00003783,0.999999999717326,140,16,33,38,21,16,12,4
N00003786,0.53115823029486797,159,6,18,41,55,18,18,3
N00003787,8.2057747544041507E-2,135,23,10,39,36,7,13,7
N00003788,0.493742750347687,155,24,39,29,20,19,19,5
N00003789,1.6037412390905701E-2,140,9,16,38,43,9,18,7
N00003863,0.99999999998042699,117,14,43,23,7,7,20,3
N00003864,0.91679543633861105,130,14,19,40,22,13,16,6
N00003865,1.0000000000012299,100,11,27,24,12,9,15,2
N00003866,0.84830138554555701,147,21,18,46,15,12,29,6
N00003867,0.468548362740415,276,29,51,66,51,31,31,17
N00003868,0.99480414132077,142,27,18,48,24,7,15,3
N00003869,0.86384979612458301,445,57,74,91,96,43,56,28
N00003870,0.99999999999556,117,15,36,26,13,9,13,5
N00003871,0.98661788248476701,239,12,20,82,82,18,17,8
N00003872,0.99999999995553601,129,22,33,18,24,13,15,4
N00003873,0.54798217438005403,413,49,76,105,75,45,54,9
N00003881,0.99999999993355904,149,2,12,58,60,6,9,2
N00003882,1.0000000000272999,125,20,15,45,31,3,10,1
N00003883,1.0000000007304499,299,31,42,101,63,16,31,15
N00003884,1.00000000013523,289,32,66,70,53,17,42,9
N00003885,0.99999999985101995,119,10,11,32,29,11,17,9
N00003886,0.99999999999100897,117,8,23,32,26,10,14,4
