pop..soa_code,pop..proportion_of_soa_within_co_m_boundary,pop..total_persons,pop..males,pop..females,pop..x0_15_years,pop..x16_39_years,pop..x40_64_years,pop..x65_years
95VV02W1,0.81044223880641098,2308,1150,1158,508,719,706,375
95VV05S2,3.42021035249679E-2,2726,1386,1341,685,854,896,291
95VV10S1,0.95026754149925896,1576,782,794,370,581,492,133
95VV10S2,0.99999999998172695,1880,944,937,451,668,553,208
95VV11S1,9.2170059923672304E-2,2145,1048,1097,504,649,684,308
95VV11S2,0.12695050451823001,2633,1299,1334,674,824,819,316
95VV12S1,1.79298270364599E-2,1682,831,850,440,523,487,232
95VV14S1,0.98710847648392896,2105,1056,1049,505,750,605,245
95VV14S2,1.0000000000259499,1509,781,729,309,436,482,282
95VV15S1,0.999999999991942,1379,691,687,304,471,420,184
95VV15S2,0.80081364841818503,1780,842,938,352,593,630,205
95VV16W1,3.19716258338925E-2,3392,1741,1652,746,1081,1087,478
95VV27W1,0.64278609429036104,2341,1207,1134,408,712,763,458
95VV28S1,0.93240961396523403,2194,1097,1098,494,655,690,355
95VV28S2,0.61069818662685904,1282,654,628,227,388,428,239
95VV30S1,0.99999999999799305,1611,805,806,316,422,564,309
95VV30S2,0.99999999983167298,1456,735,719,306,437,433,280
