health..sa_id,health..proportion_of_sa_within_co_m_boundary,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
N00000841,1.0000000011600101,295,127,80,57,23,8
N00000842,0.99999999992717303,556,234,148,94,58,22
N00000843,1.00000000040836,233,92,68,40,26,7
N00000844,1.0000000042999999,213,81,71,31,24,6
N00000845,0.99999999690636299,202,80,52,45,19,6
N00000846,0.99999999998401701,246,95,64,45,31,11
N00000847,1.0000000000226299,958,396,283,164,91,24
N00000848,1.0000000007029,240,91,67,49,27,6
N00000849,0.999999991746789,307,121,80,64,32,10
N00000850,0.99999999997752498,270,132,60,47,25,6
N00000851,1.0000000005199801,243,81,78,59,19,6
N00000852,1.0000000000129401,1179,453,309,244,141,32
N00000853,1.0000000002114799,282,108,66,54,41,13
N00000854,1.0000000000184599,763,336,207,121,78,21
N00000906,1.0000000002460501,263,94,102,48,15,4
N00000907,0.99999999978809095,332,129,110,60,22,11
N00000908,0.99999999988328903,329,150,94,57,21,7
N00000909,1.0000000106868601,246,68,87,56,29,6
N00000910,0.99999999965803099,273,106,88,55,20,4
N00000911,1.00000000000948,239,79,80,51,23,6
N00000912,1.0000000000025899,243,102,91,36,14,0
N00000913,0.99999999999247602,321,120,108,65,26,2
N00000914,1.0000000000042299,294,117,100,54,17,6
N00000915,0.99999999996794597,214,78,76,38,16,6
N00000916,1.0000000000084399,234,90,77,46,17,4
N00000917,1.0000000000138001,226,86,71,47,21,1
N00000918,1.0000000000521201,261,106,88,46,17,4
N00000919,1.00000000001999,229,85,82,42,15,5
N00000920,0.99009054710223099,148,53,51,35,8,1
N00000921,0.66894516334931997,713,405,230,57,17,4
N00000922,0.99197087876801904,292,115,99,58,19,1
N00000923,1.00000000031534,257,96,99,47,10,5
N00000924,0.99999999997010103,224,90,70,47,16,1
N00000925,0.94848973517436497,288,106,102,50,24,6
N00001047,4.70907381861344E-2,314,154,101,44,11,4
N00001049,5.4863537442268399E-2,330,163,103,52,11,1
N00001050,0.50450735232685395,335,193,102,32,7,1
N00001082,1.3569103881298601E-2,431,222,119,66,19,5
N00001085,1.0164733635011899E-2,1087,536,325,155,55,16
N00001086,0.38562872532057502,336,166,119,37,12,2
N00001089,0.99999999998868405,316,126,109,62,17,2
N00001090,0.94715654557888995,222,78,71,49,22,2
N00001091,0.99999999988567001,384,208,107,54,13,2
N00001092,1.0000000000157601,398,168,135,67,22,6
N00001093,0.999999999999442,642,299,187,115,29,12
