house..sa_id,house..proportion_of_sa_within_co_m_boundary,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
N00000841,1.0000000011600101,123,9,27,6,5,50,16,10
N00000842,0.99999999992717303,209,21,28,25,17,73,33,12
N00000843,1.00000000040836,107,17,25,16,14,15,17,3
N00000844,1.0000000042999999,98,11,24,16,11,18,17,1
N00000845,0.99999999690636299,98,19,21,18,8,13,15,4
N00000846,0.99999999998401701,114,12,31,15,11,20,22,3
N00000847,1.0000000000226299,367,38,61,46,32,126,43,21
N00000848,1.0000000007029,112,16,18,18,3,35,19,3
N00000849,0.999999991746789,144,17,42,23,11,21,21,9
N00000850,0.99999999997752498,121,14,28,16,12,29,21,1
N00000851,1.0000000005199801,115,11,37,13,5,25,14,10
N00000852,1.0000000000129401,543,88,145,41,33,121,84,31
N00000853,1.0000000002114799,108,7,28,19,12,30,7,5
N00000854,1.0000000000184599,309,27,63,34,18,110,41,16
N00000906,1.0000000002460501,105,11,8,48,21,3,12,2
N00000907,0.99999999978809095,129,13,20,22,18,32,18,6
N00000908,0.99999999988328903,146,16,28,31,21,25,23,2
N00000909,1.0000000106868601,81,11,9,29,10,7,14,1
N00000910,0.99999999965803099,129,12,25,28,16,25,20,3
N00000911,1.00000000000948,109,16,19,18,15,24,14,3
N00000912,1.0000000000025899,95,10,14,15,10,28,14,4
N00000913,0.99999999999247602,127,18,20,28,16,21,17,7
N00000914,1.0000000000042299,123,18,12,30,31,11,15,6
N00000915,0.99999999996794597,116,18,37,33,8,11,6,3
N00000916,1.0000000000084399,122,18,31,32,15,13,12,1
N00000917,1.0000000000138001,116,18,32,35,13,11,6,1
N00000918,1.0000000000521201,121,16,28,31,26,11,9,0
N00000919,1.00000000001999,108,11,26,32,19,12,7,1
N00000920,0.99009054710223099,79,12,32,14,4,8,8,1
N00000921,0.66894516334931997,209,1,13,45,106,27,11,6
N00000922,0.99197087876801904,127,21,18,32,25,14,16,1
N00000923,1.00000000031534,114,15,16,38,18,11,14,2
N00000924,0.99999999997010103,106,18,28,26,16,13,5,0
N00000925,0.94848973517436497,119,16,18,25,23,15,17,5
N00001047,4.70907381861344E-2,127,17,12,56,24,7,8,3
N00001049,5.4863537442268399E-2,125,14,15,50,35,3,8,0
N00001050,0.50450735232685395,125,12,14,42,26,10,17,4
N00001082,1.3569103881298601E-2,180,14,51,36,26,25,18,10
N00001085,1.0164733635011899E-2,438,62,86,89,57,57,66,21
N00001086,0.38562872532057502,131,13,13,52,35,5,12,1
N00001089,0.99999999998868405,136,16,34,31,16,23,14,2
N00001090,0.94715654557888995,106,20,22,19,6,17,16,6
N00001091,0.99999999988567001,130,12,17,43,32,9,11,6
N00001092,1.0000000000157601,146,15,22,24,30,24,19,12
N00001093,0.999999999999442,232,12,36,20,27,103,22,12
N00001094,1.0000000000398299,117,14,33,17,13,25,12,3
N00001095,1.00000000011858,145,6,31,32,23,35,16,2
N00001096,0.99999999889494096,128,9,8,48,35,8,16,4
N00001097,0.99999999993354605,121,18,11,37,14,18,18,5
N00001098,1.0000000000035201,135,34,24,31,25,6,9,6
N00001099,0.999999999965685,125,9,25,37,19,10,22,3
N00001100,0.99999999996815503,114,18,14,37,22,6,16,1
N00001101,1.0000000000420699,120,11,21,34,29,15,8,2
N00001102,0.99999999998593303,265,51,58,34,28,57,28,9
N00001103,0.99999999999587996,100,7,32,14,12,24,7,4
N00001104,0.99999999997634204,130,25,20,27,24,13,21,0
N00001105,1.0000000000840199,129,14,29,21,21,24,16,4
N00001109,2.5708400105525799E-2,145,14,23,14,15,49,23,7
N00001110,0.42838199062044402,146,13,33,23,15,32,22,8
N00001111,0.87356805483576205,277,62,35,38,39,45,45,13
N00001113,0.99999999845326304,600,41,167,68,50,131,114,29
N00001114,0.19417165343677401,134,9,39,15,16,23,29,3
N00001116,0.49663111714428199,228,14,73,26,22,36,52,5
N00001117,0.99999999998691202,367,89,75,70,26,59,43,5
N00001118,0.99999999999165001,121,18,32,20,11,21,14,5
N00001119,1.00000000008581,98,32,17,16,5,13,15,0
N00001120,0.99999999549582597,122,34,31,23,5,20,7,2
N00001121,1.0000000000147999,124,20,30,27,4,28,13,2
N00001122,1.0000000000023901,124,48,42,17,3,3,11,0
N00001123,1.0000000000195599,105,31,26,19,8,8,13,0
N00001124,0.99999999999116496,245,23,51,46,31,63,25,6
N00001125,0.99999999996937095,169,26,28,26,25,39,16,9
N00001126,0.99999999997707101,115,10,38,13,18,22,9,5
N00001127,0.99999999991248401,315,55,96,50,18,65,25,6
N00001128,0.99999999753364599,129,13,56,15,11,15,15,4
N00001129,0.99999999999519995,205,25,58,34,17,43,20,8
N00001145,2.60661753467748E-2,137,22,31,22,4,27,27,4
N00001151,5.8652152677314703E-2,154,12,24,30,9,40,33,6
N00001156,0.49732012175976897,624,103,181,61,27,120,104,28
N00001217,1.00000000001248,160,23,38,40,23,21,14,1
N00001218,0.95130025603883595,104,8,10,41,22,9,8,6
N00001219,2.02196240700971E-2,136,14,30,25,12,29,19,7
N00001220,0.99921538531195797,110,10,30,23,6,25,12,4
N00001221,0.99999999997737499,124,5,42,22,5,31,15,4
N00001222,1.00000000000171,88,9,16,13,9,19,16,6
N00001223,0.53340121040496402,126,14,24,28,15,19,19,7
N00001224,1.0000000000538001,124,11,31,37,13,18,12,2
N00001225,1.0000000003287099,127,27,27,26,6,27,10,4
N00001226,1.0000000000420799,116,15,25,28,12,20,15,1
N00001227,0.99999999981742105,110,13,19,27,7,26,16,2
N00001228,0.999999999979717,89,15,23,18,8,12,11,2
N00001229,0.99999999995458899,119,31,21,27,13,12,11,4
N00001230,0.99999999995958799,121,16,16,37,19,14,13,6
N00001246,0.96588221909281302,261,22,59,69,58,26,21,6
N00001247,0.14849646626547899,115,15,29,26,11,20,13,1
N00001248,0.11960393124282,146,9,11,51,49,15,8,3
N00001249,0.99999999997563205,152,18,13,58,44,7,10,2
N00001250,0.43010483631332103,165,5,22,39,61,22,10,6
N00001251,0.99999999998489297,122,7,22,29,27,23,12,2
N00001252,0.97585419155858899,131,20,17,30,22,20,20,2
N00001253,0.99999999981584597,115,23,23,29,9,15,13,3
N00001254,0.99999999995942601,113,14,9,42,31,6,7,4
N00001255,0.99999999719823696,123,22,12,46,17,10,15,1
N00001256,1.00000000007945,108,19,7,45,23,4,7,3
N00001257,1.0000000000226299,110,6,30,25,10,25,11,3
N00001258,1.0000000009405401,118,13,32,22,14,18,12,7
N00001259,0.99999999998625999,129,14,31,20,15,28,18,3
N00001260,0.98857300427586603,136,8,21,19,17,44,18,9
N00001261,0.98696950494050695,116,8,35,21,10,23,15,4
N00001262,0.94633663412993796,165,9,31,55,15,31,19,5
N00001308,3.2377395049915998E-2,210,36,30,67,37,25,10,5
N00001309,0.133481659175682,153,18,34,21,24,27,19,10
N00001310,9.7063149753563102E-2,335,15,40,78,74,85,23,20
N00001311,0.75632934135454899,120,4,27,14,16,38,8,13
N00001312,0.99293611737665299,244,17,49,33,42,68,20,15
N00001313,0.99999999990402,195,16,60,39,25,25,23,7
N00001314,0.99999999998863798,142,6,26,29,41,21,17,2
N00001315,0.99999999998298505,114,19,19,37,16,13,10,0
N00001316,0.99999999994369504,194,50,56,33,17,21,16,1
N00001317,0.99999999987894295,115,18,18,44,20,7,6,2
N00001318,0.999999999998606,133,17,33,30,23,12,13,5
