pop..soa_code,pop..proportion_of_soa_within_co_m_boundary,pop..total_persons,pop..males,pop..females,pop..x0_15_years,pop..x16_39_years,pop..x40_64_years,pop..x65_years
95GG02S1,1.0000000004774501,1677,788,889,432,562,445,238
95GG02S2,1.00000000001775,1919,861,1057,532,651,491,245
95GG02S3,0.99999999999584499,2304,1070,1234,620,768,616,300
95GG06S1,1.0000000000129601,2010,955,1055,485,663,555,307
95GG06S2,1.0000000000235401,1785,858,927,333,576,614,262
95GG06S3,0.83498203531330994,2010,959,1050,424,638,710,238
95GG14S1,0.235310738232408,1610,782,827,327,434,540,309
95GG16S3,0.640958486717224,1462,735,726,310,441,490,221
95GG17S1,0.99999999999701195,2235,1042,1193,600,792,627,216
95GG17S2,0.99999999985105903,1487,720,768,293,397,476,321
95GG17S3,1.00000000000524,1763,854,909,456,583,524,200
95GG18S1,0.21808591257016499,2680,1248,1431,689,927,762,302
95GG18S2,0.77670720025100204,2538,1228,1309,547,945,771,275
95GG19S1,0.99999999998803502,2003,951,1053,360,547,609,487
95GG19S2,1.00000000000664,2835,1299,1536,744,977,767,347
95GG21S3,0.27497446785398499,2098,1066,1031,419,835,609,235
95GG26S1,0.19756227638138399,1986,901,1085,478,634,537,337
95GG26S2,1.00000000026536,1859,872,988,392,541,548,378
95GG28S1,0.25273434321222599,2267,1103,1164,465,714,755,333
95GG28S2,0.99505993472729104,1634,779,854,301,483,552,298
95GG28S3,0.98292963786880805,1727,758,968,418,563,514,232
95GG32S1,0.124522258409018,3812,1773,2040,1059,1350,1065,338
95GG32S2,1.00000000000525,1577,779,799,327,468,499,283
95GG32S3,1.00000000000505,1593,761,832,286,505,512,290
95GG40S1,0.99999999999991995,2023,916,1107,567,667,516,273
95GG40S2,0.867446190142523,2300,1149,1152,474,711,652,463
95GG47S1,0.94023499736059901,2735,1417,1317,693,985,772,285
95GG47S2,0.99999999993924005,1748,886,862,392,590,511,255
95GG47S3,0.46376720456616899,2102,1072,1031,539,718,624,221
95GG51S1,0.99921529829690203,1287,605,682,271,431,371,214
95GG51S2,1.00000000005144,1402,711,691,268,435,456,243
95GG51S3,1.0000000000160401,1454,665,790,264,419,429,342
