rel..sa_id,rel..proportion_of_sa_within_co_m_boundary,rel..total_persons,rel..religion_catholic,rel..religion_presbyterian_church_in_ireland,rel..religion_church_of_ireland,rel..religion_methodist_church_in_ireland,rel..religion_other_christian_including_christian_related,rel..religion_other_religions,rel..religion_no_religion,rel..religion_religion_not_stated
N00000841,1.0000000011600101,295,227,0,1,2,2,0,4,59
N00000842,0.99999999992717303,556,452,0,2,5,1,2,8,86
N00000843,1.00000000040836,233,190,2,1,1,0,0,4,35
N00000844,1.0000000042999999,213,182,1,0,0,2,0,4,24
N00000845,0.99999999690636299,202,175,0,4,0,1,0,5,17
N00000846,0.99999999998401701,246,206,0,1,1,0,0,4,34
N00000847,1.0000000000226299,958,742,5,10,4,1,3,37,156
N00000848,1.0000000007029,240,190,0,0,0,1,0,1,48
N00000849,0.999999991746789,307,249,0,7,1,3,0,2,45
N00000850,0.99999999997752498,270,233,0,1,1,1,0,12,22
N00000851,1.0000000005199801,243,196,2,0,0,3,0,5,37
N00000852,1.0000000000129401,1179,988,7,3,0,5,2,32,142
N00000853,1.0000000002114799,282,208,1,0,0,1,3,4,65
N00000854,1.0000000000184599,763,634,1,0,2,4,0,22,100
N00000906,1.0000000002460501,263,7,88,75,28,37,2,15,11
N00000907,0.99999999978809095,332,3,94,90,21,30,10,53,31
N00000908,0.99999999988328903,329,3,92,106,37,25,3,47,16
N00000909,1.0000000106868601,246,19,80,77,14,27,0,17,12
N00000910,0.99999999965803099,273,8,76,67,21,18,4,37,42
N00000911,1.00000000000948,239,3,76,55,19,15,2,24,45
N00000912,1.0000000000025899,243,4,65,78,19,18,0,35,24
N00000913,0.99999999999247602,321,7,112,56,39,24,7,17,59
N00000914,1.0000000000042299,294,13,84,76,22,30,2,37,30
N00000915,0.99999999996794597,214,7,50,50,29,17,1,32,28
N00000916,1.0000000000084399,234,8,70,51,23,25,11,36,10
N00000917,1.0000000000138001,226,16,57,55,35,10,0,33,20
N00000918,1.0000000000521201,261,18,59,54,33,26,2,59,10
N00000919,1.00000000001999,229,23,52,65,31,11,6,30,11
N00000920,0.99009054710223099,148,4,60,30,11,11,2,24,6
N00000921,0.66894516334931997,713,20,225,194,52,65,1,94,62
N00000922,0.99197087876801904,292,61,56,47,25,19,3,63,18
N00000923,1.00000000031534,257,15,82,56,24,22,4,38,16
N00000924,0.99999999997010103,224,8,86,41,28,22,3,17,19
N00000925,0.94848973517436497,288,4,83,55,22,37,8,40,39
N00001047,4.70907381861344E-2,314,92,72,55,18,12,2,45,18
N00001049,5.4863537442268399E-2,330,31,123,57,26,24,1,49,19
N00001050,0.50450735232685395,335,206,39,13,12,4,3,31,27
N00001082,1.3569103881298601E-2,431,301,7,6,1,2,5,49,60
N00001085,1.0164733635011899E-2,1087,756,29,11,5,12,12,158,104
N00001086,0.38562872532057502,336,235,7,11,8,12,4,53,6
N00001089,0.99999999998868405,316,97,48,43,9,16,8,60,35
N00001090,0.94715654557888995,222,2,48,59,25,27,9,26,26
N00001091,0.99999999988567001,384,314,4,1,0,3,3,40,19
N00001092,1.0000000000157601,398,320,5,2,2,1,4,12,52
N00001093,0.999999999999442,642,489,8,7,6,12,4,50,66
N00001094,1.0000000000398299,239,187,5,0,0,1,0,14,32
N00001095,1.00000000011858,368,285,1,3,0,0,11,25,43
N00001096,0.99999999889494096,397,314,1,8,3,2,2,38,29
N00001097,0.99999999993354605,316,226,16,4,6,1,0,12,51
N00001098,1.0000000000035201,308,248,1,7,5,3,1,20,23
N00001099,0.999999999965685,282,100,51,44,19,18,2,30,18
N00001100,0.99999999996815503,292,233,0,6,7,7,0,16,23
N00001101,1.0000000000420699,304,188,24,33,8,1,0,31,19
N00001102,0.99999999998593303,569,36,167,177,39,42,1,55,52
N00001103,0.99999999999587996,219,90,28,20,2,7,0,26,46
N00001104,0.99999999997634204,303,182,24,30,15,5,0,18,29
N00001105,1.0000000000840199,309,155,33,34,14,12,2,34,25
N00001109,2.5708400105525799E-2,393,307,1,5,11,1,1,21,46
N00001110,0.42838199062044402,345,254,3,2,2,0,2,12,70
N00001111,0.87356805483576205,687,594,0,3,0,0,2,14,74
N00001113,0.99999999845326304,1384,1120,2,6,1,10,9,59,177
N00001114,0.19417165343677401,319,244,0,0,1,1,5,11,57
N00001116,0.49663111714428199,497,374,0,3,0,11,3,14,92
N00001117,0.99999999998691202,728,7,261,222,70,60,4,49,55
N00001118,0.99999999999165001,305,10,85,104,18,12,2,34,40
N00001119,1.00000000008581,176,5,74,50,10,10,1,8,18
N00001120,0.99999999549582597,213,1,53,84,17,14,0,19,25
N00001121,1.0000000000147999,235,2,72,84,15,11,4,23,24
N00001122,1.0000000000023901,176,4,49,63,10,13,1,6,30
N00001123,1.0000000000195599,186,14,63,66,16,11,0,12,4
N00001124,0.99999999999116496,568,13,204,163,45,28,1,62,52
N00001125,0.99999999996937095,413,16,100,139,43,30,0,41,44
N00001126,0.99999999997707101,242,8,93,52,9,17,0,31,32
N00001127,0.99999999991248401,639,120,150,188,40,18,6,53,64
N00001128,0.99999999753364599,251,15,101,68,8,9,1,21,28
N00001129,0.99999999999519995,450,105,86,96,32,21,3,38,69
N00001145,2.60661753467748E-2,311,236,5,9,1,0,1,7,52
N00001151,5.8652152677314703E-2,390,322,3,2,1,1,0,8,53
N00001156,0.49732012175976897,1299,1067,8,7,3,4,5,35,170
N00001217,1.00000000001248,413,18,102,122,18,30,2,56,65
N00001218,0.95130025603883595,279,8,83,67,31,21,3,37,29
N00001219,2.02196240700971E-2,301,9,66,114,19,16,5,27,45
N00001220,0.99921538531195797,231,4,68,85,16,5,1,30,22
N00001221,0.99999999997737499,258,9,56,138,5,10,0,18,22
N00001222,1.00000000000171,213,2,50,83,11,20,1,20,26
N00001223,0.53340121040496402,300,10,78,125,16,16,1,17,37
N00001224,1.0000000000538001,265,12,73,88,20,10,2,31,29
N00001225,1.0000000003287099,242,1,91,76,11,16,3,25,19
N00001226,1.0000000000420799,236,6,70,63,11,18,1,23,44
N00001227,0.99999999981742105,246,3,81,99,20,4,0,13,26
N00001228,0.999999999979717,212,22,42,92,13,18,4,6,15
