ethn..oa_id,ethn..proportion_of_oa_within_co_m_boundary,ethn..total_persons,ethn..white_english_welsh_scottish_northern_irish_british,ethn..white_irish,ethn..white_gypsy_or_irish_traveller,ethn..white_other_white,ethn..mixed_multiple_ethnic_group_white_and_black_caribbean,ethn..mixed_multiple_ethnic_group_white_and_black_african,ethn..mixed_multiple_ethnic_group_white_and_asian,ethn..mixed_multiple_ethnic_group_other_mixed,ethn..asian_asian_british_indian,ethn..asian_asian_british_pakistani,ethn..asian_asian_british_bangladeshi,ethn..asian_asian_british_chinese,ethn..asian_asian_british_other_asian,ethn..black_african_caribbean_black_british_african,ethn..black_african_caribbean_black_british_caribbean,ethn..black_african_caribbean_black_british_other_black,ethn..other_ethnic_group_arab,ethn..other_ethnic_group_any_other_ethnic_group,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
E00017075,1.7451529913329301E-2,292,163,11,0,24,10,3,1,3,5,9,7,0,19,19,13,2,3,0,198,34,40,17,3
E00017098,1.08463133844631E-2,339,167,17,0,36,3,0,2,4,9,13,3,3,24,26,16,9,0,7,220,51,52,9,7
E00017383,7.4254478919115199E-2,329,142,9,0,20,9,9,1,7,26,21,0,0,45,29,5,5,1,0,171,39,92,26,1
E00017384,0.99504798251943904,296,171,9,1,29,5,3,1,8,6,8,8,3,32,5,3,2,1,1,210,10,57,17,2
E00017385,1.0000000000012701,414,236,9,0,31,3,2,3,4,17,15,1,1,59,9,5,10,7,2,276,24,93,12,9
E00017386,1.00000000000277,315,169,5,0,20,7,1,0,9,14,12,5,0,53,11,6,1,1,1,194,18,84,17,2
E00017387,1.0000000000039899,264,154,4,0,18,9,1,0,4,0,6,0,0,40,13,9,0,1,5,176,22,46,14,6
E00017388,0.99999999999866895,378,199,7,0,41,4,0,3,0,5,25,0,0,39,39,11,4,0,1,247,54,69,7,1
E00017389,1,325,165,9,1,34,1,5,4,4,20,0,1,4,51,12,11,2,1,0,209,25,76,14,1
E00017390,1.00000000000113,328,217,7,0,27,4,0,3,2,8,3,2,2,39,2,2,7,0,3,251,11,54,9,3
E00017391,0.87733741149631606,359,188,4,1,32,6,5,2,10,12,11,5,2,38,12,16,10,1,4,225,38,68,23,5
E00017392,0.99999999998521205,265,150,4,0,19,0,0,1,0,8,9,1,3,37,25,7,0,0,1,173,32,58,1,1
E00017393,2.0543689175256799E-2,246,121,8,0,56,0,4,3,0,7,7,0,7,9,12,9,2,1,0,185,23,30,7,1
E00017398,0.57237102664327599,283,130,13,0,40,0,3,2,1,20,16,0,6,18,24,5,1,4,0,183,30,60,6,4
E00017399,0.900057141932604,253,111,7,0,19,8,2,3,10,9,21,4,0,33,6,8,2,4,6,137,16,67,23,10
E00017401,0.52371284546706698,303,179,3,0,26,4,3,2,9,5,0,0,4,11,33,16,3,0,5,208,52,20,18,5
E00017403,0.35380655309209103,491,233,8,0,58,9,4,2,3,23,23,6,2,37,37,30,3,10,3,299,70,91,18,13
E00017405,1.00000000000117,349,153,13,0,32,3,8,7,9,23,19,11,1,42,8,12,2,4,2,198,22,96,27,6
E00017406,0.30379238656637197,365,180,5,0,50,5,2,1,9,10,7,0,4,21,48,14,7,1,1,235,69,42,17,2
E00017407,1,304,163,8,0,30,0,0,4,5,22,32,0,1,12,9,9,5,0,4,201,23,67,9,4
E00017408,1.0000000000012299,332,166,10,1,60,10,1,1,0,14,12,4,2,21,17,7,0,0,6,237,24,53,12,6
E00017409,0.99999999999620703,330,146,5,4,35,2,5,10,0,22,24,7,3,50,7,8,0,0,2,190,15,106,17,2
E00017410,1.0000000000021401,298,125,7,1,43,4,0,4,2,15,31,0,3,21,18,15,4,2,3,176,37,70,10,5
E00017411,0.97536162313199704,283,166,9,0,15,5,5,3,2,14,13,2,8,16,9,11,0,0,5,190,20,53,15,5
E00017412,0.95652053663426895,295,128,7,0,29,10,8,2,8,13,15,0,4,33,17,12,2,1,6,164,31,65,28,7
E00017456,2.0438054407924101E-2,377,180,2,0,43,0,0,6,4,18,21,10,1,51,25,0,2,6,8,225,27,101,10,14
E00020753,0.99999999999511902,374,235,13,2,16,7,0,1,1,7,9,0,9,35,21,3,2,0,13,266,26,60,9,13
E00020754,1.0000000000239799,421,320,7,0,10,7,3,2,0,7,0,1,4,34,13,10,2,1,0,337,25,46,12,1
E00020756,1.00000000000773,348,232,4,3,18,6,0,3,2,6,0,0,0,47,11,9,7,0,0,257,27,53,11,0
