house..oa_id,house..proportion_of_oa_within_co_m_boundary,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00017075,1.7451529913329301E-2,114,16,21,28,20,10,14,5
E00017098,1.08463133844631E-2,128,19,14,36,28,6,18,7
E00017383,7.4254478919115199E-2,116,6,23,18,21,23,12,13
E00017384,0.99504798251943904,128,25,22,31,27,10,9,4
E00017385,1.0000000000012701,153,17,30,30,40,9,17,10
E00017386,1.00000000000277,126,12,36,21,24,14,11,8
E00017387,1.0000000000039899,98,11,14,26,22,10,10,5
E00017388,0.99999999999866895,131,8,16,32,33,14,23,5
E00017389,1,126,10,25,24,24,16,20,7
E00017390,1.00000000000113,127,19,17,24,33,16,14,4
E00017391,0.87733741149631606,137,26,15,29,33,15,14,5
E00017392,0.99999999998521205,107,18,12,24,19,13,18,3
E00017393,2.0543689175256799E-2,125,7,45,25,19,10,17,2
E00017398,0.57237102664327599,118,14,14,49,20,2,15,4
E00017399,0.900057141932604,117,14,23,32,15,11,18,4
E00017401,0.52371284546706698,120,16,24,24,28,17,7,4
E00017403,0.35380655309209103,154,17,15,45,30,19,23,5
E00017405,1.00000000000117,127,21,10,44,24,7,13,8
E00017406,0.30379238656637197,130,7,24,26,31,17,14,11
E00017407,1,128,28,15,44,24,2,11,4
E00017408,1.0000000000012299,126,15,23,30,33,6,12,7
E00017409,0.99999999999620703,123,19,11,44,25,4,11,9
E00017410,1.0000000000021401,133,18,29,37,19,5,17,8
E00017411,0.97536162313199704,127,13,26,49,19,4,12,4
E00017412,0.95652053663426895,105,10,12,25,13,15,22,8
E00017456,2.0438054407924101E-2,123,7,12,22,33,14,25,10
E00020753,0.99999999999511902,132,9,16,31,38,19,15,4
E00020754,1.0000000000239799,188,41,40,29,33,21,17,7
E00020756,1.00000000000773,128,13,15,33,29,13,17,8
E00020757,0.98631922848664899,198,36,31,36,51,16,21,7
E00020758,1.00000000000166,199,23,28,43,48,38,17,2
E00020759,0.99999999999382005,117,17,22,20,28,18,10,2
E00020760,0.92511469795653301,80,3,31,9,13,9,14,1
E00020763,0.256510014784118,135,16,15,40,34,12,8,10
E00020764,1.00000000000282,111,7,16,23,26,25,11,3
E00020765,1.0000000000012299,108,16,16,20,25,15,12,4
E00020766,0.99999999999478595,126,8,13,33,31,22,11,8
E00020767,0.99999999999886702,131,10,13,38,37,13,9,11
E00020768,1.0000000000032301,129,33,17,21,25,15,14,4
E00020769,1.0000000000046601,84,12,5,19,17,14,12,5
E00020770,0.50085486800612899,120,10,20,34,27,11,13,5
E00020771,0.75158625446771399,114,11,16,22,37,14,9,5
E00020772,0.76472900946590106,122,13,14,33,31,13,12,6
E00020773,1.00000000000144,113,18,24,26,22,7,11,5
E00020774,0.99999999999588995,96,8,10,18,27,22,8,3
E00020775,0.81316839401398799,113,19,19,19,27,13,13,3
E00020776,0.75482781763339402,125,11,19,22,29,19,21,4
E00020779,0.27412539179720902,131,15,50,18,16,18,12,2
E00020780,1.00000000000276,195,40,30,46,34,24,13,8
E00020782,1.00000000000057,138,17,21,40,30,12,9,9
E00020785,1.0000000000192899,141,14,24,31,25,25,13,9
E00020786,1.0000000000024301,113,12,20,16,29,17,14,5
E00020865,1.2337269166016801E-2,128,12,7,46,40,7,10,6
E00020869,1.9673067926659599E-2,143,18,11,46,38,10,12,8
E00020979,2.0390679681122899E-2,157,12,18,60,38,13,11,5
E00021071,0.44721150129362203,103,5,23,21,20,19,10,5
E00021074,1.0000000000009699,125,17,15,28,29,20,12,4
E00021075,0.93622319349785299,111,8,5,32,33,16,13,4
E00021076,0.99999999999746603,121,5,23,30,32,6,16,9
E00021077,1.00000000000393,126,22,36,14,24,23,6,1
E00021080,0.99999999999969003,175,18,30,36,41,17,22,11
E00021081,0.96775601969624703,139,12,29,33,31,21,10,3
E00021082,0.99999999998549205,123,12,18,25,41,18,9,0
E00021083,0.99999999999751399,126,13,9,17,52,22,10,3
E00021084,1.0000000000090701,123,14,14,33,25,21,13,3
E00021085,1.0000000000009599,117,13,11,25,35,17,13,3
E00021086,0.99999999999358202,87,29,16,14,8,13,6,1
E00021087,0.99999999999894396,125,13,26,29,25,13,13,6
E00021088,0.99999999999002098,138,18,30,26,30,22,8,4
E00021089,0.99999999999084799,138,13,20,29,32,21,15,8
E00021090,1.0000000000078999,134,14,31,29,30,19,10,1
E00021091,0.99999999999623601,132,12,33,30,22,19,11,5
E00021092,2.9407715374288101E-2,86,0,21,10,17,31,2,5
E00021096,0.71380008686163998,97,12,25,13,20,20,2,5
E00021097,0.409335847112197,90,9,11,22,25,13,7,3
E00021098,0.521245835648524,99,6,29,21,23,7,8,5
E00021102,0.49680960419109399,104,34,8,22,20,8,8,4
E00021105,1.01247304391043E-2,113,7,22,32,29,10,11,2
E00166819,0.461406779595192,206,5,66,35,42,29,23,6
E00166826,0.999999999997772,54,3,7,12,18,4,8,2
