pop..lsoa_id,pop..proportion_of_lsoa_within_co_m_boundary,pop..total_persons,pop..male_persons,pop..female_persons,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
E01003375,1.6138950581529601E-2,1735,848,887,102,160,155,182,237,488,258,153
E01003436,0.99043621588900299,1537,775,762,106,128,127,195,241,457,182,101
E01003437,0.999946770322236,1904,918,986,126,142,119,261,259,540,273,184
E01003438,0.97988384855858301,1705,847,858,128,177,140,229,233,541,177,80
E01003439,0.11406338385862499,1525,766,759,101,182,109,189,288,451,156,49
E01003440,0.108905197722063,1549,761,788,122,143,98,198,267,422,205,94
E01003441,0.236532631531646,1744,890,854,135,174,128,230,269,458,211,139
E01004123,0.88542214793713003,2342,1168,1174,146,272,227,368,377,655,231,66
E01004125,1.0000000000009599,1612,766,846,101,194,144,229,211,467,158,108
E01004126,1,1490,672,818,90,159,157,183,216,473,148,64
E01004127,0.59201680929287004,1875,880,995,126,240,174,240,269,570,167,89
E01004128,0.90859589565675403,1498,713,785,73,129,125,219,217,502,164,69
E01004129,0.59792846551134404,1981,919,1062,132,193,176,274,276,562,219,149
E01004167,1.46823404224041E-2,1459,684,775,82,138,161,198,225,372,198,85
E01004183,1,1785,865,920,114,191,144,293,281,524,161,77
E01004184,0.99857065372371601,1714,773,941,141,246,180,185,280,477,134,71
E01004185,4.3520486546546201E-2,1650,777,873,149,191,143,222,299,427,175,44
E01004187,0.49323657752567102,1645,856,789,100,149,149,204,235,505,210,93
E01004189,1.0000000000003999,2048,940,1108,135,265,175,255,337,558,221,102
