rel..oa_id,rel..proportion_of_oa_within_co_m_boundary,rel..total_persons,rel..christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
E00017075,1.7451529913329301E-2,292,180,0,16,0,21,0,0,54,21
E00017098,1.08463133844631E-2,339,219,7,16,1,24,0,1,47,24
E00017383,7.4254478919115199E-2,329,171,4,19,0,40,0,0,77,18
E00017384,0.99504798251943904,296,143,8,14,0,19,4,2,77,29
E00017385,1.0000000000012701,414,238,3,43,0,24,1,2,82,21
E00017386,1.00000000000277,315,163,3,39,0,18,2,1,72,17
E00017387,1.0000000000039899,264,144,0,27,2,16,0,3,56,16
E00017388,0.99999999999866895,378,203,2,29,0,41,0,2,84,17
E00017389,1,325,176,6,42,0,6,0,1,73,21
E00017390,1.00000000000113,328,169,0,26,0,9,0,1,92,31
E00017391,0.87733741149631606,359,211,4,31,0,36,0,0,53,24
E00017392,0.99999999998521205,265,156,1,21,0,9,2,1,45,30
E00017393,2.0543689175256799E-2,246,128,4,14,2,8,0,1,72,17
E00017398,0.57237102664327599,283,179,0,20,0,33,0,3,30,18
E00017399,0.900057141932604,253,123,6,16,0,34,0,3,55,16
E00017401,0.52371284546706698,303,169,7,3,1,12,0,3,85,23
E00017403,0.35380655309209103,491,310,2,28,1,49,0,1,75,25
E00017405,1.00000000000117,349,178,6,37,1,45,0,2,55,25
E00017406,0.30379238656637197,365,225,5,21,3,22,0,1,67,21
E00017407,1,304,170,0,28,0,37,0,1,48,20
E00017408,1.0000000000012299,332,212,0,22,0,17,0,0,52,29
E00017409,0.99999999999620703,330,190,0,33,0,43,0,1,50,13
E00017410,1.0000000000021401,298,148,5,20,0,50,0,0,58,17
E00017411,0.97536162313199704,283,182,2,12,0,24,0,1,53,9
E00017412,0.95652053663426895,295,156,6,29,0,26,0,2,55,21
E00017456,2.0438054407924101E-2,377,200,11,27,0,44,0,2,69,24
E00020753,0.99999999999511902,374,205,1,16,0,22,0,8,102,20
E00020754,1.0000000000239799,421,233,3,18,0,3,0,1,122,41
E00020756,1.00000000000773,348,203,11,11,0,2,0,1,101,19
E00020757,0.98631922848664899,488,268,2,9,0,24,0,5,134,46
E00020758,1.00000000000166,512,257,0,7,0,26,0,0,191,31
E00020759,0.99999999999382005,282,163,0,4,0,21,0,0,72,22
E00020760,0.92511469795653301,191,89,6,19,0,28,0,1,34,14
E00020763,0.256510014784118,376,219,1,16,0,22,0,1,102,15
E00020764,1.00000000000282,297,156,2,0,0,5,0,5,107,22
E00020765,1.0000000000012299,283,147,8,9,1,7,0,0,100,11
E00020766,0.99999999999478595,352,211,2,7,0,5,0,0,105,22
E00020767,0.99999999999886702,387,233,0,14,0,9,0,0,108,23
E00020768,1.0000000000032301,302,179,0,7,0,1,0,0,96,19
E00020769,1.0000000000046601,231,135,5,13,0,1,0,2,66,9
E00020770,0.50085486800612899,294,195,1,8,0,15,0,1,60,14
E00020771,0.75158625446771399,326,187,4,3,0,9,0,2,94,27
E00020772,0.76472900946590106,427,237,0,13,1,17,1,1,130,27
E00020773,1.00000000000144,277,163,1,4,4,27,0,1,56,21
E00020774,0.99999999999588995,272,149,0,2,0,7,2,3,88,21
E00020775,0.81316839401398799,281,163,0,4,0,16,4,3,77,14
E00020776,0.75482781763339402,320,189,4,7,1,12,0,0,90,17
E00020779,0.27412539179720902,246,123,6,14,0,24,0,0,63,16
E00020780,1.00000000000276,457,234,3,15,0,11,2,2,158,32
E00020782,1.00000000000057,362,219,3,16,0,28,0,0,65,31
E00020785,1.0000000000192899,364,225,1,10,0,0,0,5,103,20
E00020786,1.0000000000024301,287,161,0,3,0,20,0,1,88,14
E00020865,1.2337269166016801E-2,368,259,0,3,1,7,0,0,73,25
E00020869,1.9673067926659599E-2,395,262,3,21,2,17,0,0,62,28
E00020979,2.0390679681122899E-2,427,275,2,18,1,22,0,0,88,21
E00021071,0.44721150129362203,276,158,0,9,0,7,0,0,78,24
E00021074,1.0000000000009699,334,189,1,11,0,2,0,0,100,31
E00021075,0.93622319349785299,318,174,5,4,0,9,0,2,97,27
E00021076,0.99999999999746603,330,168,4,34,1,19,0,3,80,21
E00021077,1.00000000000393,271,144,1,5,0,3,1,2,95,20
E00021080,0.99999999999969003,470,252,1,36,0,38,0,1,107,35
E00021081,0.96775601969624703,346,199,2,3,0,18,0,1,100,23
E00021082,0.99999999998549205,309,165,0,7,0,9,0,0,102,26
E00021083,0.99999999999751399,364,212,1,3,0,19,0,1,113,15
E00021084,1.0000000000090701,303,166,0,8,0,6,1,0,97,25
E00021085,1.0000000000009599,315,169,1,12,0,41,0,0,71,21
E00021086,0.99999999999358202,172,107,1,0,0,3,0,0,41,20
E00021087,0.99999999999894396,310,172,1,4,0,13,0,8,92,20
E00021088,0.99999999999002098,327,181,1,6,1,1,0,1,108,28
E00021089,0.99999999999084799,377,207,2,11,0,3,0,0,126,28
E00021090,1.0000000000078999,309,171,0,4,1,5,0,0,101,27
E00021091,0.99999999999623601,324,198,0,16,0,19,0,0,73,18
E00021092,2.9407715374288101E-2,244,131,0,16,0,4,0,0,84,9
E00021096,0.71380008686163998,228,129,1,2,0,0,0,4,76,16
E00021097,0.409335847112197,237,151,0,3,0,0,0,3,64,16
E00021098,0.521245835648524,251,153,0,5,0,16,0,2,70,5
E00021102,0.49680960419109399,244,147,0,5,1,4,0,0,74,13
E00021105,1.01247304391043E-2,284,194,4,0,1,11,0,0,53,21
E00166819,0.461406779595192,451,247,3,23,1,41,0,1,107,28
E00166826,0.999999999997772,181,111,5,12,0,7,0,1,35,10
