ethn..oa_id,ethn..proportion_of_oa_within_co_m_boundary,ethn..total_persons,ethn..white_english_welsh_scottish_northern_irish_british,ethn..white_irish,ethn..white_gypsy_or_irish_traveller,ethn..white_other_white,ethn..mixed_multiple_ethnic_group_white_and_black_caribbean,ethn..mixed_multiple_ethnic_group_white_and_black_african,ethn..mixed_multiple_ethnic_group_white_and_asian,ethn..mixed_multiple_ethnic_group_other_mixed,ethn..asian_asian_british_indian,ethn..asian_asian_british_pakistani,ethn..asian_asian_british_bangladeshi,ethn..asian_asian_british_chinese,ethn..asian_asian_british_other_asian,ethn..black_african_caribbean_black_british_african,ethn..black_african_caribbean_black_british_caribbean,ethn..black_african_caribbean_black_british_other_black,ethn..other_ethnic_group_arab,ethn..other_ethnic_group_any_other_ethnic_group,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
E00028122,0.260391512797506,263,254,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,2,0
E00028124,5.4399025673613703E-2,300,287,3,1,3,2,1,0,0,1,1,0,0,0,0,0,0,1,0,294,0,2,3,1
E00028126,0.81172020324683802,285,265,2,0,12,2,1,1,0,0,2,0,0,0,0,0,0,0,0,279,0,2,4,0
E00028143,0.22951799952632401,275,263,1,0,5,0,1,0,0,0,1,1,1,1,0,0,1,0,0,269,1,4,1,0
E00028149,0.99150088154163396,344,315,7,0,8,0,1,0,0,0,12,0,0,0,1,0,0,0,0,330,1,12,1,0
E00028151,0.95785892960049501,382,354,4,0,18,1,1,2,1,0,1,0,0,0,0,0,0,0,0,376,0,1,5,0
E00028155,0.69319648872575201,280,276,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,276,0,0,4,0
E00028157,1.0000000000023399,245,228,2,2,9,2,0,0,2,0,0,0,0,0,0,0,0,0,0,241,0,0,4,0
E00028172,0.73095953873439601,480,353,1,3,8,2,0,4,1,3,83,13,0,4,5,0,0,0,0,365,5,103,7,0
E00028173,0.68220653646000096,404,256,7,0,6,1,0,3,0,5,66,43,1,4,2,0,4,0,6,269,6,119,4,6
E00028174,0.31101014682908101,293,221,7,0,3,2,0,3,1,4,35,13,0,3,0,1,0,0,0,231,1,55,6,0
E00028176,0.99999927772131803,311,302,2,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0,1,306,0,1,3,1
E00028177,0.82317992758296399,264,227,0,0,4,1,1,0,0,2,22,4,2,0,0,1,0,0,0,231,1,30,2,0
E00028179,6.5325516297698005E-2,353,294,1,0,4,4,0,1,1,2,15,14,12,0,0,0,0,0,5,299,0,43,6,5
E00028180,0.99999999999853995,286,253,4,0,8,0,6,2,0,1,8,0,4,0,0,0,0,0,0,265,0,13,8,0
E00028232,0.46510060148354598,386,89,1,0,4,2,0,5,1,0,101,173,2,7,0,0,0,0,1,94,0,283,8,1
E00028233,0.91547536971993704,360,197,10,1,20,0,0,1,0,3,79,17,0,30,2,0,0,0,0,228,2,129,1,0
E00028242,0.34585308494607903,199,83,3,0,6,0,0,0,2,0,40,44,0,14,0,0,2,5,0,92,2,98,2,5
E00028244,0.99999999999790301,443,125,3,0,0,0,0,0,0,0,161,118,0,30,4,0,1,0,1,128,5,309,0,1
E00028246,0.33107323267196898,390,247,2,1,0,3,1,13,0,1,78,6,0,19,14,0,1,3,1,250,15,104,17,4
E00028250,0.56693103905929099,481,233,4,0,6,9,0,4,6,0,140,46,0,26,4,2,1,0,0,243,7,212,19,0
E00028256,0.54155534663856797,277,184,4,0,11,0,3,0,1,0,27,44,0,0,1,0,0,1,1,199,1,71,4,2
