health..oa_id,health..proportion_of_oa_within_co_m_boundary,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
E00028122,0.260391512797506,263,118,93,40,7,5
E00028124,5.4399025673613703E-2,300,119,92,57,26,6
E00028126,0.81172020324683802,285,118,93,42,26,6
E00028143,0.22951799952632401,275,97,83,59,20,16
E00028149,0.99150088154163396,344,157,96,54,23,14
E00028151,0.95785892960049501,382,197,122,46,14,3
E00028155,0.69319648872575201,280,134,91,42,9,4
E00028157,1.0000000000023399,245,100,74,40,22,9
E00028172,0.73095953873439601,480,229,149,70,27,5
E00028173,0.68220653646000096,404,207,118,48,28,3
E00028174,0.31101014682908101,293,126,89,49,24,5
E00028176,0.99999927772131803,311,145,116,38,11,1
E00028177,0.82317992758296399,264,119,82,45,18,0
E00028179,6.5325516297698005E-2,353,209,109,23,9,3
E00028180,0.99999999999853995,286,123,93,42,21,7
E00028232,0.46510060148354598,386,182,119,49,26,10
E00028233,0.91547536971993704,360,159,96,66,33,6
E00028242,0.34585308494607903,199,68,58,51,14,8
E00028244,0.99999999999790301,443,209,151,54,18,11
E00028246,0.33107323267196898,390,171,121,66,19,13
E00028250,0.56693103905929099,481,239,147,50,39,6
E00028256,0.54155534663856797,277,118,106,34,19,0
