house..oa_id,house..proportion_of_oa_within_co_m_boundary,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00028122,0.260391512797506,117,20,19,33,21,14,7,3
E00028124,5.4399025673613703E-2,140,30,34,29,31,7,6,3
E00028126,0.81172020324683802,133,17,21,47,18,18,11,1
E00028143,0.22951799952632401,138,49,19,37,20,6,7,0
E00028149,0.99150088154163396,137,13,25,34,23,23,15,4
E00028151,0.95785892960049501,143,6,52,11,37,23,8,6
E00028155,0.69319648872575201,138,10,41,42,14,18,9,4
E00028157,1.0000000000023399,131,11,47,31,13,17,11,1
E00028172,0.73095953873439601,191,12,41,42,39,25,18,14
E00028173,0.68220653646000096,143,11,16,22,40,32,13,9
E00028174,0.31101014682908101,124,24,23,31,25,11,7,3
E00028176,0.99999927772131803,128,11,20,42,37,9,9,0
E00028177,0.82317992758296399,117,7,31,37,18,16,6,2
E00028179,6.5325516297698005E-2,131,5,20,40,48,8,5,5
E00028180,0.99999999999853995,140,25,37,27,20,17,10,4
E00028232,0.46510060148354598,112,4,20,24,32,9,10,13
E00028233,0.91547536971993704,133,12,20,32,31,20,13,5
E00028242,0.34585308494607903,94,18,33,17,10,5,8,3
E00028244,0.99999999999790301,122,3,16,16,49,16,11,11
E00028246,0.33107323267196898,130,13,17,28,36,19,8,9
E00028250,0.56693103905929099,153,8,35,16,50,22,9,13
E00028256,0.54155534663856797,112,7,23,29,29,9,7,8
