rel..oa_id,rel..proportion_of_oa_within_co_m_boundary,rel..total_persons,rel..christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
E00028122,0.260391512797506,263,150,1,0,0,0,0,1,94,17
E00028124,5.4399025673613703E-2,300,206,0,1,1,0,0,0,70,22
E00028126,0.81172020324683802,285,188,0,0,0,2,0,0,71,24
E00028143,0.22951799952632401,275,198,1,0,0,1,0,0,59,16
E00028149,0.99150088154163396,344,197,1,0,0,12,0,2,117,15
E00028151,0.95785892960049501,382,206,0,0,0,2,0,0,152,22
E00028155,0.69319648872575201,280,175,0,0,0,1,0,1,89,14
E00028157,1.0000000000023399,245,163,0,0,0,0,0,0,75,7
E00028172,0.73095953873439601,480,231,0,0,1,92,0,1,134,21
E00028173,0.68220653646000096,404,187,0,3,0,118,0,0,79,17
E00028174,0.31101014682908101,293,163,0,3,0,51,0,0,52,24
E00028176,0.99999927772131803,311,169,0,0,0,0,0,1,114,27
E00028177,0.82317992758296399,264,161,0,2,0,22,0,0,63,16
E00028179,6.5325516297698005E-2,353,228,0,2,0,28,0,1,79,15
E00028180,0.99999999999853995,286,185,0,0,1,8,0,0,84,8
E00028232,0.46510060148354598,386,79,0,0,0,279,0,0,19,9
E00028233,0.91547536971993704,360,136,0,0,1,126,0,0,75,22
E00028242,0.34585308494607903,199,67,0,1,1,95,0,1,25,9
E00028244,0.99999999999790301,443,94,0,0,0,289,0,2,28,30
E00028246,0.33107323267196898,390,180,3,0,0,113,0,1,71,22
E00028250,0.56693103905929099,481,125,0,0,1,205,0,0,126,24
E00028256,0.54155534663856797,277,115,0,0,0,70,0,0,78,14
