ethn..oa_id,ethn..proportion_of_oa_within_co_m_boundary,ethn..total_persons,ethn..white_english_welsh_scottish_northern_irish_british,ethn..white_irish,ethn..white_gypsy_or_irish_traveller,ethn..white_other_white,ethn..mixed_multiple_ethnic_group_white_and_black_caribbean,ethn..mixed_multiple_ethnic_group_white_and_black_african,ethn..mixed_multiple_ethnic_group_white_and_asian,ethn..mixed_multiple_ethnic_group_other_mixed,ethn..asian_asian_british_indian,ethn..asian_asian_british_pakistani,ethn..asian_asian_british_bangladeshi,ethn..asian_asian_british_chinese,ethn..asian_asian_british_other_asian,ethn..black_african_caribbean_black_british_african,ethn..black_african_caribbean_black_british_caribbean,ethn..black_african_caribbean_black_british_other_black,ethn..other_ethnic_group_arab,ethn..other_ethnic_group_any_other_ethnic_group,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
E00066796,6.6117024088505894E-2,233,222,1,0,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,231,0,1,1,0
E00066809,1.97533674439344E-2,347,316,0,1,17,0,0,0,0,2,0,0,6,5,0,0,0,0,0,334,0,13,0,0
E00066917,5.3449786572453598E-2,312,305,3,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,308,0,3,1,0
E00066937,0.30343363058784301,299,286,5,0,1,0,0,2,3,2,0,0,0,0,0,0,0,0,0,292,0,2,5,0
E00066938,0.125476132655336,262,257,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,261,0,0,1,0
E00067007,0.99023306206399198,299,283,3,0,7,0,4,0,1,0,0,0,1,0,0,0,0,0,0,293,0,1,5,0
E00067008,0.99999999999650302,310,291,1,0,8,1,0,1,0,3,0,0,0,0,5,0,0,0,0,300,5,3,2,0
E00067009,1.0000000000007101,364,341,0,0,11,1,0,0,1,3,0,0,1,3,2,1,0,0,0,352,3,7,2,0
E00067010,0.997264533643477,400,373,1,2,13,1,6,0,2,2,0,0,0,0,0,0,0,0,0,389,0,2,9,0
E00067011,1.00000000000029,346,323,2,0,15,0,0,0,0,0,0,0,4,0,2,0,0,0,0,340,2,4,0,0
E00067012,0.780325998107679,283,266,0,0,8,0,0,0,0,0,5,4,0,0,0,0,0,0,0,274,0,9,0,0
E00067013,0.348792709675663,238,221,1,2,2,0,1,2,0,0,0,4,4,0,0,0,0,1,0,226,0,8,3,1
