health..oa_id,health..proportion_of_oa_within_co_m_boundary,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
E00066796,6.6117024088505894E-2,233,102,83,39,7,2
E00066809,1.97533674439344E-2,347,97,127,86,32,5
E00066917,5.3449786572453598E-2,312,128,109,57,16,2
E00066937,0.30343363058784301,299,127,123,37,11,1
E00066938,0.125476132655336,262,82,113,54,10,3
E00067007,0.99023306206399198,299,107,104,48,31,9
E00067008,0.99999999999650302,310,131,102,51,16,10
E00067009,1.0000000000007101,364,150,132,65,12,5
E00067010,0.997264533643477,400,202,136,41,19,2
E00067011,1.00000000000029,346,149,111,58,25,3
E00067012,0.780325998107679,283,114,116,45,8,0
E00067013,0.348792709675663,238,82,98,32,23,3
E00067014,1.0000000000001099,219,82,98,24,11,4
E00067015,1.0000000001360501,247,94,77,44,23,9
E00067016,0.99999999999823497,291,105,127,39,17,3
E00067017,1.0000000000157501,212,75,73,42,19,3
E00067018,1.0000000000015501,270,86,96,56,26,6
E00067019,1.0000000000113101,288,83,84,74,33,14
E00067020,0.99999999999678602,366,153,150,48,11,4
E00067021,1.00000000000863,297,115,113,45,19,5
E00067022,0.99275606558130203,338,142,112,58,21,5
E00067023,1.0000000000006499,192,64,48,50,24,6
E00067024,0.99999999999999201,322,133,128,50,8,3
E00067025,0.999999999997494,365,168,125,53,14,5
E00067026,0.74252791248046801,334,155,115,41,18,5
E00067027,0.99999999999237599,308,109,118,53,22,6
E00067028,0.99999999999627498,270,104,99,49,14,4
E00067029,1.00000000000089,308,147,115,33,9,4
E00067030,0.999999999994309,294,122,128,33,7,4
E00067031,0.96584618542200895,327,130,145,35,13,4
E00067032,0.21205792801590501,280,122,98,43,15,2
E00067033,0.99889498434628898,327,130,112,56,20,9
E00067034,0.89980192617579002,319,135,103,55,19,7
E00067035,0.97928155448815501,339,143,126,57,9,4
E00067036,1.0000000000014999,307,122,95,54,27,9
E00067037,0.99999999972306897,324,122,135,47,16,4
E00067038,0.99999999999782097,358,169,115,49,21,4
E00067039,1.0000000000015601,318,138,107,50,17,6
E00067040,1.0000000000023299,276,115,87,47,21,6
E00067041,0.75554299896052401,347,164,132,39,9,3
E00067042,0.99999999999699396,437,218,139,55,20,5
E00067043,1.0000000000004501,332,144,104,61,17,6
E00067044,1,297,126,100,51,14,6
E00067101,0.44173423744513701,296,131,102,40,19,4
E00067102,0.99850000238288505,257,83,98,62,10,4
E00067105,1.0000000000014899,297,131,101,47,14,4
E00067112,1.0000000000008,259,91,115,43,9,1
E00067113,1.0000000000007701,276,120,96,48,6,6
E00067118,1.00000000000167,312,169,91,44,6,2
E00067119,0.16933518850825099,287,103,119,51,10,4
E00067121,0.58692045285880301,362,170,134,45,9,4
E00067123,0.37288779793218702,307,146,116,37,7,1
E00067130,1.6855849421200102E-2,332,150,130,38,10,4
E00067131,5.9066276898335199E-2,373,146,130,63,25,9
E00067200,4.5936431393815799E-2,445,212,180,47,4,2
E00067202,1.7390297407922601E-2,348,150,135,45,13,5
E00067279,0.564741097908523,308,125,131,38,9,5
E00067281,0.89109812283636403,287,132,101,45,6,3
E00067291,2.66041900065969E-2,285,122,110,41,9,3
E00172865,1.17692593981726E-2,304,135,113,43,11,2
