house..oa_id,house..proportion_of_oa_within_co_m_boundary,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00066796,6.6117024088505894E-2,118,23,31,30,22,6,5,1
E00066809,1.97533674439344E-2,136,31,24,47,17,8,5,4
E00066917,5.3449786572453598E-2,144,31,9,75,21,3,4,1
E00066937,0.30343363058784301,130,20,8,63,19,6,9,5
E00066938,0.125476132655336,123,20,15,59,20,5,4,0
E00067007,0.99023306206399198,130,21,19,42,16,13,16,3
E00067008,0.99999999999650302,122,7,23,36,24,11,14,7
E00067009,1.0000000000007101,143,15,20,34,32,20,14,8
E00067010,0.997264533643477,132,6,9,32,39,21,18,7
E00067011,1.00000000000029,136,12,23,38,30,13,17,3
E00067012,0.780325998107679,117,7,8,64,21,4,12,1
E00067013,0.348792709675663,127,15,49,22,15,14,9,3
E00067014,1.0000000000001099,107,7,38,32,13,5,11,1
E00067015,1.0000000001360501,134,6,55,21,12,22,14,4
E00067016,0.99999999999823497,134,21,19,66,20,2,5,1
E00067017,1.0000000000157501,111,35,18,22,10,16,9,1
E00067018,1.0000000000015501,120,18,18,32,19,23,8,2
E00067019,1.0000000000113101,117,27,20,33,17,12,7,1
E00067020,0.99999999999678602,139,5,20,64,31,8,6,5
E00067021,1.00000000000863,116,8,21,27,23,16,15,6
E00067022,0.99275606558130203,133,13,28,26,20,24,14,8
E00067023,1.0000000000006499,113,25,40,25,9,8,5,1
E00067024,0.99999999999999201,134,17,21,45,27,8,13,3
E00067025,0.999999999997494,143,11,24,34,30,25,11,8
E00067026,0.74252791248046801,126,13,12,35,25,17,16,8
E00067027,0.99999999999237599,136,12,41,27,22,18,13,3
E00067028,0.99999999999627498,115,15,12,51,16,3,15,3
E00067029,1.00000000000089,122,6,17,61,26,6,5,1
E00067030,0.999999999994309,118,10,9,50,30,9,9,1
E00067031,0.96584618542200895,120,8,10,42,32,12,12,4
E00067032,0.21205792801590501,124,16,15,51,24,5,9,4
E00067033,0.99889498434628898,134,20,18,39,23,12,12,10
E00067034,0.89980192617579002,129,11,20,38,30,9,18,3
E00067035,0.97928155448815501,127,8,10,44,32,12,21,0
E00067036,1.0000000000014999,124,29,9,38,23,10,8,7
E00067037,0.99999999972306897,122,10,17,28,26,19,16,6
E00067038,0.99999999999782097,119,6,13,22,29,29,10,10
E00067039,1.0000000000015601,123,14,9,37,31,12,17,3
E00067040,1.0000000000023299,120,25,15,32,17,17,8,6
E00067041,0.75554299896052401,128,13,9,56,26,10,8,6
E00067042,0.99999999999699396,140,9,11,28,35,31,11,15
E00067043,1.0000000000004501,139,13,34,33,30,11,12,6
E00067044,1,124,18,17,32,17,19,17,4
E00067101,0.44173423744513701,117,9,15,47,28,12,3,3
E00067102,0.99850000238288505,116,10,12,69,14,2,7,2
E00067105,1.0000000000014899,123,12,12,59,22,8,9,1
E00067112,1.0000000000008,120,23,13,51,16,5,10,2
E00067113,1.0000000000007701,120,18,16,55,21,2,6,2
E00067118,1.00000000000167,121,13,10,48,36,5,6,3
E00067119,0.16933518850825099,128,17,25,44,23,7,8,4
E00067121,0.58692045285880301,150,18,19,62,37,5,3,6
E00067123,0.37288779793218702,124,10,26,38,30,4,10,6
E00067130,1.6855849421200102E-2,132,11,17,52,29,4,15,4
E00067131,5.9066276898335199E-2,141,15,24,51,26,8,15,2
E00067200,4.5936431393815799E-2,175,14,20,74,45,9,10,3
E00067202,1.7390297407922601E-2,151,18,13,74,26,4,14,2
E00067279,0.564741097908523,124,9,12,54,23,6,13,7
E00067281,0.89109812283636403,128,19,22,50,18,7,8,4
E00067291,2.66041900065969E-2,114,16,21,27,28,9,9,4
E00172865,1.17692593981726E-2,120,12,20,39,31,8,7,3
