pop..lsoa_id,pop..proportion_of_lsoa_within_co_m_boundary,pop..total_persons,pop..male_persons,pop..female_persons,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
E01013260,0.13295684699327301,1407,698,709,52,65,59,129,125,384,327,266
E01013278,0.99991143829444296,1585,751,834,152,215,143,289,203,369,145,69
E01013279,0.74749199678975198,1574,774,800,125,150,89,229,207,409,217,148
E01013280,0.594543402312529,1496,723,773,76,131,135,194,173,370,267,150
E01013281,0.86329401390897398,1403,664,739,99,154,187,189,204,304,169,97
E01013282,0.98834179078068796,1500,742,758,105,168,129,211,198,377,224,88
E01013283,0.81526451208539596,1562,768,794,114,207,172,216,207,359,189,98
E01013284,1.0000000000006399,1575,782,793,108,193,153,192,238,359,226,106
E01013285,0.84910421656880797,1229,584,645,54,91,72,151,113,321,290,137
E01013295,0.88159318250456198,1377,672,705,72,96,84,153,156,329,275,212
E01013301,0.47330150138877702,1657,802,855,117,164,135,217,244,416,240,124
E01013302,3.39675325811164E-2,1535,776,759,49,118,101,204,235,415,263,150
E01013316,1.4030319858131701E-2,1432,685,747,53,91,95,148,148,398,334,165
E01013334,0.56116031351893403,1620,812,808,86,170,137,221,266,411,207,122
