rel..oa_id,rel..proportion_of_oa_within_co_m_boundary,rel..total_persons,rel..christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
E00066796,6.6117024088505894E-2,233,140,2,0,0,0,0,1,64,26
E00066809,1.97533674439344E-2,347,230,1,0,0,0,0,1,58,57
E00066917,5.3449786572453598E-2,312,226,0,0,0,3,0,1,58,24
E00066937,0.30343363058784301,299,211,1,0,0,3,2,1,66,15
E00066938,0.125476132655336,262,194,0,0,0,0,0,0,50,18
E00067007,0.99023306206399198,299,197,1,0,0,0,0,0,82,19
E00067008,0.99999999999650302,310,141,0,1,0,5,0,0,140,23
E00067009,1.0000000000007101,364,188,1,0,0,0,4,1,132,38
E00067010,0.997264533643477,400,243,0,2,0,0,0,4,132,19
E00067011,1.00000000000029,346,203,0,0,0,1,0,2,111,29
E00067012,0.780325998107679,283,222,0,0,0,9,0,2,38,12
E00067013,0.348792709675663,238,114,0,0,0,4,0,1,95,24
E00067014,1.0000000000001099,219,147,0,0,0,2,1,1,58,10
E00067015,1.0000000001360501,247,148,0,0,0,1,0,0,83,15
E00067016,0.99999999999823497,291,207,0,0,0,0,0,2,71,11
E00067017,1.0000000000157501,212,116,2,0,0,0,1,0,75,18
E00067018,1.0000000000015501,270,156,0,0,0,2,0,0,98,14
E00067019,1.0000000000113101,288,183,0,0,0,2,6,0,77,20
E00067020,0.99999999999678602,366,254,0,0,1,1,6,0,82,22
E00067021,1.00000000000863,297,126,2,0,0,1,1,1,149,17
E00067022,0.99275606558130203,338,140,0,0,0,1,0,2,164,31
E00067023,1.0000000000006499,192,125,0,0,0,5,0,1,53,8
E00067024,0.99999999999999201,322,176,0,3,0,4,5,1,109,24
E00067025,0.999999999997494,365,161,0,0,0,0,0,0,178,26
E00067026,0.74252791248046801,334,187,0,0,0,1,0,0,121,25
E00067027,0.99999999999237599,308,149,0,2,0,0,0,1,131,25
E00067028,0.99999999999627498,270,187,0,0,0,2,0,0,64,17
E00067029,1.00000000000089,308,205,1,0,0,0,0,0,76,26
E00067030,0.999999999994309,294,157,0,0,0,4,5,0,99,29
E00067031,0.96584618542200895,327,213,0,0,0,1,4,2,80,27
E00067032,0.21205792801590501,280,190,0,0,0,1,0,0,65,24
E00067033,0.99889498434628898,327,173,1,0,3,3,0,1,107,39
E00067034,0.89980192617579002,319,196,0,0,0,0,0,1,98,24
E00067035,0.97928155448815501,339,225,1,2,0,1,0,0,80,30
E00067036,1.0000000000014999,307,181,2,0,0,3,2,1,101,17
E00067037,0.99999999972306897,324,154,0,0,0,0,0,0,146,24
E00067038,0.99999999999782097,358,182,2,4,0,1,0,0,150,19
E00067039,1.0000000000015601,318,186,0,3,1,4,0,1,99,24
E00067040,1.0000000000023299,276,160,0,0,0,0,0,0,96,20
E00067041,0.75554299896052401,347,215,4,6,1,10,11,0,82,18
E00067042,0.99999999999699396,437,202,0,0,0,0,0,0,213,22
E00067043,1.0000000000004501,332,195,1,0,0,4,0,1,112,19
E00067044,1,297,193,2,1,0,1,0,2,74,24
E00067101,0.44173423744513701,296,197,1,0,0,4,0,0,81,13
E00067102,0.99850000238288505,257,172,0,0,0,0,1,2,56,26
E00067105,1.0000000000014899,297,221,5,2,0,7,0,3,44,15
E00067112,1.0000000000008,259,189,1,7,0,1,7,0,39,15
E00067113,1.0000000000007701,276,202,0,0,0,0,6,1,44,23
E00067118,1.00000000000167,312,207,1,0,0,8,4,0,70,22
E00067119,0.16933518850825099,287,184,0,3,0,24,0,0,67,9
E00067121,0.58692045285880301,362,240,0,0,0,4,5,0,93,20
E00067123,0.37288779793218702,307,182,0,0,0,22,0,0,85,18
E00067130,1.6855849421200102E-2,332,217,3,6,1,7,6,2,64,26
E00067131,5.9066276898335199E-2,373,246,5,0,0,5,6,1,81,29
E00067200,4.5936431393815799E-2,445,283,0,0,0,10,0,0,113,39
E00067202,1.7390297407922601E-2,348,245,0,0,0,21,3,1,54,24
E00067279,0.564741097908523,308,208,2,5,0,9,0,1,58,25
E00067281,0.89109812283636403,287,194,0,3,0,10,6,0,57,17
E00067291,2.66041900065969E-2,285,174,1,0,0,25,4,0,55,26
E00172865,1.17692593981726E-2,304,211,0,0,0,0,0,0,75,18
