ethn..oa_id,ethn..proportion_of_oa_within_co_m_boundary,ethn..total_persons,ethn..white_english_welsh_scottish_northern_irish_british,ethn..white_irish,ethn..white_gypsy_or_irish_traveller,ethn..white_other_white,ethn..mixed_multiple_ethnic_group_white_and_black_caribbean,ethn..mixed_multiple_ethnic_group_white_and_black_african,ethn..mixed_multiple_ethnic_group_white_and_asian,ethn..mixed_multiple_ethnic_group_other_mixed,ethn..asian_asian_british_indian,ethn..asian_asian_british_pakistani,ethn..asian_asian_british_bangladeshi,ethn..asian_asian_british_chinese,ethn..asian_asian_british_other_asian,ethn..black_african_caribbean_black_british_african,ethn..black_african_caribbean_black_british_caribbean,ethn..black_african_caribbean_black_british_other_black,ethn..other_ethnic_group_arab,ethn..other_ethnic_group_any_other_ethnic_group,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
E00142174,0.76367719444415805,258,243,2,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,253,0,5,0,0
E00142175,0.80100236017122906,282,252,1,0,19,0,0,2,1,4,0,0,1,0,0,0,0,0,2,272,0,5,3,2
E00142177,0.103091550361506,459,391,0,0,53,1,0,0,1,7,0,0,5,1,0,0,0,0,0,444,0,13,2,0
E00142178,0.99999999999822797,196,190,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0
E00142179,0.48837128693043502,253,214,1,0,22,2,2,5,0,7,0,0,0,0,0,0,0,0,0,237,0,7,9,0
E00142180,0.99999999999762801,240,232,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,1,0
E00142182,0.222305944820757,165,142,1,0,18,1,0,0,0,0,0,0,0,1,0,0,0,0,2,161,0,1,1,2
E00142183,0.99999999999156097,288,236,0,0,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0,0,1,0
E00142184,1.00000000005672,278,243,2,0,25,1,0,0,0,0,0,0,4,3,0,0,0,0,0,270,0,7,1,0
E00142185,1.0000000000015401,277,263,0,0,6,0,0,2,1,3,0,0,2,0,0,0,0,0,0,269,0,5,3,0
E00142187,0.99999999999767697,314,280,0,0,32,0,0,0,1,0,0,0,0,0,1,0,0,0,0,312,1,0,1,0
E00142188,1.00000000000029,346,264,0,4,67,4,0,0,0,0,0,0,6,1,0,0,0,0,0,335,0,7,4,0
E00142189,0.14829446352186099,268,239,0,0,27,0,0,0,0,0,0,0,1,1,0,0,0,0,0,266,0,2,0,0
E00142190,0.66576385547265404,235,228,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,233,0,0,2,0
E00142191,0.99999999999505995,280,254,0,1,23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,278,0,0,2,0
