health..oa_id,health..proportion_of_oa_within_co_m_boundary,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
E00142174,0.76367719444415805,258,76,92,51,30,9
E00142175,0.80100236017122906,282,121,115,38,7,1
E00142177,0.103091550361506,459,207,173,52,25,2
E00142178,0.99999999999822797,196,67,63,35,23,8
E00142179,0.48837128693043502,253,130,95,21,6,1
E00142180,0.99999999999762801,240,103,94,33,8,2
E00142182,0.222305944820757,165,46,59,38,20,2
E00142183,0.99999999999156097,288,100,90,61,28,9
E00142184,1.00000000005672,278,102,84,55,29,8
E00142185,1.0000000000015401,277,115,104,37,16,5
E00142187,0.99999999999767697,314,143,127,37,5,2
E00142188,1.00000000000029,346,165,133,33,13,2
E00142189,0.14829446352186099,268,144,79,36,8,1
E00142190,0.66576385547265404,235,96,64,48,18,9
E00142191,0.99999999999505995,280,105,115,48,10,2
