house..oa_id,house..proportion_of_oa_within_co_m_boundary,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00142174,0.76367719444415805,127,23,42,18,18,10,15,1
E00142175,0.80100236017122906,112,4,22,44,26,8,6,2
E00142177,0.103091550361506,206,22,46,57,34,16,27,4
E00142178,0.99999999999822797,88,16,21,22,18,5,5,1
E00142179,0.48837128693043502,97,5,15,19,31,19,7,1
E00142180,0.99999999999762801,94,10,16,18,20,20,5,5
E00142182,0.222305944820757,110,34,41,13,7,6,9,0
E00142183,0.99999999999156097,127,25,15,39,20,14,12,2
E00142184,1.00000000005672,144,34,31,38,21,4,11,5
E00142185,1.0000000000015401,102,5,13,32,22,13,13,4
E00142187,0.99999999999767697,113,7,12,27,24,21,17,5
E00142188,1.00000000000029,142,5,27,32,29,19,22,8
E00142189,0.14829446352186099,102,9,13,32,20,14,9,5
E00142190,0.66576385547265404,122,33,28,28,19,7,6,1
E00142191,0.99999999999505995,120,18,16,43,28,2,8,5
