ethn..oa_id,ethn..proportion_of_oa_within_co_m_boundary,ethn..total_persons,ethn..white_english_welsh_scottish_northern_irish_british,ethn..white_irish,ethn..white_gypsy_or_irish_traveller,ethn..white_other_white,ethn..mixed_multiple_ethnic_group_white_and_black_caribbean,ethn..mixed_multiple_ethnic_group_white_and_black_african,ethn..mixed_multiple_ethnic_group_white_and_asian,ethn..mixed_multiple_ethnic_group_other_mixed,ethn..asian_asian_british_indian,ethn..asian_asian_british_pakistani,ethn..asian_asian_british_bangladeshi,ethn..asian_asian_british_chinese,ethn..asian_asian_british_other_asian,ethn..black_african_caribbean_black_british_african,ethn..black_african_caribbean_black_british_caribbean,ethn..black_african_caribbean_black_british_other_black,ethn..other_ethnic_group_arab,ethn..other_ethnic_group_any_other_ethnic_group,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
E00039837,3.2490808127913801E-2,379,305,8,1,10,1,2,3,4,13,7,0,12,3,4,1,1,3,1,324,6,35,10,4
E00039897,1.0000000000009499,295,199,4,0,10,3,19,4,3,5,7,0,5,0,13,10,0,10,3,213,23,17,29,13
E00039900,0.25679629325904901,342,220,1,0,16,6,4,1,2,5,52,0,5,6,8,5,3,6,2,237,16,68,13,8
E00039902,0.99999999999969402,401,266,3,1,23,5,4,2,2,24,21,0,7,4,17,9,5,2,6,293,31,56,13,8
E00039913,0.76690551248254102,301,239,1,0,3,8,1,4,3,0,7,0,7,4,14,2,4,0,4,243,20,18,16,4
E00039914,0.97356687832531796,227,203,0,0,4,4,3,1,2,0,1,0,0,1,2,6,0,0,0,207,8,2,10,0
E00039917,0.99999999999966305,241,212,4,0,1,5,0,3,0,1,1,0,0,2,3,2,3,3,1,217,8,4,8,4
E00039918,4.26442740660243E-2,284,226,0,0,6,6,7,3,0,0,1,0,0,6,16,4,1,8,0,232,21,7,16,8
E00039919,0.61304860893844004,312,260,2,0,4,7,0,0,1,0,4,0,6,0,7,11,3,5,2,266,21,10,8,7
E00039921,0.10033665947263801,295,176,0,1,29,3,3,0,0,24,18,4,10,1,14,9,0,0,3,206,23,57,6,3
