health..oa_id,health..proportion_of_oa_within_co_m_boundary,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
E00039837,3.2490808127913801E-2,379,229,106,29,13,2
E00039897,1.0000000000009499,295,156,100,26,11,2
E00039900,0.25679629325904901,342,140,117,64,15,6
E00039902,0.99999999999969402,401,188,152,48,11,2
E00039913,0.76690551248254102,301,141,104,42,10,4
E00039914,0.97356687832531796,227,80,74,48,20,5
E00039917,0.99999999999966305,241,86,85,48,20,2
E00039918,4.26442740660243E-2,284,116,102,36,23,7
E00039919,0.61304860893844004,312,117,107,49,31,8
E00039921,0.10033665947263801,295,139,102,40,13,1
E00039922,0.68613966052207898,256,118,76,36,21,5
E00039923,0.123612619340447,319,106,116,57,33,7
E00039924,3.7825732360201897E-2,299,125,102,49,18,5
E00039925,0.79900804866367903,178,47,63,48,12,8
E00039926,0.98084911425101495,258,96,90,38,22,12
E00039929,0.99813002447488297,223,80,89,37,12,5
E00039931,0.99999999995481503,235,112,80,27,11,5
E00039932,0.76314818699505504,287,164,85,23,10,5
E00039933,0.99999999999965605,270,101,96,51,16,6
E00039934,0.99999999999822797,290,143,87,45,14,1
E00039935,0.99999999999788303,237,110,80,33,8,6
E00039936,0.99999999999567402,434,260,130,36,4,4
E00039937,1.0000000000156399,258,114,77,47,17,3
E00039938,0.99999999999236699,309,163,104,28,8,6
E00039939,0.99999999999850397,228,110,74,31,9,4
E00039940,0.99999999999980005,284,138,103,31,10,2
E00039941,0.99999999999993905,326,128,132,45,14,7
E00040076,0.15011603022314299,239,50,76,44,52,17
E00040407,1.1425029054364599E-2,258,113,79,42,21,3
E00040411,0.113671026925438,512,227,189,69,22,5
E00040425,0.552018763810874,244,93,85,45,16,5
E00040566,1.5996355970421702E-2,306,113,104,61,17,11
E00040569,5.9390730976614202E-2,299,124,112,46,16,1
E00040571,0.16693169724589099,310,129,114,49,17,1
E00040577,0.184654481782737,196,54,48,50,36,8
E00040583,5.2775493955092297E-2,336,98,133,51,42,12
E00040585,1.11449879035169E-2,300,119,113,49,16,3
E00040588,0.996781783508491,220,70,75,44,22,9
E00040592,1.0000000000001601,285,68,94,72,44,7
E00040595,0.448767294961956,413,180,138,54,34,7
E00040600,0.21743908323733699,282,95,104,48,25,10
E00040603,0.99677031691399898,121,53,42,20,4,2
E00040604,0.99999999999738398,231,71,91,43,21,5
E00040606,0.98948913490194501,292,108,110,45,26,3
E00040607,0.99999999999748201,228,101,79,32,13,3
E00040608,0.99051101356906801,284,98,102,54,27,3
E00040609,1.0000000000015901,269,84,86,74,17,8
E00040610,0.99999999999684797,179,49,47,46,31,6
E00040611,1.0000000000015701,251,93,80,49,24,5
E00040612,1.00000000005389,168,70,44,32,13,9
E00040613,1.00000000000252,272,110,89,44,21,8
E00040614,1.0000000000010001,306,115,104,56,24,7
E00040615,0.99379091529769503,276,120,84,46,16,10
E00040616,0.99999999999851696,173,82,38,28,15,10
E00040617,0.99999999999919698,248,77,93,44,25,9
E00040618,0.99999999999985301,395,165,107,72,37,14
E00040619,0.90806101292257702,270,80,107,47,30,6
