house..oa_id,house..proportion_of_oa_within_co_m_boundary,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00039837,3.2490808127913801E-2,113,24,20,14,9,1,39,6
E00039897,1.0000000000009499,115,10,20,30,28,7,19,1
E00039900,0.25679629325904901,157,34,50,29,14,6,21,3
E00039902,0.99999999999969402,171,12,55,37,25,10,28,4
E00039913,0.76690551248254102,108,5,17,25,22,29,6,4
E00039914,0.97356687832531796,99,17,14,26,16,17,8,1
E00039917,0.99999999999966305,102,7,20,22,19,19,12,3
E00039918,4.26442740660243E-2,124,22,24,24,27,20,6,1
E00039919,0.61304860893844004,120,14,12,30,24,30,7,3
E00039921,0.10033665947263801,109,4,22,33,19,3,26,2
E00039922,0.68613966052207898,97,8,19,25,20,11,11,3
E00039923,0.123612619340447,132,18,23,26,31,15,15,4
E00039924,3.7825732360201897E-2,113,12,17,19,22,25,12,6
E00039925,0.79900804866367903,104,59,11,18,10,0,3,3
E00039926,0.98084911425101495,119,11,27,27,16,25,11,2
E00039929,0.99813002447488297,97,13,19,29,11,16,4,5
E00039931,0.99999999995481503,112,14,36,28,11,4,18,1
E00039932,0.76314818699505504,106,6,26,25,14,9,22,4
E00039933,0.99999999999965605,116,15,20,41,20,11,8,1
E00039934,0.99999999999822797,114,4,23,36,19,5,20,7
E00039935,0.99999999999788303,94,6,17,36,20,8,5,2
E00039936,0.99999999999567402,126,8,16,28,24,6,40,4
E00039937,1.0000000000156399,115,32,17,26,13,8,13,6
E00039938,0.99999999999236699,124,21,35,29,22,4,12,1
E00039939,0.99999999999850397,94,12,8,46,17,2,7,2
E00039940,0.99999999999980005,109,7,10,43,16,4,23,6
E00039941,0.99999999999993905,138,8,28,40,15,23,23,1
E00040076,0.15011603022314299,122,32,41,18,5,14,9,3
E00040407,1.1425029054364599E-2,115,19,32,13,12,19,19,1
E00040411,0.113671026925438,207,20,22,92,47,12,12,2
E00040425,0.552018763810874,103,8,10,50,16,4,13,2
E00040566,1.5996355970421702E-2,128,19,17,48,19,10,9,6
E00040569,5.9390730976614202E-2,127,9,27,20,25,36,6,4
E00040571,0.16693169724589099,123,11,20,23,29,28,8,4
E00040577,0.184654481782737,115,47,17,26,11,7,7,0
E00040583,5.2775493955092297E-2,147,18,39,52,11,17,9,1
E00040585,1.11449879035169E-2,128,13,20,55,24,6,9,1
E00040588,0.996781783508491,106,22,24,25,15,12,5,3
E00040592,1.0000000000001601,148,27,37,34,13,17,18,2
E00040595,0.448767294961956,155,18,16,38,39,17,18,9
E00040600,0.21743908323733699,141,37,32,33,22,6,7,4
E00040603,0.99677031691399898,40,4,1,7,14,10,2,2
E00040604,0.99999999999738398,107,19,14,39,18,6,9,2
E00040606,0.98948913490194501,113,15,12,36,22,12,10,6
E00040607,0.99999999999748201,109,17,27,26,21,7,10,1
E00040608,0.99051101356906801,125,21,26,27,23,10,14,4
E00040609,1.0000000000015901,118,20,11,41,18,9,18,1
E00040610,0.99999999999684797,131,25,78,9,6,8,4,1
E00040611,1.0000000000015701,104,17,14,26,18,11,11,7
E00040612,1.00000000005389,79,10,21,15,13,9,8,3
E00040613,1.00000000000252,116,11,26,34,13,15,11,6
E00040614,1.0000000000010001,135,19,31,36,17,19,11,2
E00040615,0.99379091529769503,116,12,25,26,20,20,8,5
E00040616,0.99999999999851696,75,12,18,7,12,16,5,5
E00040617,0.99999999999919698,119,24,31,21,14,14,14,1
E00040618,0.99999999999985301,157,19,30,24,28,32,20,4
E00040619,0.90806101292257702,114,17,21,26,20,13,13,4
E00040620,1.0000000000003799,125,14,42,25,15,13,12,4
E00040621,0.99999999999634903,113,18,28,26,12,14,14,1
E00040622,1.00000000000056,132,13,33,23,26,26,4,7
E00040623,1.0000000000049301,134,8,43,29,16,25,6,7
E00040624,0.96088846958686902,148,13,31,33,34,20,11,6
E00040626,1.0000000000006699,234,16,67,53,43,37,12,6
E00040628,1.0000000000341001,111,9,29,20,15,29,5,4
E00040629,1.00000000001221,99,10,31,14,16,14,12,2
E00040873,0.99999999999987998,158,0,16,10,1,1,130,0
E00040874,1.00000000005275,48,0,18,0,0,0,30,0
E00040906,1.71269333341902E-2,108,11,50,8,14,9,12,4
E00040907,0.80835690256317805,128,0,61,17,9,0,41,0
E00040908,0.99999999999707401,129,8,32,7,27,20,28,7
E00041020,0.71633077737761597,146,23,24,39,26,13,15,6
E00041021,0.99999999999904898,129,22,21,33,18,19,13,3
E00041022,0.99999999999927103,122,14,15,30,19,30,13,1
E00041026,0.99999999999439604,116,12,22,26,23,23,8,2
E00041027,1.0000000000000999,138,15,25,34,31,23,9,1
E00041030,1.00000000000388,133,14,35,34,17,16,15,2
E00041031,0.99890517954327296,113,5,26,22,18,29,6,7
E00041032,0.95454055359460599,115,8,18,34,24,19,10,2
E00041036,0.99201664788387001,117,9,20,25,26,24,9,4
E00041038,0.999999999997636,117,12,23,28,21,18,10,5
E00041039,0.999999999997642,90,8,12,17,23,13,11,6
E00041041,0.99999999999969402,88,14,12,25,12,17,6,2
E00041044,1.0000000000014999,143,17,24,35,26,22,11,8
E00041045,0.99999999999453004,125,10,31,39,12,25,7,1
E00041046,0.196887276203354,117,14,17,32,26,10,14,4
E00041048,1.0000000000020299,108,15,14,28,23,16,11,1
E00041049,0.999999999997639,130,18,29,26,16,30,8,3
E00041050,0.99054767558813595,112,42,17,23,14,6,5,5
E00041051,0.99085253708507903,107,7,18,25,20,20,12,5
E00041052,0.40667937712336499,154,20,59,22,13,14,20,6
E00041055,0.99999999999753597,152,20,61,25,14,14,12,6
E00041057,1.00000000027003,179,66,22,39,16,22,10,4
E00041060,1.0000000000000699,174,20,33,42,25,25,22,7
E00041062,0.99999999999977396,112,8,19,20,25,19,14,7
E00041063,1.0000000000036899,113,16,17,28,16,22,10,4
E00041065,0.99999999999980305,138,10,43,29,19,21,9,7
E00041068,0.10390679126078201,168,6,32,25,10,7,82,6
E00041097,0.96694052457697299,130,1,26,14,36,19,27,7
E00041098,0.26169987827726598,106,5,48,15,12,11,10,5
E00041099,0.10330123388033401,176,6,48,35,17,7,58,5
E00041100,0.320665464528608,119,3,25,15,4,2,67,3
E00041101,0.56417803356928498,128,7,36,16,17,13,33,6
E00172404,0.99999999999345501,127,0,40,29,6,0,51,1
E00172405,0.85289069653682303,127,1,89,15,2,1,18,1
E00172406,6.3875327236398396E-2,139,1,37,30,15,1,52,3
E00172407,1.0000000000041001,118,1,53,33,1,1,28,1
E00172408,0.99999999999706801,115,0,40,11,1,2,61,0
E00172410,0.99999999999653799,114,0,53,28,5,5,23,0
E00172411,1.00000000000558,104,3,57,21,0,2,20,1
E00172412,1.00000000000773,111,0,55,19,6,0,31,0
E00172413,1.0000000000096601,374,2,133,93,11,1,131,3
E00172414,0.99999999999918698,103,1,45,13,6,3,34,1
E00172415,1.0000000000057701,105,5,70,15,0,3,11,1
E00172416,0.81166019013352197,150,1,69,46,9,0,24,1
E00172417,0.94574085618116399,135,1,52,39,3,1,39,0
E00172418,0.99999999999735101,110,3,47,21,6,3,29,1
E00172419,1.0000000000004801,117,2,60,26,4,4,21,0
E00172420,0.48698059224568802,135,3,56,37,6,7,26,0
E00172421,0.99999999999668998,113,0,50,13,3,0,47,0
E00172423,1.0000000000001901,102,3,25,19,5,0,49,1
E00172427,0.29051167095122599,106,15,26,14,15,14,18,4
E00172429,0.72236616359973504,123,0,57,32,4,6,22,2
E00172432,1.0000000000023599,121,7,24,27,28,19,8,8
E00172439,0.99999999999919598,126,7,26,31,22,15,16,9
E00172440,0.99985046806792899,167,32,47,36,16,16,16,4
E00172445,0.999999999999311,74,3,37,6,3,13,12,0
E00172447,0.70761959956939902,136,1,76,35,10,1,13,0
E00172449,0.13472819459746199,99,4,24,10,8,5,46,2
E00172450,0.11733971171816,115,1,50,27,5,3,28,1
E00172452,1.0000000000079801,97,19,29,3,1,0,45,0
E00172458,0.87747921492664505,217,0,89,47,5,2,72,2
E00172459,1.00000000001445,116,1,60,34,0,2,19,0
E00172460,0.99999999991420796,116,1,67,29,2,0,17,0
E00172461,0.99999999996531497,116,0,39,21,34,14,4,4
E00172462,1.0000000000046101,119,10,31,31,16,18,9,4
E00172463,0.99999999999029798,125,2,39,30,20,18,11,5
E00172464,1.0000000000028799,161,23,69,23,5,21,19,1
E00172465,0.98089712967146103,198,23,18,23,8,12,112,2
E00172466,1.0000000000040199,115,9,18,26,20,14,19,9
E00172467,0.99999999999858802,97,8,22,26,14,5,21,1
E00172468,0.99999999999629996,168,20,31,43,27,34,7,6
E00172469,0.99999999999831302,61,7,10,10,11,14,5,4
E00172470,0.99995522917420199,151,23,22,39,32,15,16,4
E00172471,0.99999999999954003,142,6,49,52,9,5,21,0
E00172472,0.99999999997363798,73,8,19,18,11,4,13,0
E00172473,0.82200364407441595,70,2,29,14,1,11,13,0
E00172474,0.99999999999266997,46,3,4,12,11,13,2,1
E00172477,0.99999999999996203,72,3,12,16,18,13,7,3
E00172484,1.0000000000103799,92,0,56,9,1,0,24,2
E00172485,1.00000000000256,152,2,68,23,3,1,54,1
E00172492,0.57064800131013105,187,56,55,38,7,5,23,3
E00172493,0.99999999999992795,96,2,25,26,12,2,29,0
E00172494,0.99999999999519895,100,1,54,13,1,0,31,0
E00172498,0.92106057405404496,122,2,63,16,3,2,36,0
E00172499,0.97469424719678599,158,2,42,12,5,7,86,4
E00172502,1.0000000000040099,165,0,59,13,2,3,87,1
E00172503,1.00000000001669,119,1,39,13,9,2,54,1
E00172504,0.98552936839724103,114,0,65,16,0,5,27,1
E00172505,0.99851243049859295,112,0,29,13,5,2,62,1
E00172508,0.75676729657661901,109,1,47,32,0,1,28,0
E00172510,0.20481278789649801,148,1,16,9,4,1,116,1
E00172512,0.98743227848153503,94,2,25,2,9,1,51,4
E00172513,1,102,0,54,20,4,0,23,1
E00172514,0.35677734305950398,108,0,55,17,3,4,27,2
E00172526,1.0000000000012901,94,27,25,29,2,0,10,1
E00172529,1.00000000000332,53,0,5,0,0,0,46,2
E00172531,0.99999999998731903,102,1,40,11,0,1,49,0
E00172532,1.0000000000059499,135,0,47,22,2,0,63,1
E00172533,8.5659963277350495E-2,206,1,98,7,0,3,97,0
E00172534,0.99999999999995404,69,0,11,1,0,0,57,0
E00172537,0.99999999999982603,51,1,11,4,1,0,32,2
