pop..lsoa_id,pop..proportion_of_lsoa_within_co_m_boundary,pop..total_persons,pop..male_persons,pop..female_persons,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
E01007878,0.518539975798605,1775,1044,731,114,174,122,341,382,389,149,104
E01007879,0.62770085828498701,1539,847,692,46,58,77,434,187,399,200,138
E01007881,0.99999999999971101,1583,817,766,81,119,88,266,294,402,211,122
E01007882,0.99999999999901801,1586,911,675,74,45,104,391,293,367,204,108
E01007886,0.629112032306688,1616,700,916,153,207,163,220,228,377,170,98
E01007910,2.5980573556619702E-2,1758,784,974,100,153,137,242,225,478,228,195
E01007977,8.3657657605658894E-2,1619,872,747,136,117,94,201,283,417,219,152
E01007979,1.4963520232596599E-2,1941,846,1095,196,254,232,393,278,331,151,106
E01007982,6.9979873005628995E-2,2066,1045,1021,149,218,179,351,311,470,252,136
E01008004,5.1181784253925E-2,1616,775,841,88,111,112,228,174,440,253,210
E01008009,2.4289049422559699E-2,1594,697,897,123,247,172,288,221,376,115,52
E01008010,3.5042139690736399E-2,1425,665,760,99,162,108,211,202,353,182,108
E01008011,0.99565376657139704,1724,832,892,124,195,196,278,230,415,192,94
E01008012,1.00000000000002,2350,1139,1211,253,238,178,440,423,491,220,107
E01008013,0.99977401501944196,1507,728,779,85,163,120,218,276,401,197,47
E01008015,0.69991480413132001,1726,871,855,110,189,111,220,258,489,225,124
E01008017,0.84825306618484797,1641,819,822,99,194,119,248,217,392,262,110
E01008018,0.99806072580163996,1511,690,821,102,190,116,221,221,371,198,92
E01008068,0.160708913051963,4299,2291,2008,127,202,178,2653,501,402,158,78
E01008095,0.99999999999922595,2037,1084,953,135,134,100,673,396,352,151,96
E01008096,0.68024548784290795,2274,1096,1178,153,188,203,486,331,568,225,120
E01008097,0.99999999999998901,1504,692,812,108,169,110,294,231,296,191,105
E01008098,0.99678547093862302,1543,721,822,112,170,138,246,201,407,173,96
E01008100,1.00000000000001,1310,603,707,94,150,94,223,159,368,160,62
E01008101,4.2943327481137397E-2,1908,919,989,122,158,112,364,358,468,201,125
E01008102,0.99719969936720898,1451,663,788,88,157,131,226,204,307,206,132
E01008103,0.99238276406329295,1170,581,589,109,129,95,205,165,289,129,49
E01008114,0.784710034478041,3682,1988,1694,105,166,149,2323,463,367,77,32
E01008115,5.72914534738687E-2,1738,1037,701,32,52,54,1172,170,151,76,31
E01033261,1.0000000000000999,6524,3512,3012,31,36,52,5822,416,137,21,9
E01033262,0.701600647340897,4082,2727,1355,43,37,24,3205,503,208,52,10
E01033263,0.25411188298669901,3567,1901,1666,98,163,129,2340,589,213,25,10
E01033264,0.99909156057075899,3242,1695,1547,41,30,33,2193,656,258,19,12
E01033265,0.99999999999997502,2164,1214,950,28,36,15,1606,262,152,41,24
E01033266,0.98208479667619897,3182,1889,1293,48,62,74,2392,390,151,50,15
E01033267,1,1055,586,469,30,31,8,628,238,85,14,21
E01033268,0.49692425361188097,3604,2077,1527,334,315,69,1468,642,454,219,103
E01033270,7.1074145161651905E-2,2001,1177,824,107,130,75,686,589,341,48,25
E01033271,0.120942278803743,2052,1198,854,159,182,77,765,383,363,75,48
E01033273,5.1579052245051701E-2,2326,1421,905,39,86,64,1630,222,190,73,22
E01033274,0.90207718137692094,2354,1273,1081,32,58,53,1790,270,111,22,18
E01033276,0.66923280476768698,6089,3873,2216,25,36,31,5292,585,106,8,6
