rel..oa_id,rel..proportion_of_oa_within_co_m_boundary,rel..total_persons,rel..christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
E00039837,3.2490808127913801E-2,379,170,4,6,1,12,0,0,161,25
E00039897,1.0000000000009499,295,164,1,3,0,10,0,2,87,28
E00039900,0.25679629325904901,342,154,6,4,0,63,0,3,84,28
E00039902,0.99999999999969402,401,194,0,19,0,34,0,2,105,47
E00039913,0.76690551248254102,301,134,2,0,0,15,0,3,127,20
E00039914,0.97356687832531796,227,157,0,0,0,0,0,0,52,18
E00039917,0.99999999999966305,241,130,0,0,0,10,1,4,81,15
E00039918,4.26442740660243E-2,284,144,0,0,0,12,0,3,102,23
E00039919,0.61304860893844004,312,173,0,0,3,9,0,1,108,18
E00039921,0.10033665947263801,295,143,0,15,0,15,0,1,96,25
E00039922,0.68613966052207898,256,150,0,1,0,4,0,1,80,20
E00039923,0.123612619340447,319,167,0,0,0,4,0,2,115,31
E00039924,3.7825732360201897E-2,299,167,1,0,0,6,0,0,110,15
E00039925,0.79900804866367903,178,106,1,0,0,29,0,2,26,14
E00039926,0.98084911425101495,258,133,0,0,0,2,0,0,104,19
E00039929,0.99813002447488297,223,149,2,0,0,5,0,0,54,13
E00039931,0.99999999995481503,235,90,1,8,0,36,1,1,86,12
E00039932,0.76314818699505504,287,138,2,9,0,21,2,1,83,31
E00039933,0.99999999999965605,270,155,0,1,0,0,0,1,86,27
E00039934,0.99999999999822797,290,139,2,2,0,53,6,2,67,19
E00039935,0.99999999999788303,237,162,0,0,0,3,0,0,52,20
E00039936,0.99999999999567402,434,149,0,29,0,118,8,0,87,43
E00039937,1.0000000000156399,258,143,1,8,0,34,0,0,54,18
E00039938,0.99999999999236699,309,131,2,0,1,55,0,0,105,15
E00039939,0.99999999999850397,228,126,3,0,0,12,0,0,67,20
E00039940,0.99999999999980005,284,161,36,0,0,17,0,0,51,19
E00039941,0.99999999999993905,326,150,1,1,0,38,0,0,117,19
E00040076,0.15011603022314299,239,140,1,0,0,7,0,0,78,13
E00040407,1.1425029054364599E-2,258,106,1,0,2,12,0,0,123,14
E00040411,0.113671026925438,512,356,2,0,0,1,0,0,121,32
E00040425,0.552018763810874,244,183,0,0,0,8,0,0,41,12
E00040566,1.5996355970421702E-2,306,209,0,0,0,7,0,0,68,22
E00040569,5.9390730976614202E-2,299,125,0,0,0,15,0,3,136,20
E00040571,0.16693169724589099,310,176,0,0,0,0,0,0,118,16
E00040577,0.184654481782737,196,150,0,0,0,0,0,0,35,11
E00040583,5.2775493955092297E-2,336,216,2,0,0,1,0,0,93,24
E00040585,1.11449879035169E-2,300,197,1,0,0,3,0,0,79,20
E00040588,0.996781783508491,220,126,0,0,0,4,0,0,73,17
E00040592,1.0000000000001601,285,153,1,0,0,13,0,0,103,15
E00040595,0.448767294961956,413,251,0,0,0,4,0,1,131,26
E00040600,0.21743908323733699,282,179,0,0,0,19,0,0,60,24
