ethn..geo_code,ethn..proportion_of_sa_within_co_m_boundary,ethn..total_persons,ethn..white_or_white_irish,ethn..black_or_black_irish,ethn..asian_or_asian_irish,ethn..mixed_other_ethnicity,ethn..not_stated
207008002,5.4516333295951201E-2,398,354,8,20,11,5
207019001,0.852373981577905,149,146,0,0,0,3
207019008,0.36778121665546998,166,164,0,0,0,2
207020001,1.5294199107450101E-2,186,184,0,0,1,1
207037001,1.0000000000009299,211,204,1,4,0,2
207037002,0.99999999999926803,224,217,0,6,0,1
207037003,0.60078467145332104,196,196,0,0,0,0
207038001/207038005,0.99999999999992195,160,142,0,0,0,18
207038002,1.0000000000006699,184,180,0,0,0,4
207038003,0.99948663695046602,242,238,0,0,2,2
207038004,0.99999999999911904,257,251,0,3,2,1
207038006,0.99999999999983202,316,313,0,0,1,2
207038007,0.99999999999964995,349,342,0,1,4,2
207038008,0.996588341899865,173,168,0,2,0,3
207044001,1.7345344984593399E-2,174,173,0,0,1,0
207050001/207050002,0.99999999999991396,152,147,0,1,3,1
207050003,0.99999999996850797,191,179,0,4,4,4
207050004,0.97736751021519697,277,267,7,1,0,2
207050005,0.99999999999983002,296,282,0,9,4,1
207050006,0.46223783385628803,314,303,0,4,5,2
207050007,0.77117114413322996,158,155,1,0,0,2
207050008,1.00000000000031,128,125,0,0,0,3
207050009,0.99999999999908695,154,146,4,0,1,3
207050010,1.0000000000001601,133,125,0,0,0,8
207055001,1.0000000000001401,196,196,0,0,0,0
207055002,1.0000000000001199,206,205,0,0,0,1
207055003,0.99999999999879197,260,254,0,3,2,1
207055004/207055008,0.99999999999964095,264,263,0,0,0,1
207055005,0.99999999999945099,179,176,1,0,1,1
207055006,0.99999999999947697,270,269,0,0,1,0
207055007,0.99999999999987998,193,181,0,0,2,10
207055009,1,206,200,0,4,1,1
207055010,1.00000000000029,365,360,0,1,3,1
207055011,0.99999999999777101,181,176,0,3,0,2
207055012,1.0000000000003499,263,256,1,4,0,2
207055013,0.99999999999858402,291,285,1,0,0,5
207055014,0.99999999999996902,304,293,0,4,2,5
207055015,1.0000000000002001,292,288,0,0,0,4
207055016,0.99999999999968403,176,168,0,0,2,6
207071001,0.99999999999884803,208,207,0,0,0,1
