health..sa_id,health..proportion_of_sa_within_co_m_boundary,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health,health..not_stated
207008002,5.4516333295951201E-2,401,257,116,22,3,1,2
207019001,0.852373981577905,149,82,44,19,1,0,3
207019008,0.36778121665546998,166,89,40,29,4,0,4
207020001,1.5294199107450101E-2,191,106,66,17,1,0,1
207037001,1.0000000000009299,215,147,55,9,2,0,2
207037002,0.99999999999926803,224,142,58,23,0,0,1
207037003,0.60078467145332104,197,141,46,8,1,0,1
207038001/207038005,0.99999999999992195,164,99,31,12,3,0,19
207038002,1.0000000000006699,186,115,51,13,7,0,0
207038003,0.99948663695046602,249,141,79,20,4,0,5
207038004,0.99999999999911904,257,163,65,21,6,2,0
207038006,0.99999999999983202,317,184,92,36,0,0,5
207038007,0.99999999999964995,365,211,121,23,6,1,3
207038008,0.996588341899865,173,99,50,19,2,0,3
207044001,1.7345344984593399E-2,176,99,62,13,2,0,0
207050001/207050002,0.99999999999991396,155,99,43,10,1,1,1
207050003,0.99999999996850797,191,122,53,7,2,0,7
207050004,0.97736751021519697,278,183,61,29,1,0,4
207050005,0.99999999999983002,296,203,72,15,2,0,4
207050006,0.46223783385628803,314,212,82,11,2,0,7
207050007,0.77117114413322996,159,101,44,8,3,0,3
207050008,1.00000000000031,130,66,29,25,3,1,6
207050009,0.99999999999908695,154,86,52,11,1,0,4
207050010,1.0000000000001601,134,74,42,8,4,0,6
207055001,1.0000000000001401,197,123,53,18,1,0,2
207055002,1.0000000000001199,208,134,64,7,3,0,0
207055003,0.99999999999879197,261,175,60,21,3,1,1
207055004/207055008,0.99999999999964095,271,148,93,21,1,0,8
207055005,0.99999999999945099,181,103,61,14,2,0,1
207055006,0.99999999999947697,272,167,81,20,1,0,3
207055007,0.99999999999987998,233,121,77,19,5,0,11
207055009,1,206,140,46,15,3,1,1
207055010,1.00000000000029,367,212,109,38,3,3,2
207055011,0.99999999999777101,184,111,56,15,0,0,2
207055012,1.0000000000003499,271,190,49,21,3,3,5
207055013,0.99999999999858402,319,171,93,42,4,1,8
207055014,0.99999999999996902,313,209,73,23,2,0,6
207055015,1.0000000000002001,293,172,81,30,4,1,5
207055016,0.99999999999968403,178,106,41,24,2,1,4
207071001,0.99999999999884803,212,123,67,18,2,1,1
207071002,0.999999999997228,233,179,43,6,0,2,3
207071003,1.00000000000023,342,222,88,21,3,0,8
207071004/207071026,1.00000000000284,204,112,67,14,4,2,5
207071005,0.99999999999997602,224,124,71,22,4,1,2
207071006,1.00000000000002,128,63,42,15,5,0,3
207071007,1.0000000000001501,192,108,61,18,2,1,2
207071008,0.99999999999978095,145,89,35,17,3,1,0
207071009,0.99999999999835398,155,99,37,13,2,0,4
207071010,0.99999999999988698,223,136,58,25,2,0,2
207071011,0.999999999998749,145,95,31,12,0,2,5
207071012,1.0000000000002101,177,97,51,23,3,0,3
207071013,0.99999999999933797,196,115,58,17,2,0,4
207071014,1,208,130,55,12,6,0,5
207071015,1.00000000000029,259,188,51,7,7,1,5
207071016,0.99999999999720102,248,146,76,19,0,0,7
207071017,1.0000000000018401,448,289,88,14,1,2,54
207071018,1.0000000000000899,175,123,37,8,1,0,6
207071019,1.00000000000033,239,169,47,14,1,0,8
207071020,1.0000000000006799,225,127,65,22,6,0,5
207071021,1.0000000000020099,331,219,80,28,0,2,2
207071022,0.99999999999673705,186,112,55,16,2,0,1
207071023,1.00000000000107,416,295,99,15,2,2,3
207071024,0.99999999999935696,269,144,77,33,9,1,5
207071025,0.99999999999943101,168,100,54,7,1,0,6
207071027,1,236,141,68,16,5,0,6
207071028,0.99999999999897005,196,107,67,12,4,0,6
207071029,1.00000000000005,188,112,56,15,4,0,1
207071030,1.0000000000000799,177,108,55,14,0,0,0
207071031,0.99999999999025302,223,119,71,22,1,1,9
207071032,1.0000000000006699,165,108,29,13,2,0,13
207071033,0.99999999999842903,363,263,79,15,1,0,5
207071034,0.99999999999886902,220,144,56,15,0,1,4
207081001,1.00000000000024,255,131,76,36,3,0,9
207081002,0.99999999999962996,193,110,60,20,3,0,0
207081003,1.00000000000386,240,156,62,17,3,0,2
207081004,0.99999999999923594,123,63,45,11,2,0,2
207081005,1.00000000000027,167,107,47,8,1,3,1
207081006,1.00000000000002,203,110,70,18,0,1,4
207081007,0.99999999999956701,284,132,100,35,9,0,8
207081008,0.99999999999456402,193,113,55,21,2,0,2
207081009,0.99999999999967804,161,76,54,16,6,1,8
207081010,0.99999999999886802,214,132,57,18,2,0,5
207081011/207081020,0.99999999999874201,186,87,44,41,8,2,4
207081012,0.99999999999976796,257,162,66,13,4,1,11
207081013,0.99126727484594201,138,89,32,13,0,0,4
207081014,0.99999999999905498,218,111,80,18,4,1,4
207081015,0.99999999999869904,163,67,62,18,10,1,5
207081016,1,221,101,72,34,9,1,4
207081017,0.99999999999994005,196,120,56,16,1,0,3
207081018,0.99999999999823996,193,70,70,35,10,0,8
207081019,0.99999999999886702,312,218,63,23,1,0,7
207081021,1.00000000000002,227,109,84,25,2,0,7
207081022,0.99999999999982203,248,188,50,5,0,0,5
207081023,0.99999999999884703,160,105,33,12,1,1,8
207081024,1.0000000000007201,312,220,72,10,0,0,10
207081025,0.99999999999978295,176,94,52,18,1,1,10
