house..sa_id,house..proportion_of_sa_within_co_m_boundary,house..total_households,house..one_person_household,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
207008002,5.4516333295951201E-2,131,22,26,66,5,7,5
207019001,0.852373981577905,57,14,16,23,3,0,1
207019008,0.36778121665546998,71,24,17,22,7,1,0
207020001,1.5294199107450101E-2,80,28,20,22,8,2,0
207037001,1.0000000000009299,78,21,15,25,3,11,3
207037002,0.99999999999926803,78,10,26,35,5,1,1
207037003,0.60078467145332104,70,14,14,32,6,3,1
207038001/207038005,0.99999999999992195,62,14,17,20,4,5,2
207038002,1.0000000000006699,72,19,21,23,4,1,4
207038003,0.99948663695046602,90,16,23,37,7,4,3
207038004,0.99999999999911904,93,22,19,40,9,2,1
207038006,0.99999999999983202,107,21,25,52,5,3,1
207038007,0.99999999999964995,115,18,29,50,10,5,3
207038008,0.996588341899865,65,16,13,26,8,1,1
207044001,1.7345344984593399E-2,71,15,18,31,6,1,0
207050001/207050002,0.99999999999991396,59,15,10,18,10,3,3
207050003,0.99999999996850797,68,17,11,32,6,2,0
207050004,0.97736751021519697,97,18,25,46,6,2,0
207050005,0.99999999999983002,99,15,16,47,18,2,1
207050006,0.46223783385628803,108,19,19,49,18,2,1
207050007,0.77117114413322996,61,16,11,21,10,2,1
207050008,1.00000000000031,63,29,9,11,12,1,1
207050009,0.99999999999908695,62,17,7,21,15,2,0
207050010,1.0000000000001601,50,16,11,19,1,3,0
207055001,1.0000000000001401,68,17,11,29,6,2,3
207055002,1.0000000000001199,83,20,23,27,11,1,1
207055003,0.99999999999879197,103,35,13,35,13,5,2
207055004/207055008,0.99999999999964095,113,26,41,34,11,1,0
207055005,0.99999999999945099,76,22,19,22,7,3,3
207055006,0.99999999999947697,96,16,27,41,6,3,3
207055007,0.99999999999987998,74,29,18,16,8,2,1
207055009,1,84,18,31,24,9,0,2
207055010,1.00000000000029,100,17,25,45,8,1,4
207055011,0.99999999999777101,76,22,22,27,3,1,1
207055012,1.0000000000003499,102,31,20,36,10,3,2
207055013,0.99999999999858402,112,24,38,34,9,6,1
207055014,0.99999999999996902,119,29,32,43,5,6,4
207055015,1.0000000000002001,109,32,22,38,10,6,1
207055016,0.99999999999968403,66,12,12,34,5,2,1
207071001,0.99999999999884803,82,18,26,28,6,1,3
207071002,0.999999999997228,71,8,11,40,8,0,4
207071003,1.00000000000023,131,33,22,48,16,9,3
207071004/207071026,1.00000000000284,83,18,28,31,4,2,0
207071005,0.99999999999997602,83,23,18,29,6,4,3
207071006,1.00000000000002,55,25,10,17,2,1,0
207071007,1.0000000000001501,70,15,24,29,1,1,0
207071008,0.99999999999978095,53,15,10,19,5,2,2
207071009,0.99999999999835398,59,18,14,21,2,1,3
207071010,0.99999999999988698,75,13,21,28,5,6,2
207071011,0.999999999998749,67,24,12,12,4,14,1
207071012,1.0000000000002101,85,38,17,17,7,3,3
207071013,0.99999999999933797,80,14,29,26,4,4,3
207071014,1,87,28,17,30,5,6,1
207071015,1.00000000000029,97,25,21,37,10,3,1
207071016,0.99999999999720102,96,19,31,32,7,4,3
207071017,1.0000000000018401,120,21,13,70,7,8,1
207071018,1.0000000000000899,70,14,17,22,10,7,0
207071019,1.00000000000033,91,23,14,42,5,7,0
207071020,1.0000000000006799,88,16,30,28,6,5,3
207071021,1.0000000000020099,113,17,34,52,5,2,3
207071022,0.99999999999673705,84,20,39,18,4,3,0
207071023,1.00000000000107,138,31,18,62,11,11,5
207071024,0.99999999999935696,94,14,20,34,18,3,5
207071025,0.99999999999943101,76,23,19,15,2,16,1
207071027,1,88,22,15,34,15,2,0
207071028,0.99999999999897005,76,21,17,32,3,1,2
207071029,1.00000000000005,65,15,16,21,8,1,4
207071030,1.0000000000000799,64,18,9,28,6,1,2
207071031,0.99999999999025302,63,11,14,28,7,3,0
207071032,1.0000000000006699,58,13,7,26,7,3,2
207071033,0.99999999999842903,131,32,22,56,16,3,2
207071034,0.99999999999886902,82,19,9,35,8,7,4
207081001,1.00000000000024,96,25,16,34,14,4,3
207081002,0.99999999999962996,71,16,14,35,4,2,0
207081003,1.00000000000386,80,17,20,35,6,1,1
207081004,0.99999999999923594,48,16,6,17,6,1,2
207081005,1.00000000000027,59,12,18,22,5,0,2
207081006,1.00000000000002,83,22,23,21,9,5,3
207081007,0.99999999999956701,120,33,18,26,29,7,7
207081008,0.99999999999456402,77,23,14,25,9,5,1
207081009,0.99999999999967804,104,73,9,8,4,10,0
207081010,0.99999999999886802,92,33,12,22,14,8,3
207081011/207081020,0.99999999999874201,100,47,19,14,15,5,0
207081012,0.99999999999976796,93,20,16,36,11,7,3
207081013,0.99126727484594201,57,17,14,14,1,9,2
207081014,0.99999999999905498,100,34,22,19,13,8,4
207081015,0.99999999999869904,57,37,10,1,2,7,0
207081016,1,97,34,12,22,18,9,2
207081017,0.99999999999994005,90,28,29,18,4,8,3
207081018,0.99999999999823996,99,37,19,13,12,16,2
207081019,0.99999999999886702,126,41,26,42,10,5,2
207081021,1.00000000000002,99,30,29,26,9,2,3
207081022,0.99999999999982203,75,8,11,46,8,1,1
207081023,0.99999999999884703,68,18,26,17,5,1,1
207081024,1.0000000000007201,107,11,31,52,11,1,1
207081025,0.99999999999978295,75,19,19,22,11,3,1
207082001,1.0000000000004901,75,42,9,3,5,16,0
207082002,0.99999999999979605,72,34,10,4,3,18,3
207082003,0.99999999999838196,108,25,6,24,42,2,9
207082004,0.99999999999963096,90,14,15,46,3,8,4
207082005/207082006,1.0000000000065901,72,15,11,33,4,6,3
207082007,1.0000000000003699,53,21,15,2,1,14,0
207082008,0.99999999999796996,107,32,18,28,17,9,3
207082009,0.99999999999987998,107,26,25,31,14,8,3
207082010,1.00000000000025,87,22,12,32,13,6,2
207082011,0.99999999999855804,64,22,16,13,6,4,3
207082012,1.0000000000101399,105,25,28,30,16,6,0
207082013,1.0000000000084099,120,28,11,49,23,7,2
207082014,0.99999999999205802,130,46,24,34,17,7,2
207082015,0.99999999984012999,110,66,13,8,6,14,3
207082016,0.999999999997783,89,18,19,35,12,2,3
207082017,0.999999999998754,120,22,25,59,10,1,3
207082018,1.0000000000004301,110,33,17,42,7,7,4
207082019,1.0000000000003799,83,19,22,33,4,3,2
207082020,1.0000000000001801,89,25,22,35,4,2,1
207082021,1.00000000000135,85,18,14,43,6,3,1
207082022,0.99999999999976197,72,11,16,32,9,2,2
207082023,1.00000000000003,86,27,9,26,16,6,2
