pop..sa_code,pop..proportion_of_sa_within_co_m_boundary,pop..total_persons,pop..males,pop..females,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
207008002,5.4516333295951201E-2,401,203,198,38,61,39,42,73,115,21,12
207019001,0.852373981577905,149,82,67,2,16,13,19,12,54,27,6
207019008,0.36778121665546998,166,81,85,6,14,12,19,16,49,36,14
207020001,1.5294199107450101E-2,191,83,108,9,26,11,13,21,57,41,13
207037001,1.0000000000009299,215,91,124,6,12,13,70,10,55,36,13
207037002,0.99999999999926803,224,114,110,13,19,23,25,22,63,48,11
207037003,0.60078467145332104,197,94,103,4,12,25,34,9,63,39,11
207038001/207038005,0.99999999999992195,164,78,86,6,16,16,14,18,56,22,16
207038002,1.0000000000006699,186,91,95,13,18,3,17,21,54,47,13
207038003,0.99948663695046602,249,125,124,14,25,22,22,30,66,56,14
207038004,0.99999999999911904,257,128,129,13,22,32,31,15,88,35,21
207038006,0.99999999999983202,317,170,147,24,40,28,23,34,99,54,15
207038007,0.99999999999964995,365,182,183,25,39,35,47,42,98,52,27
207038008,0.996588341899865,173,91,82,17,18,8,18,21,51,29,11
207044001,1.7345344984593399E-2,176,85,91,10,16,14,18,13,53,34,18
207050001/207050002,0.99999999999991396,155,66,89,14,26,12,16,27,39,12,9
207050003,0.99999999996850797,191,98,93,16,36,14,19,35,61,10,0
207050004,0.97736751021519697,278,143,135,24,43,13,30,42,92,30,4
207050005,0.99999999999983002,296,134,162,27,54,24,36,63,66,23,3
207050006,0.46223783385628803,314,164,150,44,57,19,21,93,71,7,2
207050007,0.77117114413322996,159,73,86,22,19,15,16,39,38,7,3
207050008,1.00000000000031,130,66,64,6,8,10,17,18,40,23,8
207050009,0.99999999999908695,154,75,79,20,24,12,24,37,27,8,2
207050010,1.0000000000001601,134,70,64,8,16,17,6,10,49,12,16
207055001,1.0000000000001401,197,104,93,14,22,20,18,22,67,22,12
207055002,1.0000000000001199,208,114,94,5,24,19,23,16,73,39,9
207055003,0.99999999999879197,261,129,132,23,32,28,24,44,67,33,10
