rel..sa_id,rel..proportion_of_sa_within_co_m_boundary,rel..total_persons,rel..religion_catholic,rel..religion_other_religions,rel..religion_no_religion,rel..religion_religion_not_stated
207008002,5.4516333295951201E-2,401,321,63,14,3
207019001,0.852373981577905,149,138,4,7,0
207019008,0.36778121665546998,166,125,11,29,1
207020001,1.5294199107450101E-2,191,165,9,17,0
207037001,1.0000000000009299,215,179,23,11,2
207037002,0.99999999999926803,224,187,21,15,1
207037003,0.60078467145332104,197,178,7,12,0
207038001/207038005,0.99999999999992195,164,129,8,11,16
207038002,1.0000000000006699,186,167,7,11,1
207038003,0.99948663695046602,249,213,20,15,1
207038004,0.99999999999911904,257,189,57,10,1
207038006,0.99999999999983202,317,285,24,7,1
207038007,0.99999999999964995,365,308,19,38,0
207038008,0.996588341899865,173,146,15,10,2
207044001,1.7345344984593399E-2,176,161,6,9,0
207050001/207050002,0.99999999999991396,155,115,13,23,4
207050003,0.99999999996850797,191,161,9,16,5
207050004,0.97736751021519697,278,219,51,7,1
207050005,0.99999999999983002,296,216,49,28,3
207050006,0.46223783385628803,314,277,19,13,5
207050007,0.77117114413322996,159,128,9,21,1
207050008,1.00000000000031,130,94,11,20,5
207050009,0.99999999999908695,154,118,15,16,5
207050010,1.0000000000001601,134,109,8,10,7
207055001,1.0000000000001401,197,170,13,13,1
207055002,1.0000000000001199,208,194,4,8,2
207055003,0.99999999999879197,261,225,17,19,0
207055004/207055008,0.99999999999964095,271,220,21,28,2
207055005,0.99999999999945099,181,145,22,14,0
207055006,0.99999999999947697,272,227,30,15,0
207055007,0.99999999999987998,233,163,40,20,10
207055009,1,206,177,16,13,0
207055010,1.00000000000029,367,302,18,44,3
207055011,0.99999999999777101,184,152,21,10,1
207055012,1.0000000000003499,271,212,31,26,2
207055013,0.99999999999858402,319,233,60,23,3
207055014,0.99999999999996902,313,268,22,19,4
207055015,1.0000000000002001,293,248,16,25,4
207055016,0.99999999999968403,178,158,17,2,1
207071001,0.99999999999884803,212,172,25,13,2
207071002,0.999999999997228,233,192,29,10,2
207071003,1.00000000000023,342,272,41,21,8
207071004/207071026,1.00000000000284,204,179,14,9,2
207071005,0.99999999999997602,224,205,16,3,0
207071006,1.00000000000002,128,114,7,7,0
207071007,1.0000000000001501,192,162,19,11,0
207071008,0.99999999999978095,145,136,7,1,1
207071009,0.99999999999835398,155,136,3,11,5
207071010,0.99999999999988698,223,187,16,19,1
207071011,0.999999999998749,145,91,8,38,8
207071012,1.0000000000002101,177,147,8,20,2
207071013,0.99999999999933797,196,163,20,13,0
207071014,1,208,146,17,38,7
207071015,1.00000000000029,259,186,24,41,8
207071016,0.99999999999720102,248,189,22,30,7
207071017,1.0000000000018401,448,338,28,68,14
207071018,1.0000000000000899,175,124,13,33,5
207071019,1.00000000000033,239,189,15,32,3
207071020,1.0000000000006799,225,187,16,22,0
207071021,1.0000000000020099,331,253,52,23,3
207071022,0.99999999999673705,186,165,8,13,0
207071023,1.00000000000107,416,350,41,21,4
207071024,0.99999999999935696,269,245,4,17,3
207071025,0.99999999999943101,168,130,13,19,6
207071027,1,236,179,32,18,7
207071028,0.99999999999897005,196,172,1,20,3
207071029,1.00000000000005,188,173,2,11,2
207071030,1.0000000000000799,177,170,3,4,0
207071031,0.99999999999025302,223,190,21,4,8
207071032,1.0000000000006699,165,120,26,5,14
207071033,0.99999999999842903,363,255,46,58,4
207071034,0.99999999999886902,220,165,20,31,4
207081001,1.00000000000024,255,204,25,22,4
207081002,0.99999999999962996,193,165,5,21,2
207081003,1.00000000000386,240,210,25,4,1
207081004,0.99999999999923594,123,109,7,7,0
207081005,1.00000000000027,167,122,20,25,0
207081006,1.00000000000002,203,176,5,20,2
207081007,0.99999999999956701,284,253,13,12,6
207081008,0.99999999999456402,193,145,33,15,0
207081009,0.99999999999967804,161,100,31,22,8
207081010,0.99999999999886802,214,133,36,41,4
207081011/207081020,0.99999999999874201,186,156,11,16,3
207081012,0.99999999999976796,257,213,21,15,8
207081013,0.99126727484594201,138,85,19,28,6
207081014,0.99999999999905498,218,187,7,22,2
207081015,0.99999999999869904,163,76,45,37,5
207081016,1,221,197,1,19,4
207081017,0.99999999999994005,196,161,11,24,0
207081018,0.99999999999823996,193,143,17,25,8
207081019,0.99999999999886702,312,245,30,31,6
207081021,1.00000000000002,227,192,17,15,3
207081022,0.99999999999982203,248,197,32,15,4
207081023,0.99999999999884703,160,131,5,16,8
207081024,1.0000000000007201,312,260,17,27,8
207081025,0.99999999999978295,176,154,6,12,4
207082001,1.0000000000004901,118,49,31,29,9
207082002,0.99999999999979605,148,56,41,41,10
207082003,0.99999999999838196,311,249,23,31,8
207082004,0.99999999999963096,257,191,39,22,5
207082005/207082006,1.0000000000065901,198,152,30,13,3
207082007,1.0000000000003699,104,71,7,19,7
207082008,0.99999999999796996,242,199,25,14,4
207082009,0.99999999999987998,255,206,17,30,2
207082010,1.00000000000025,228,182,22,22,2
207082011,0.99999999999855804,143,93,33,17,0
207082012,1.0000000000101399,261,192,30,30,9
207082013,1.0000000000084099,335,242,58,32,3
207082014,0.99999999999205802,287,229,34,24,0
207082015,0.99999999984012999,270,230,21,15,4
207082016,0.999999999997783,269,238,14,13,4
207082017,0.999999999998754,349,278,49,18,4
207082018,1.0000000000004301,309,253,33,21,2
207082019,1.0000000000003799,226,177,15,22,12
207082020,1.0000000000001801,247,231,4,11,1
207082021,1.00000000000135,269,253,4,12,0
207082022,0.99999999999976197,227,213,13,1,0
207082023,1.00000000000003,223,149,44,30,0
