ethn..oa_id,ethn..proportion_of_oa_within_co_m_boundary,ethn..total_persons,ethn..white_english_welsh_scottish_northern_irish_british,ethn..white_irish,ethn..white_gypsy_or_irish_traveller,ethn..white_other_white,ethn..mixed_multiple_ethnic_group_white_and_black_caribbean,ethn..mixed_multiple_ethnic_group_white_and_black_african,ethn..mixed_multiple_ethnic_group_white_and_asian,ethn..mixed_multiple_ethnic_group_other_mixed,ethn..asian_asian_british_indian,ethn..asian_asian_british_pakistani,ethn..asian_asian_british_bangladeshi,ethn..asian_asian_british_chinese,ethn..asian_asian_british_other_asian,ethn..black_african_caribbean_black_british_african,ethn..black_african_caribbean_black_british_caribbean,ethn..black_african_caribbean_black_british_other_black,ethn..other_ethnic_group_arab,ethn..other_ethnic_group_any_other_ethnic_group,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
E00086672,1.0000000000072999,345,310,2,3,6,3,4,2,2,4,0,0,0,2,1,1,0,0,5,321,2,6,11,5
E00086673,1.0000000000002101,291,269,2,0,6,2,3,3,1,3,0,0,0,2,0,0,0,0,0,277,0,5,9,0
E00086674,1.0000000000074301,252,232,1,3,4,3,0,2,1,1,0,0,0,0,3,2,0,0,0,240,5,1,6,0
E00086676,0.82885222927934599,304,278,0,0,17,3,4,0,0,0,0,0,0,0,0,1,0,0,1,295,1,0,7,1
E00086677,1.0000000000042499,263,252,0,0,1,2,1,0,0,0,0,0,1,1,3,1,0,0,1,253,4,2,3,1
E00086678,0.99999999999731004,293,271,2,0,14,0,0,2,0,0,3,0,0,1,0,0,0,0,0,287,0,4,2,0
E00086679,0.99999999999821998,273,248,4,1,12,2,0,3,0,2,0,0,0,0,0,0,0,0,1,265,0,2,5,1
E00086680,0.99999999999797196,380,350,1,0,7,1,2,1,4,6,0,0,0,4,3,0,0,0,1,358,3,10,8,1
E00086681,0.25822077179313302,277,253,1,0,2,0,0,2,1,7,0,0,0,2,4,5,0,0,0,256,9,9,3,0
E00086682,1.00000000000245,337,306,0,6,8,4,0,1,3,3,0,0,0,6,0,0,0,0,0,320,0,9,8,0
E00086683,0.810340801823632,329,302,0,0,18,0,3,0,1,0,0,0,0,0,0,4,0,0,1,320,4,0,4,1
E00086684,0.999999999998054,363,350,0,0,5,3,0,0,0,0,3,0,0,0,0,1,0,0,1,355,1,3,3,1
E00086712,0.21957680834006901,303,252,2,5,5,7,1,3,2,1,0,0,3,13,0,1,0,1,7,264,1,17,13,8
E00086716,1.00000000000256,267,234,1,0,9,3,2,0,0,3,9,0,0,0,4,1,1,0,0,244,6,12,5,0
E00086717,0.99999999996343603,308,236,3,2,16,1,4,4,2,23,5,0,4,1,5,2,0,0,0,257,7,33,11,0
E00086718,1.000000000002,305,261,5,0,20,3,1,2,0,4,0,2,0,0,6,0,1,0,0,286,7,6,6,0
E00086719,0.99999999998451705,499,382,7,0,33,4,1,4,6,12,11,0,8,7,16,3,2,3,0,422,21,38,15,3
E00086720,1.0000000000042499,221,136,1,0,46,0,6,1,2,10,0,0,3,3,9,0,0,4,0,183,9,16,9,4
E00086722,0.99999999999465605,227,190,2,0,17,0,0,2,0,5,0,1,1,3,6,0,0,0,0,209,6,10,2,0
E00086723,1.0000000000068301,301,249,2,0,26,7,0,0,2,8,0,0,0,5,0,1,0,0,1,277,1,13,9,1
E00086724,0.83016483962183796,254,222,4,0,3,8,0,3,1,7,0,0,0,3,3,0,0,0,0,229,3,10,12,0
E00086725,1.00000000000775,247,180,3,0,20,2,1,1,0,23,1,3,0,3,3,0,0,0,7,203,3,30,4,7
E00086726,0.93354588097855895,262,223,1,0,18,0,0,4,5,5,0,0,0,3,1,2,0,0,0,242,3,8,9,0
E00086727,1.0000000000009299,192,152,0,0,19,1,0,1,0,8,0,0,1,1,6,1,1,1,0,171,8,10,2,1
E00086728,1.0000000000004201,309,218,1,0,20,0,0,6,4,10,6,0,6,20,6,2,1,0,9,239,9,42,10,9
E00086730,0.87741189821342702,319,276,4,0,16,0,0,1,0,11,0,0,5,5,0,0,0,0,1,296,0,21,1,1
E00086731,0.39680777085285002,308,255,3,0,19,2,2,0,5,1,6,0,0,11,1,0,3,0,0,277,4,18,9,0
E00086732,0.99999999997269895,332,211,2,0,52,0,1,3,2,20,7,0,1,12,14,1,1,0,5,265,16,40,6,5
E00086734,0.68841128316015199,335,316,0,0,9,2,0,0,1,2,3,0,1,0,0,0,0,0,1,325,0,6,3,1
E00086735,0.28941732860580799,256,225,3,0,19,2,0,0,0,1,0,1,3,0,0,0,1,1,0,247,1,5,2,1
E00086737,0.50310879262129504,272,247,2,0,9,0,0,1,1,2,0,7,3,0,0,0,0,0,0,258,0,12,2,0
E00086738,0.80407012412234202,317,276,0,0,9,2,2,0,0,1,0,0,9,10,8,0,0,0,0,285,8,20,4,0
E00086739,0.99710135025368696,327,273,0,0,24,10,3,0,0,9,1,0,0,5,1,1,0,0,0,297,2,15,13,0
E00086740,0.938412015317731,295,269,3,2,5,5,0,1,0,1,1,0,2,0,1,5,0,0,0,279,6,4,6,0
E00086741,0.99999999995465905,325,280,5,0,15,5,0,2,2,2,0,9,0,1,0,1,1,0,2,300,2,12,9,2
E00086742,0.99999999999885103,281,243,1,0,13,3,2,7,2,0,0,0,0,0,7,2,0,0,1,257,9,0,14,1
E00086743,0.53406778210000605,361,323,4,0,13,0,5,0,1,0,0,0,0,0,7,6,0,1,1,340,13,0,6,2
E00086744,1.0000000000003799,302,262,1,0,16,2,0,5,6,3,0,0,0,7,0,0,0,0,0,279,0,10,13,0
E00086745,0.99999999999533196,402,328,3,0,20,3,4,9,1,5,5,0,6,0,7,0,0,0,11,351,7,16,17,11
E00086746,0.99999999999094202,295,262,1,0,8,3,0,0,3,0,8,0,3,4,0,1,1,1,0,271,2,15,6,1
E00086747,1.00000000000719,272,241,2,0,13,2,3,0,3,6,0,0,0,1,0,0,0,1,0,256,0,7,8,1
E00086748,1.0000000000067899,358,322,1,2,8,2,2,3,2,1,0,0,3,2,7,0,1,0,2,333,8,6,9,2
E00086749,1.00000000002334,303,255,2,1,24,2,2,1,0,3,1,0,3,2,2,1,0,4,0,282,3,9,5,4
E00086750,0.999999999988604,299,266,2,0,13,0,3,1,5,0,0,0,1,1,4,1,1,0,1,281,6,2,9,1
E00086751,1.00000000003138,355,299,3,0,19,5,4,4,4,6,4,0,0,1,4,1,1,0,0,321,6,11,17,0
E00086752,0.99999999996777,335,279,2,0,29,2,0,2,1,4,5,0,3,3,0,5,0,0,0,310,5,15,5,0
E00086753,0.999999999997362,268,236,1,0,9,1,0,1,1,1,0,3,0,4,9,0,0,0,2,246,9,8,3,2
E00086754,0.99999999999105504,248,211,1,0,16,0,6,2,0,3,0,0,2,6,0,0,0,0,1,228,0,11,8,1
E00086755,1.0000000000004099,238,214,4,1,7,0,1,0,0,0,0,0,9,0,0,2,0,0,0,226,2,9,1,0
E00086756,0.99999999999989697,290,269,1,0,11,1,0,2,1,0,0,0,3,0,1,0,0,1,0,281,1,3,4,1
E00086757,1.00000000000276,208,150,1,0,35,2,1,1,2,3,0,0,4,5,0,0,0,2,2,186,0,12,6,4
E00086758,1.0000000000002001,304,277,3,1,7,4,1,0,0,4,0,0,0,2,1,4,0,0,0,288,5,6,5,0
E00086759,0.99999999999862699,274,249,4,0,4,3,0,0,0,3,3,0,0,1,1,3,1,0,2,257,5,7,3,2
E00086760,1.00000000000449,257,186,1,0,44,1,2,2,1,0,1,0,8,6,4,0,1,0,0,231,5,15,6,0
E00086761,0.99999999999853595,271,241,3,0,9,0,0,3,0,0,5,0,0,2,4,2,0,0,2,253,6,7,3,2
E00086861,1.00000000000085,314,280,2,0,17,1,1,2,0,0,0,0,1,2,8,0,0,0,0,299,8,3,4,0
E00086863,0.99999999999842903,286,253,6,1,8,0,0,3,1,0,5,0,3,5,1,0,0,0,0,268,1,13,4,0
E00086865,0.77558291209395003,320,268,1,1,22,18,0,3,2,1,0,0,0,2,0,1,0,0,1,292,1,3,23,1
E00086871,0.71501506701397899,336,279,3,0,13,0,1,3,3,14,0,2,0,7,1,0,0,9,1,295,1,23,7,10
E00086894,0.98461329151503196,325,286,0,0,7,3,0,0,0,0,0,0,7,12,5,4,0,0,1,293,9,19,3,1
E00086895,0.97184690940389995,301,258,0,0,17,7,3,0,2,3,0,0,0,4,1,6,0,0,0,275,7,7,12,0
E00086896,0.99915860493164499,250,223,1,0,6,0,0,0,1,2,5,0,8,0,1,1,2,0,0,230,4,15,1,0
E00086897,0.999999999987912,246,225,4,0,4,3,0,1,2,0,0,0,5,0,0,1,0,0,1,233,1,5,6,1
E00086899,0.98609627288408497,246,227,6,1,3,0,0,0,0,1,0,0,0,0,0,0,2,5,1,237,2,1,0,6
E00086901,1.00000000000329,220,184,0,0,22,1,3,1,0,4,0,0,0,1,2,0,1,0,1,206,3,5,5,1
E00086902,0.246324356237546,286,271,1,1,6,0,0,2,0,3,1,0,0,0,0,0,1,0,0,279,1,4,2,0
E00086905,2.53869148686399E-2,301,281,2,0,8,0,0,0,0,3,0,0,5,0,0,1,0,0,1,291,1,8,0,1
E00086964,1.0000000001379299,318,292,1,1,9,3,1,0,1,4,0,0,2,3,0,1,0,0,0,303,1,9,5,0
E00086965,0.82400133210219295,314,292,1,3,3,0,1,0,0,3,1,1,2,3,2,1,1,0,0,299,4,10,1,0
E00086966,0.888269154375257,407,319,3,0,44,0,0,2,1,20,0,0,5,9,1,1,0,1,1,366,2,34,3,2
E00086971,0.18313875737691701,346,294,1,0,17,8,1,2,0,1,9,0,0,9,1,3,0,0,0,312,4,19,11,0
E00086972,1.0000000000257701,264,233,1,0,16,2,3,1,3,1,0,0,0,0,3,0,0,0,1,250,3,1,9,1
E00086973,0.79608642690690901,310,273,2,0,14,1,0,8,0,3,0,0,1,4,0,4,0,0,0,289,4,8,9,0
E00086974,1.00000000000336,279,244,0,1,14,0,0,0,3,4,0,0,0,0,9,1,3,0,0,259,13,4,3,0
E00086975,1.0000000000417799,320,290,0,0,13,2,1,3,4,4,0,0,1,0,0,2,0,0,0,303,2,5,10,0
E00086977,1.000000000012,357,336,0,0,11,3,1,3,0,0,0,0,0,0,0,1,1,0,1,347,2,0,7,1
E00086979,3.4951708088182903E-2,226,181,0,0,11,10,0,0,4,8,0,0,0,4,4,4,0,0,0,192,8,12,14,0
E00086980,0.97129129728655605,353,332,2,0,11,0,0,0,0,1,0,0,0,5,1,1,0,0,0,345,2,6,0,0
E00086983,3.07663388939593E-2,321,306,0,0,5,1,1,0,1,5,0,0,0,0,0,0,0,2,0,311,0,5,3,2
E00086995,0.62723217271490195,291,265,1,0,7,0,0,0,0,0,0,0,3,3,2,1,0,4,5,273,3,6,0,9
E00086997,0.90227285338887997,289,255,2,0,17,3,2,0,2,0,1,0,0,0,2,5,0,0,0,274,7,1,7,0
E00087000,2.5752264539319801E-2,301,278,2,0,5,1,0,1,1,0,0,0,8,0,3,0,0,0,2,285,3,8,3,2
E00087001,0.99999999999866596,252,218,3,0,12,6,0,0,0,0,0,2,0,1,0,0,0,9,1,233,0,3,6,10
E00087002,1.0000000000185001,377,340,3,0,6,2,2,0,4,4,0,0,2,0,6,1,1,6,0,349,8,6,8,6
E00087148,0.99999999999734202,327,310,2,0,5,0,0,0,1,3,0,0,0,3,1,1,0,0,1,317,2,6,1,1
E00087149,0.62182932163492299,278,259,2,2,8,0,0,0,1,0,0,0,0,1,5,0,0,0,0,271,5,1,1,0
E00087150,0.23644919115772201,312,271,6,2,7,2,0,2,7,1,2,0,0,2,4,1,0,5,0,286,5,5,11,5
E00087151,0.98810357601635601,396,355,2,0,14,0,4,0,0,8,0,0,4,0,1,0,0,3,5,371,1,12,4,8
E00087152,0.54360679455680105,407,368,0,1,11,1,2,0,11,0,0,0,1,1,8,0,0,0,3,380,8,2,14,3
E00087153,0.99999999999988498,257,246,2,0,6,0,0,2,0,1,0,0,0,0,0,0,0,0,0,254,0,1,2,0
E00087154,0.99999999999871603,319,299,0,0,6,2,1,0,0,4,0,0,4,1,0,2,0,0,0,305,2,9,3,0
E00087155,0.99999999999922795,237,226,3,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,5,0
E00087156,0.99999999999793898,302,275,0,2,9,7,1,3,0,0,0,0,0,2,0,3,0,0,0,286,3,2,11,0
E00087157,0.99999999999998201,291,285,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0
E00087158,1.00000000000641,319,289,1,0,15,6,0,0,6,0,0,0,0,1,0,0,0,0,1,305,0,1,12,1
E00087159,0.99999999999945499,340,323,1,1,7,0,0,0,2,0,1,0,4,1,0,0,0,0,0,332,0,6,2,0
E00087160,1.0000000000001099,215,192,1,5,5,2,0,0,0,1,4,0,3,0,0,1,0,1,0,203,1,8,2,1
E00087161,0.99927647574353096,307,282,2,0,11,0,1,0,1,0,0,0,0,1,7,1,0,0,1,295,8,1,2,1
E00087162,0.99999999999396205,356,322,1,0,13,0,4,3,3,0,0,0,1,2,7,0,0,0,0,336,7,3,10,0
E00087163,0.99935776076372096,330,305,5,0,6,1,0,1,2,0,0,0,3,0,4,1,1,1,0,316,6,3,4,1
E00087164,0.99999999999794098,265,249,0,0,4,0,0,1,4,1,0,1,4,0,0,0,0,1,0,253,0,6,5,1
E00087165,0.99999999999931399,328,298,0,0,17,1,1,0,4,2,0,0,4,1,0,0,0,0,0,315,0,7,6,0
E00087166,1.00000000000306,163,135,0,0,8,1,1,0,1,0,0,0,0,2,14,1,0,0,0,143,15,2,3,0
E00087167,0.99999999993417099,337,324,1,2,1,0,1,0,0,6,0,0,0,2,0,0,0,0,0,328,0,8,1,0
E00087168,0.99999999999565203,299,268,2,0,11,2,1,0,1,4,0,0,0,2,5,0,0,3,0,281,5,6,4,3
E00087169,1.0000000000043801,297,270,1,4,13,0,1,1,2,0,0,0,0,1,1,2,1,0,0,288,4,1,4,0
E00087170,0.99999999999839295,275,233,0,0,12,1,15,1,2,1,0,0,3,3,4,0,0,0,0,245,4,7,19,0
E00087171,0.99999999999960398,230,218,0,0,6,0,1,0,3,0,0,0,0,0,0,1,0,0,1,224,1,0,4,1
E00087172,0.99999999999987799,240,229,0,2,0,0,4,1,0,1,0,0,0,3,0,0,0,0,0,231,0,4,5,0
E00087173,0.99999999999973999,279,254,2,9,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,1,0
E00087174,0.99999999998163003,311,303,1,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,1,307,0,0,3,1
E00087175,0.99999999999997302,280,264,1,3,3,1,0,3,0,4,0,0,0,1,0,0,0,0,0,271,0,5,4,0
E00087176,1.0000000000020901,299,291,0,0,2,0,1,2,0,2,0,0,0,0,0,0,0,0,1,293,0,2,3,1
E00087177,1.00000000000057,360,334,1,0,9,3,2,6,0,0,0,0,0,2,0,1,1,1,0,344,2,2,11,1
E00087178,1.0000000000043801,214,207,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,213,0,0,1,0
E00087179,1.0000000000009399,282,248,2,0,13,3,5,8,1,1,0,0,0,1,0,0,0,0,0,263,0,2,17,0
E00087180,0.99999999996704103,333,311,3,0,6,2,4,0,0,3,0,1,0,0,2,1,0,0,0,320,3,4,6,0
E00087181,0.99999999999698197,271,221,1,5,20,5,5,0,4,0,0,0,0,2,2,3,0,0,3,247,5,2,14,3
E00087182,1.0000000000000699,275,246,4,1,9,2,0,4,0,2,0,0,2,0,3,1,0,1,0,260,4,4,6,1
E00087183,0.82903136783541798,330,294,4,0,12,3,3,0,1,6,0,0,0,2,5,0,0,0,0,310,5,8,7,0
E00087184,0.97421681813531302,256,253,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,255,0,1,0,0
E00087185,0.99999999999812605,312,289,3,1,9,0,1,0,2,0,0,0,0,1,3,0,2,0,1,302,5,1,3,1
