health..oa_id,health..proportion_of_oa_within_co_m_boundary,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
E00086672,1.0000000000072999,345,148,124,44,20,9
E00086673,1.0000000000002101,291,133,114,36,8,0
E00086674,1.0000000000074301,252,92,107,40,10,3
E00086676,0.82885222927934599,304,124,109,44,19,8
E00086677,1.0000000000042499,263,95,91,50,20,7
E00086678,0.99999999999731004,293,134,106,33,15,5
E00086679,0.99999999999821998,273,118,101,40,11,3
E00086680,0.99999999999797196,380,170,136,46,22,6
E00086681,0.25822077179313302,277,117,100,40,16,4
E00086682,1.00000000000245,337,132,130,52,16,7
E00086683,0.810340801823632,329,158,120,36,11,4
E00086684,0.999999999998054,363,146,148,51,12,6
E00086712,0.21957680834006901,303,122,109,57,11,4
E00086716,1.00000000000256,267,113,110,35,6,3
E00086717,0.99999999996343603,308,146,113,32,15,2
E00086718,1.000000000002,305,131,118,41,12,3
E00086719,0.99999999998451705,499,244,170,58,17,10
E00086720,1.0000000000042499,221,92,82,36,10,1
E00086722,0.99999999999465605,227,107,77,33,9,1
E00086723,1.0000000000068301,301,150,113,24,11,3
E00086724,0.83016483962183796,254,120,96,26,11,1
E00086725,1.00000000000775,247,121,85,29,9,3
E00086726,0.93354588097855895,262,116,94,38,11,3
E00086727,1.0000000000009299,192,90,76,17,7,2
E00086728,1.0000000000004201,309,152,98,46,13,0
E00086730,0.87741189821342702,319,124,119,50,21,5
E00086731,0.39680777085285002,308,152,120,28,3,5
E00086732,0.99999999997269895,332,181,116,24,8,3
E00086734,0.68841128316015199,335,184,102,41,6,2
E00086735,0.28941732860580799,256,112,76,51,11,6
E00086737,0.50310879262129504,272,117,84,53,14,4
E00086738,0.80407012412234202,317,130,130,45,6,6
E00086739,0.99710135025368696,327,158,125,31,11,2
E00086740,0.938412015317731,295,141,105,36,10,3
E00086741,0.99999999995465905,325,168,108,36,8,5
E00086742,0.99999999999885103,281,122,106,42,9,2
E00086743,0.53406778210000605,361,167,136,41,13,4
E00086744,1.0000000000003799,302,146,99,42,13,2
E00086745,0.99999999999533196,402,204,126,45,16,11
E00086746,0.99999999999094202,295,143,99,39,13,1
E00086747,1.00000000000719,272,151,97,21,2,1
E00086748,1.0000000000067899,358,153,135,47,13,10
E00086749,1.00000000002334,303,125,114,46,14,4
E00086750,0.999999999988604,299,133,117,39,10,0
E00086751,1.00000000003138,355,188,110,43,14,0
E00086752,0.99999999996777,335,171,129,29,6,0
E00086753,0.999999999997362,268,119,85,46,12,6
E00086754,0.99999999999105504,248,104,83,44,14,3
E00086755,1.0000000000004099,238,90,93,45,8,2
E00086756,0.99999999999989697,290,160,93,28,9,0
E00086757,1.00000000000276,208,89,80,30,7,2
E00086758,1.0000000000002001,304,125,124,42,10,3
E00086759,0.99999999999862699,274,110,99,52,11,2
E00086760,1.00000000000449,257,120,93,35,8,1
E00086761,0.99999999999853595,271,150,90,22,8,1
E00086861,1.00000000000085,314,146,108,47,11,2
E00086863,0.99999999999842903,286,134,98,44,8,2
E00086865,0.77558291209395003,320,170,98,36,13,3
E00086871,0.71501506701397899,336,164,121,37,12,2
E00086894,0.98461329151503196,325,135,123,50,13,4
E00086895,0.97184690940389995,301,136,118,29,14,4
E00086896,0.99915860493164499,250,100,77,54,16,3
E00086897,0.999999999987912,246,91,91,45,14,5
E00086899,0.98609627288408497,246,78,102,41,18,7
E00086901,1.00000000000329,220,90,87,33,10,0
E00086902,0.246324356237546,286,110,96,61,16,3
E00086905,2.53869148686399E-2,301,128,126,31,10,6
E00086964,1.0000000001379299,318,163,114,36,5,0
E00086965,0.82400133210219295,314,137,109,55,8,5
E00086966,0.888269154375257,407,209,135,44,15,4
E00086971,0.18313875737691701,346,179,97,48,20,2
E00086972,1.0000000000257701,264,110,111,36,5,2
E00086973,0.79608642690690901,310,156,113,31,6,4
E00086974,1.00000000000336,279,134,93,36,12,4
E00086975,1.0000000000417799,320,142,131,34,13,0
E00086977,1.000000000012,357,177,121,46,13,0
E00086979,3.4951708088182903E-2,226,101,86,31,7,1
E00086980,0.97129129728655605,353,166,109,55,15,8
E00086983,3.07663388939593E-2,321,154,110,48,6,3
E00086995,0.62723217271490195,291,149,102,29,6,5
E00086997,0.90227285338887997,289,142,93,37,13,4
E00087000,2.5752264539319801E-2,301,138,117,31,10,5
E00087001,0.99999999999866596,252,84,74,63,23,8
E00087002,1.0000000000185001,377,166,132,53,16,10
E00087148,0.99999999999734202,327,119,130,52,20,6
E00087149,0.62182932163492299,278,117,110,32,14,5
E00087150,0.23644919115772201,312,129,118,38,17,10
E00087151,0.98810357601635601,396,183,136,55,18,4
E00087152,0.54360679455680105,407,188,154,50,11,4
E00087153,0.99999999999988498,257,116,76,45,17,3
