house..oa_id,house..proportion_of_oa_within_co_m_boundary,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00086672,1.0000000000072999,142,15,28,33,31,13,18,4
E00086673,1.0000000000002101,123,13,20,47,23,8,9,3
E00086674,1.0000000000074301,121,30,10,38,23,9,10,1
E00086676,0.82885222927934599,123,9,22,36,21,13,19,3
E00086677,1.0000000000042499,124,40,8,46,16,4,7,3
E00086678,0.99999999999731004,127,9,28,20,24,33,10,3
E00086679,0.99999999999821998,130,35,27,24,27,10,5,2
E00086680,0.99999999999797196,118,13,9,31,35,10,11,9
E00086681,0.25822077179313302,146,11,61,38,15,14,5,2
E00086682,1.00000000000245,136,21,31,16,29,23,8,8
E00086683,0.810340801823632,153,24,35,46,25,6,14,3
E00086684,0.999999999998054,137,17,12,49,29,6,18,6
E00086712,0.21957680834006901,134,5,37,21,24,31,13,3
E00086716,1.00000000000256,124,8,37,42,19,7,9,2
E00086717,0.99999999996343603,161,13,61,41,19,7,15,5
E00086718,1.000000000002,140,16,30,49,23,11,7,4
E00086719,0.99999999998451705,229,13,98,48,40,6,19,5
E00086720,1.0000000000042499,107,3,39,30,16,5,13,1
E00086722,0.99999999999465605,121,10,43,35,14,2,16,1
E00086723,1.0000000000068301,137,11,33,33,25,15,17,3
E00086724,0.83016483962183796,105,13,16,38,24,5,7,2
E00086725,1.00000000000775,108,7,41,20,25,1,8,6
E00086726,0.93354588097855895,124,12,43,29,21,8,8,3
E00086727,1.0000000000009299,98,6,39,26,14,1,10,2
E00086728,1.0000000000004201,123,10,24,38,22,3,21,5
E00086730,0.87741189821342702,140,36,10,47,19,7,15,6
E00086731,0.39680777085285002,132,18,21,49,25,7,8,4
E00086732,0.99999999997269895,137,6,38,35,21,20,12,5
E00086734,0.68841128316015199,124,9,18,40,41,6,6,4
E00086735,0.28941732860580799,127,24,24,46,16,6,8,3
E00086737,0.50310879262129504,108,14,15,30,27,11,8,3
E00086738,0.80407012412234202,127,13,20,42,25,15,8,4
E00086739,0.99710135025368696,127,7,25,28,44,8,13,2
E00086740,0.938412015317731,124,10,22,49,23,9,7,4
E00086741,0.99999999995465905,124,12,13,43,34,8,11,3
E00086742,0.99999999999885103,113,7,30,22,24,19,7,4
E00086743,0.53406778210000605,137,15,8,56,37,7,12,2
E00086744,1.0000000000003799,121,11,21,40,23,7,11,8
E00086745,0.99999999999533196,156,9,35,24,33,39,11,5
E00086746,0.99999999999094202,115,13,13,36,35,9,6,3
E00086747,1.00000000000719,113,8,22,37,29,4,13,0
E00086748,1.0000000000067899,159,17,32,47,30,15,15,3
E00086749,1.00000000002334,129,8,21,48,27,7,14,4
E00086750,0.999999999988604,130,12,30,35,31,10,10,2
E00086751,1.00000000003138,128,11,13,42,37,9,12,4
E00086752,0.99999999996777,125,8,16,45,32,10,10,4
E00086753,0.999999999997362,122,16,20,45,19,8,10,4
E00086754,0.99999999999105504,130,55,8,36,14,3,12,2
E00086755,1.0000000000004099,119,28,15,52,9,3,9,3
E00086756,0.99999999999989697,119,5,26,40,30,8,8,2
E00086757,1.00000000000276,116,13,42,34,6,7,13,1
E00086758,1.0000000000002001,127,14,12,54,26,7,13,1
E00086759,0.99999999999862699,125,18,20,37,25,15,9,1
E00086760,1.00000000000449,129,12,56,24,20,7,8,2
E00086761,0.99999999999853595,104,6,9,43,30,5,11,0
E00086861,1.00000000000085,130,15,23,41,30,7,9,5
E00086863,0.99999999999842903,125,11,20,47,23,3,15,6
E00086865,0.77558291209395003,118,2,25,22,32,32,2,3
E00086871,0.71501506701397899,128,17,13,43,33,3,15,4
E00086894,0.98461329151503196,134,14,27,26,23,29,11,4
E00086895,0.97184690940389995,132,4,50,11,29,24,9,5
E00086896,0.99915860493164499,119,21,16,48,22,5,6,1
E00086897,0.999999999987912,130,32,34,24,15,15,8,2
E00086899,0.98609627288408497,115,17,16,50,18,4,8,2
E00086901,1.00000000000329,106,5,24,36,19,17,4,1
E00086902,0.246324356237546,124,26,10,51,17,9,8,3
E00086905,2.53869148686399E-2,123,21,7,55,24,5,7,4
E00086964,1.0000000001379299,126,12,20,44,31,7,10,2
E00086965,0.82400133210219295,132,12,25,48,29,6,11,1
E00086966,0.888269154375257,170,13,38,47,37,10,20,5
E00086971,0.18313875737691701,135,12,16,54,34,9,6,4
E00086972,1.0000000000257701,127,5,44,41,23,6,5,3
E00086973,0.79608642690690901,112,7,16,32,39,8,6,4
E00086974,1.00000000000336,148,11,62,32,18,19,3,3
E00086975,1.0000000000417799,126,4,32,38,34,8,8,2
E00086977,1.000000000012,133,8,21,35,38,11,13,7
E00086979,3.4951708088182903E-2,117,4,49,21,18,9,13,3
E00086980,0.97129129728655605,140,33,21,37,31,11,3,4
E00086983,3.07663388939593E-2,126,12,10,53,31,4,11,5
E00086995,0.62723217271490195,122,14,22,32,26,14,9,5
E00086997,0.90227285338887997,118,15,17,44,26,5,7,4
E00087000,2.5752264539319801E-2,113,7,17,39,33,8,7,2
E00087001,0.99999999999866596,119,41,13,32,13,6,10,4
E00087002,1.0000000000185001,140,8,21,35,33,13,22,8
E00087148,0.99999999999734202,149,20,19,76,21,0,12,1
E00087149,0.62182932163492299,122,27,7,46,24,4,10,4
E00087150,0.23644919115772201,138,22,27,44,23,9,11,2
E00087151,0.98810357601635601,178,25,34,58,32,13,11,5
E00087152,0.54360679455680105,161,9,27,62,41,7,11,4
E00087153,0.99999999999988498,116,32,13,27,26,9,6,3
E00087154,0.99999999999871603,132,17,18,50,29,6,9,3
E00087155,0.99999999999922795,117,21,17,53,17,4,4,1
E00087156,0.99999999999793898,126,32,19,22,29,5,13,6
E00087157,0.99999999999998201,120,16,9,63,21,7,1,3
E00087158,1.00000000000641,127,11,29,31,37,9,7,3
E00087159,0.99999999999945499,145,12,28,39,36,11,18,1
E00087160,1.0000000000001099,109,24,26,23,16,13,6,1
E00087161,0.99927647574353096,128,20,15,44,30,7,9,3
E00087162,0.99999999999396205,145,18,23,50,35,6,9,4
E00087163,0.99935776076372096,155,18,43,52,26,7,5,4
E00087164,0.99999999999794098,119,22,15,47,15,8,6,6
E00087165,0.99999999999931399,132,16,11,55,31,5,11,3
E00087166,1.00000000000306,117,6,80,19,5,2,5,0
E00087167,0.99999999993417099,128,8,14,54,37,7,7,1
E00087168,0.99999999999565203,165,13,78,42,24,3,5,0
E00087169,1.0000000000043801,130,13,30,31,33,16,5,2
E00087170,0.99999999999839295,127,16,22,48,23,9,9,0
E00087171,0.99999999999960398,104,11,12,53,15,5,5,3
E00087172,0.99999999999987799,109,12,18,49,20,1,7,2
E00087173,0.99999999999973999,125,19,20,50,20,8,3,5
E00087174,0.99999999998163003,109,7,8,38,37,12,6,1
E00087175,0.99999999999997302,118,17,17,36,30,7,9,2
E00087176,1.0000000000020901,135,18,23,56,21,7,8,2
E00087177,1.00000000000057,139,16,19,44,37,10,10,3
E00087178,1.0000000000043801,147,72,25,32,6,3,8,1
E00087179,1.0000000000009399,121,7,31,43,26,6,7,1
E00087180,0.99999999996704103,134,13,17,50,35,6,9,4
E00087181,0.99999999999698197,112,11,18,42,27,4,7,3
E00087182,1.0000000000000699,111,12,15,41,26,4,12,1
E00087183,0.82903136783541798,126,10,24,39,25,12,12,4
E00087184,0.97421681813531302,108,10,21,27,29,6,12,3
E00087185,0.99999999999812605,118,10,12,39,33,14,8,2
