pop..lsoa_id,pop..proportion_of_lsoa_within_co_m_boundary,pop..total_persons,pop..male_persons,pop..female_persons,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
E01017167,0.23121073409691001,1648,807,841,162,250,146,261,273,360,138,58
E01017168,2.0552641086182301E-2,1713,829,884,152,218,113,270,237,404,216,103
E01017169,0.999999999999998,1611,771,840,107,182,161,253,217,317,227,147
E01017170,0.94441464879068504,1546,774,772,108,189,122,209,220,361,208,129
E01017171,0.95933883522380003,1891,1001,890,116,167,89,386,326,463,215,129
E01017172,0.956624994602294,1931,1006,925,135,188,120,349,338,493,209,99
E01017173,0.88318759905765598,1466,780,686,120,151,93,216,163,394,208,121
E01017174,0.14223808650550199,1348,666,682,85,133,104,151,166,298,219,192
E01017175,0.74638758597754395,1498,776,722,84,148,116,227,176,442,181,124
E01017176,0.88522622563504905,1554,797,757,90,133,88,200,216,431,245,151
E01017177,0.945683026055817,1607,812,795,92,139,104,215,186,426,248,197
E01017178,0.99999999999936195,1503,762,741,109,150,148,173,210,435,199,79
E01017179,0.690642142957959,1314,641,673,102,146,95,190,174,333,184,90
E01017201,0.99791543070895194,1194,549,645,88,117,88,174,145,290,183,109
E01017202,0.27710327511923,1679,812,867,147,250,115,300,261,373,146,87
E01017203,0.35397308578683301,1602,789,813,127,198,144,219,203,402,197,112
E01017218,0.39580845724491998,1342,698,644,86,153,129,219,177,359,141,78
E01017220,0.99278629011140895,1856,911,945,100,171,161,346,247,460,260,111
E01017222,0.68210666088965399,1426,740,686,100,156,97,214,209,401,177,72
E01017223,0.15924471727553199,1692,881,811,105,163,138,219,198,509,253,107
E01017225,8.5650922401492705E-2,1448,717,731,112,153,91,208,218,321,221,124
E01017255,0.99996429551546795,1562,788,774,86,128,91,268,194,453,228,114
E01017256,0.72565858064835398,1906,929,977,117,158,118,238,241,506,332,196
E01017257,0.99983786461690405,1432,734,698,113,95,87,236,204,374,226,97
E01017258,1,1448,738,710,94,136,92,231,201,366,220,108
E01017259,0.99999999999997402,1277,645,632,71,88,86,186,140,307,262,137
E01017260,1.00000000000001,1351,673,678,71,91,59,172,131,340,273,214
E01017261,0.87737373611542202,1557,769,788,98,130,78,218,229,373,267,164
E01017262,0.93694897225081497,1274,635,639,77,140,75,178,140,338,217,109
E01017263,0.682791199326371,1424,687,737,86,141,108,220,192,366,196,115
E01022656,1.31828964161346E-2,1881,922,959,120,152,121,232,289,473,326,168
E01022717,1.87625466489473E-2,1120,535,585,45,74,74,137,143,347,225,75
